年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,99,45,75,146,70,129,0.0,27
2014-01,69,48,45,68,16,32,0.0,4
2014-02,29,10,17,20,13,18,0.41,6
2014-03,59,41,37,58,13,32,0.39,15
2014-04,48,28,20,31,11,16,0.24,15
2014-05,50,70,24,42,14,26,0.0,37
2014-06,49,41,32,30,4,10,0.23,24
2014-07,30,21,11,29,4,4,0.31,25
2014-08,33,18,11,27,10,18,0.82,22
2014-09,30,19,13,26,6,18,0.26,28
2014-10,33,8,18,31,8,29,0.51,12
2014-11,44,23,29,40,14,34,0.63,14
2014-12,54,9,22,57,22,37,0.56,13
2015-01,55,93,33,55,8,27,0.48,10
2015-02,35,49,17,27,6,14,0.3,11
2015-03,42,58,24,39,12,22,0.35,22
2015-04,51,86,25,52,16,17,0.33,33
2015-05,33,25,16,28,6,16,0.32,35
2015-06,27,19,12,17,8,23,0.47,28
2015-07,24,5,13,23,11,10,0.38,13
2015-08,20,5,10,17,13,11,0.4,15
2015-09,34,34,21,32,5,16,0.55,24
2015-10,37,58,17,27,5,22,0.51,25
2015-11,32,85,20,29,6,26,0.57,7
2015-12,67,149,37,82,12,43,0.6,10
2016-01,41,72,22,37,6,18,0.33,10
2016-02,34,58,15,31,4,10,0.32,18
2016-03,36,66,13,30,7,14,0.45,21
2016-04,28,12,17,25,3,23,0.37,16
2016-05,29,12,18,26,5,15,0.62,19
2016-06,19,5,7,11,5,13,0.53,24
2016-07,24,33,7,7,5,12,0.59,42
2016-08,32,45,9,20,5,10,0.67,51
2016-09,18,10,3,5,5,10,0.76,37
2016-10,24,24,9,13,11,17,0.46,24
2016-11,34,37,13,18,16,13,0.53,21
2016-12,29,19,20,23,4,18,0.45,22
2017-01,37,32,22,28,5,9,0.83,19
2017-02,40,49,21,33,5,12,0.84,31
2017-03,44,71,25,35,4,19,0.77,41
2017-04,41,62,22,34,9,20,0.61,22
2017-05,37,12,15,23,6,13,0.62,34
2017-06,22,13,10,16,5,11,0.44,28
2017-07,24,11,9,14,4,11,0.32,21
2017-08,23,9,6,10,4,3,0.48,45
2017-09,23,7,12,17,11,14,0.55,15
2017-10,34,68,13,18,11,15,0.54,32
2017-11,33,26,15,28,7,24,0.48,18
2017-12,41,42,26,41,5,30,0.5,10
2018-01,31,52,21,25,4,21,0.53,9
2018-02,34,16,22,25,3,18,0.73,30
2018-03,42,34,15,21,5,18,0.56,30
2018-04,38,49,21,31,5,19,0.82,37
2018-05,30,12,17,22,9,16,0.82,42
2018-06,34,69,13,18,6,16,0.41,63
2018-07,28,37,12,20,5,11,0.36,39
2018-08,28,36,9,13,5,11,0.52,53
2018-09,21,22,9,15,5,21,0.77,31
2018-10,39,72,19,35,3,24,0.63,41
2018-11,21,15,10,13,1,23,0.63,18
2018-12,35,53,18,30,2,21,0.57,1
2019-01,37,37,16,25,1,15,0.95,2
2019-02,38,104,11,20,2,7,0.96,30
2019-03,39,53,17,34,6,17,0.65,34
2019-04,28,23,9,25,2,15,0.75,19
2019-05,28,25,11,18,2,15,0.71,32
2019-06,25,35,12,19,3,14,0.56,50
2019-07,23,60,11,22,2,13,0.55,28
2019-08,18,12,6,15,2,10,0.52,23
2019-09,24,63,10,17,4,16,0.51,33
2019-10,33,86,16,34,5,11,0.48,25
2019-11,33,104,17,34,3,17,0.41,3
2019-12,39,66,22,41,3,22,0.51,3
2020-01,24,49,14,20,4,6,0.48,3
2020-02,17,31,9,11,4,5,0.4,32
2020-03,22,39,11,18,6,15,0.39,16
2020-04,37,80,21,34,6,19,0.64,57
2020-05,33,101,11,24,8,13,0.67,46
2020-06,19,54,6,10,5,9,0.66,29
2020-07,14,6,5,8,5,12,0.62,36
2020-08,21,83,8,17,6,7,0.5,41
2020-09,29,152,15,22,9,21,0.43,52
2020-10,26,88,11,20,9,19,0.4,39
2020-11,20,20,11,15,6,18,0.56,5
2020-12,28,90,18,26,6,17,0.55,5
2021-01,47,115,24,51,4,20,0.57,4
2021-02,30,33,15,25,5,5,0.49,23
2021-03,27,71,15,22,5,19,0.64,23
2021-04,30,92,14,27,5,17,0.5,25
2021-05,23,58,11,17,5,12,0.61,13
2021-06,22,78,10,15,4,6,0.6,46
2021-07,0,8,0,0,0,0,0.0,0
2021-08,20,38,8,15,3,9,0.55,45
2021-09,18,42,9,18,4,8,0.54,42
2021-10,18,33,4,10,4,10,0.43,15
2021-11,21,17,9,18,2,15,0.54,22
2021-12,4,5,2,4,0,3,0.08,1
