年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,129.0,262.0,97.0,141.0,50.0,53.0,1.71,27.0
2015-02,118.5,280.5,84.5,154.5,35.5,37.5,1.38,50.5
2015-03,111.0,283.0,76.0,127.0,33.0,32.0,0.96,60.0
2015-04,100.0,304.5,67.0,125.0,26.5,28.0,0.86,77.0
2015-05,110.0,323.0,72.0,135.0,33.0,25.0,0.92,96.0
2015-06,112.0,332.5,57.5,138.0,30.0,26.0,0.735,100.5
2015-07,83.0,301.0,53.0,92.0,24.0,22.0,0.69,92.0
2015-08,80.0,302.0,50.0,91.0,14.0,21.0,0.65,97.0
2015-09,104.0,353.0,67.0,132.5,24.5,32.0,0.795,97.0
2015-10,124.0,323.0,76.0,117.0,37.0,45.0,1.07,63.0
2015-11,90.5,276.5,59.5,103.5,22.5,37.0,1.0550000000000002,30.0
2015-12,158.0,306.0,119.0,185.0,41.0,49.0,1.35,33.0
2016-01,176.0,338.0,132.0,194.0,54.0,46.0,1.76,32.0
2016-02,130.0,305.0,82.0,173.0,56.0,40.0,1.51,68.0
2016-03,120.0,329.0,81.0,178.0,32.0,46.0,1.54,69.0
2016-04,107.0,315.0,74.5,127.0,32.0,43.0,1.36,78.5
2016-05,78.0,268.0,49.0,88.0,28.0,36.0,1.3,91.0
2016-06,80.0,302.5,43.0,80.0,21.0,29.5,1.1349999999999998,97.0
2016-07,59.0,217.0,34.0,59.0,17.0,25.0,1.18,69.0
2016-08,70.0,295.0,40.0,73.0,19.0,18.0,1.07,85.0
2016-09,94.5,331.0,52.5,105.5,21.0,30.0,0.7050000000000001,98.0
2016-10,70.0,254.0,47.0,70.0,16.0,35.0,0.78,37.0
2016-11,110.5,292.0,69.0,122.0,12.0,42.0,0.86,34.0
2016-12,170.0,323.0,128.0,191.0,16.0,53.0,1.27,28.0
2017-01,179.0,301.0,133.0,209.0,15.0,51.0,1.4,34.0
2017-02,122.5,294.5,91.0,146.5,16.0,45.5,1.27,44.0
2017-03,105.0,309.0,66.0,125.0,17.0,38.0,1.16,57.0
2017-04,83.0,277.0,38.5,97.0,14.0,28.0,1.04,68.5
2017-05,88.0,263.0,37.0,93.0,15.0,30.0,1.08,99.0
2017-06,77.5,272.0,37.5,79.5,10.0,32.0,0.76,95.0
2017-07,45.0,125.0,22.0,40.0,6.0,18.0,0.7,65.0
2017-08,65.0,278.0,33.0,62.0,9.0,17.0,0.78,87.0
2017-09,65.5,250.0,37.0,63.5,10.0,20.0,0.775,80.0
2017-10,78.0,249.5,48.0,89.0,10.0,28.5,0.885,46.5
