年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,140.0,73.0,107.0,177.0,36.5,53.5,1.185,49.5
2013-11,110.0,78.0,86.5,159.0,85.0,56.0,1.335,34.5
2013-12,138.0,66.0,100.0,185.0,135.0,57.0,1.71,31.0
2014-01,170.0,136.5,134.0,236.0,91.5,52.0,1.7850000000000001,30.5
2014-02,111.0,112.0,82.5,120.0,53.5,35.5,1.38,66.5
2014-03,126.0,152.0,88.0,176.0,69.0,44.0,1.33,72.0
2014-04,106.0,129.0,68.5,151.5,45.5,33.0,0.89,92.5
2014-05,111.0,149.0,52.0,152.0,45.0,33.0,0.81,121.0
2014-06,100.5,144.0,56.0,101.5,28.0,27.0,0.775,117.0
2014-07,99.0,162.0,52.0,107.0,23.0,21.0,0.66,119.0
2014-08,96.0,166.0,53.0,102.0,31.0,32.0,0.81,101.0
2014-09,99.0,163.5,70.0,123.0,27.0,31.5,0.88,72.0
2014-10,100.0,124.0,70.0,122.0,29.0,38.0,0.81,62.0
2014-11,133.0,161.0,98.0,178.0,59.0,57.5,1.4049999999999998,33.0
2014-12,120.0,154.0,88.0,159.0,114.0,58.0,1.35,27.0
2015-01,107.0,227.0,76.0,137.0,89.0,46.0,1.18,36.0
2015-02,117.5,252.5,80.5,159.5,79.5,38.5,1.25,54.0
2015-03,109.0,301.0,69.0,151.0,47.0,37.0,1.0,70.0
2015-04,98.5,306.0,58.5,132.5,27.0,28.5,0.785,99.5
2015-05,95.0,299.0,52.0,119.0,24.0,27.0,0.68,99.0
2015-06,94.0,313.5,42.0,111.5,21.0,20.5,0.62,131.0
2015-07,76.0,284.0,41.0,89.0,14.0,21.0,0.61,101.0
2015-08,92.0,331.0,54.0,100.0,18.0,27.0,0.76,97.0
2015-09,77.0,300.5,40.5,83.0,22.5,33.0,0.84,81.5
2015-10,107.0,314.0,70.0,133.0,33.0,39.0,0.97,62.0
2015-11,99.5,288.5,73.0,106.0,30.5,37.0,1.06,39.0
2015-12,186.0,321.0,142.0,208.0,74.0,53.0,1.7,25.0
2016-01,107.0,267.0,78.0,122.0,75.0,47.0,1.28,29.0
2016-02,90.0,244.0,60.0,110.0,63.0,31.0,0.98,47.0
2016-03,98.0,288.0,62.0,139.0,40.0,35.0,0.96,69.0
2016-04,108.0,320.5,68.0,151.5,30.0,30.0,0.705,88.0
2016-05,98.0,320.0,47.0,112.0,25.0,29.0,0.67,106.0
2016-06,89.5,326.0,40.0,94.0,16.0,21.0,0.655,112.0
2016-07,67.0,270.0,35.0,66.0,12.0,18.0,0.59,89.0
2016-08,63.0,268.0,32.0,73.0,15.0,24.0,0.74,68.0
2016-09,83.5,305.5,52.0,103.0,26.5,33.5,0.88,84.0
2016-10,79.0,311.0,47.0,91.0,23.0,32.0,0.86,57.0
2016-11,111.0,297.5,80.5,143.0,29.5,45.0,1.085,34.0
2016-12,137.0,301.0,103.0,169.0,58.0,51.0,1.42,23.0
2017-01,128.0,285.0,96.0,162.0,53.0,50.0,1.42,23.0
2017-02,115.0,289.0,85.0,136.5,47.0,40.0,1.125,45.5
2017-03,90.0,290.0,57.0,119.0,25.0,39.0,0.87,66.0
2017-04,89.0,305.0,49.0,115.0,18.5,33.0,0.755,87.0
2017-05,98.0,308.0,45.0,106.0,16.0,25.0,0.55,107.0
2017-06,84.5,313.5,38.0,93.5,14.0,22.0,0.575,110.0
2017-07,76.0,290.0,40.0,86.0,11.0,18.0,0.61,95.0
2017-08,65.0,241.0,25.0,58.0,10.0,21.0,0.64,86.0
2017-09,83.5,315.5,39.5,81.0,14.0,30.0,0.685,97.0
2017-10,77.0,285.0,44.0,93.5,13.0,39.5,0.835,54.0
2017-11,87.5,279.0,49.5,122.5,20.5,42.5,1.0150000000000001,40.5
2017-12,104.0,276.0,72.0,140.0,37.0,50.0,1.29,32.0
2018-01,105.0,281.0,73.0,142.0,35.0,46.0,1.28,32.0
2018-02,91.5,237.5,62.0,113.5,25.0,28.0,1.09,54.5
2018-03,96.0,280.0,59.0,126.0,18.0,31.0,0.87,74.0
2018-04,103.0,305.5,50.5,141.5,15.0,31.0,0.79,87.0
2018-05,83.0,294.0,39.0,96.0,9.0,26.0,0.51,107.0
2018-06,86.5,288.5,36.0,67.5,9.0,20.0,0.425,124.5
2018-07,61.0,250.0,30.0,54.0,8.0,17.0,0.43,81.0
2018-08,64.0,254.0,24.0,52.0,10.0,15.0,0.42,103.0
2018-09,65.0,318.0,28.0,73.0,11.0,33.0,0.57,74.0
2018-10,72.0,293.0,39.0,91.0,13.0,46.0,0.68,55.0
2018-11,109.0,320.0,75.5,145.5,14.0,51.0,0.94,30.5
2018-12,83.0,298.0,55.0,111.0,23.0,49.0,1.09,24.0
2019-01,124.0,312.0,90.0,163.0,32.0,62.0,1.52,21.0
2019-02,133.5,312.0,97.5,148.0,21.5,36.5,1.085,46.0
2019-03,84.0,308.0,55.0,108.0,14.0,43.0,0.7,60.0
2019-04,77.0,279.5,39.5,94.5,9.0,32.0,0.45,79.0
2019-05,86.0,325.0,39.0,104.0,10.0,29.0,0.48,100.0
2019-06,75.0,313.0,36.0,73.0,7.0,20.0,0.55,123.0
2019-07,65.5,321.5,34.5,67.5,5.0,20.0,0.48,103.5
2019-08,47.5,204.5,21.0,48.5,4.0,24.0,0.44999999999999996,71.0
2019-09,67.0,303.0,34.5,80.0,7.0,31.5,0.57,79.0
2019-10,76.0,325.0,51.0,102.0,8.0,44.0,0.63,56.0
2019-11,86.0,312.0,51.0,115.0,9.0,44.0,0.785,35.0
