年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,102,52,125,193,41,80,1.7,93
2014-01,161,152,123,180,32,54,1.61,114
2014-02,126,152,95,113,20,43,1.89,79
2014-03,161,177,122,140,29,53,2.69,84
2014-04,143,174,109,115,23,40,2.54,101
2014-05,122,170,91,120,18,29,1.35,81
2014-06,101,110,74,81,18,21,1.5,124
2014-07,136,187,414,64,21,16,1.58,78
2014-08,90,167,61,79,25,16,1.74,108
2014-09,140,188,102,70,19,17,1.24,124
2014-10,138,166,89,111,20,22,1.67,171
2014-11,152,170,115,92,23,29,1.6,113
2014-12,109,209,81,101,23,47,1.52,127
2015-01,158,409,119,150,22,66,2.25,122
2015-02,127,261,96,128,14,35,1.56,122
2015-03,154,329,116,110,21,36,1.78,112
2015-04,107,307,62,83,25,38,1.47,128
2015-05,110,306,79,95,19,30,1.84,133
2015-06,58,175,34,50,17,16,1.36,86
2015-07,78,294,49,77,14,18,1.27,132
2015-08,73,324,48,70,20,23,1.41,98
2015-09,94,342,51,77,20,22,1.51,141
2015-10,120,344,69,98,21,23,1.42,158
2015-11,85,268,55,86,20,29,1.28,116
2015-12,108,297,81,100,21,46,1.81,97
2016-01,94,198,69,89,16,42,2.82,83
2016-02,97,245,67,137,15,24,1.41,108
2016-03,144,355,109,146,30,62,4.13,116
2016-04,120,346,90,120,28,42,1.7,144
2016-05,85,246,49,71,20,21,1.4,134
2016-06,51,203,27,51,19,24,1.61,82
2016-07,98,349,56,92,22,20,1.34,126
2016-08,81,299,57,91,17,21,1.66,107
2016-09,78,287,53,70,15,21,1.53,128
2016-10,79,333,57,82,14,24,1.49,88
2016-11,106,237,77,107,21,32,1.48,115
2016-12,103,257,75,127,24,52,1.87,82
2017-01,89,220,65,83,21,32,1.35,88
2017-02,83,201,60,87,16,33,1.32,103
2017-03,100,331,73,113,23,45,1.49,110
2017-04,96,287,53,84,22,31,1.35,143
2017-05,88,277,43,86,17,26,1.25,129
2017-06,59,174,29,53,18,23,1.22,83
2017-07,57,190,39,55,15,21,1.14,73
2017-08,70,301,36,69,18,23,1.13,91
2017-09,80,314,45,74,21,26,1.11,124
2017-10,81,318,51,78,16,22,0.99,120
2017-11,74,207,51,86,17,32,1.15,104
2017-12,90,200,66,109,25,40,1.14,118
2018-01,100,275,74,104,21,43,1.3,103
2018-02,77,249,55,91,12,30,1.26,95
2018-03,116,322,87,98,25,44,1.36,109
2018-04,96,293,53,100,20,23,1.1,148
2018-05,92,327,42,75,21,23,1.03,137
2018-06,104,287,35,59,16,20,1.1,163
2018-07,63,242,31,58,16,19,1.06,90
2018-08,58,243,30,53,14,21,1.3,107
2018-09,66,311,34,55,13,18,1.04,126
2018-10,80,340,45,70,17,22,1.0,132
2018-11,74,282,53,75,18,26,1.09,91
2018-12,86,288,56,90,17,35,1.21,78
2019-01,83,227,59,85,15,47,1.55,90
2019-02,132,271,99,76,14,23,1.13,80
2019-03,95,328,70,92,26,36,1.3,113
2019-04,88,277,58,76,20,30,1.43,98
2019-05,81,268,42,93,18,21,1.02,113
2019-06,48,246,32,44,21,25,1.14,103
2019-07,60,311,40,61,17,17,1.03,94
2019-08,54,261,36,54,13,15,1.0,92
2019-09,62,301,37,61,15,17,1.03,138
2019-10,71,312,47,77,19,23,1.2,127
2019-11,77,312,52,84,20,28,1.07,113
2019-12,102,350,76,92,18,40,1.4,83
2020-01,96,280,70,76,16,32,1.28,99
2020-02,71,302,49,73,9,18,0.85,90
2020-03,166,362,126,119,18,36,1.28,100
2020-04,83,329,52,91,18,28,0.91,114
2020-05,60,234,32,70,14,23,1.05,127
2020-06,35,209,17,35,9,18,0.9,62
2020-07,53,269,26,55,12,18,0.86,70
2020-08,56,320,33,60,13,19,0.83,89
2020-09,63,296,37,71,12,19,0.89,101
2020-10,57,317,34,67,12,18,0.73,104
2020-11,74,323,52,96,15,25,0.82,104
2020-12,74,271,50,78,17,35,0.95,103
2021-01,78,208,52,91,19,38,0.91,97
2021-02,84,319,61,70,12,22,0.91,96
2021-03,95,350,71,86,21,34,0.99,106
2021-04,88,338,41,125,17,26,1.05,130
2021-05,72,333,38,71,18,26,1.06,123
2021-06,36,256,19,36,12,21,1.03,83
2021-07,59,359,30,58,11,16,0.91,100
2021-08,46,293,28,46,10,16,2.68,81
2021-09,57,293,36,58,11,17,0.88,108
2021-10,51,270,34,50,12,21,0.96,110
2021-11,64,256,39,67,13,22,0.9,110
2021-12,58,181,40,64,13,31,1.09,92
2022-01,91,214,67,84,11,27,0.96,88
2022-02,57,186,38,49,13,19,0.85,87
2022-03,83,285,61,75,21,35,2.06,119
