年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,40,5,22,39,15,23,0.67,49
2013-11,34,2,13,28,9,15,0.13,20
2013-12,31,2,15,27,19,20,0.23,13
2014-01,34,3,18,30,20,18,0.46,12
2014-02,30,7,14,24,14,13,0.49,28
2014-03,53,17,20,58,13,21,0.48,30
2014-04,48,19,9,20,5,18,0.36,37
2014-05,49,18,19,41,5,14,0.27,64
2014-06,48,26,22,38,6,18,0.31,51
2014-07,33,15,7,15,2,5,0.37,31
2014-08,34,14,16,33,5,17,0.39,30
2014-09,32,12,12,26,8,19,0.29,40
2014-10,38,5,15,26,6,15,0.35,21
2014-11,32,5,10,30,14,16,0.53,11
2014-12,31,4,12,27,12,11,0.34,13
2015-01,30,9,11,28,17,17,0.41,9
2015-02,39,21,10,31,11,12,0.44,27
2015-03,42,67,10,35,9,14,0.6,37
2015-04,42,84,17,32,7,16,0.54,42
2015-05,47,82,20,35,4,15,0.46,55
2015-06,42,102,13,30,3,9,0.38,70
2015-07,31,25,12,26,6,10,0.35,41
2015-08,34,37,9,23,5,12,0.34,27
2015-09,34,63,9,29,7,12,0.35,59
2015-10,32,29,8,29,5,17,0.39,38
2015-11,30,19,9,21,5,18,0.41,21
2015-12,27,12,9,24,9,14,0.33,8
2016-01,29,8,9,22,12,12,0.34,13
2016-02,35,53,10,34,6,9,0.35,23
2016-03,40,47,12,38,12,11,0.41,32
2016-04,49,75,20,42,9,14,0.44,40
2016-05,38,23,17,28,9,15,0.39,51
2016-06,34,69,14,29,6,9,0.35,57
2016-07,30,57,6,19,6,9,0.35,33
2016-08,27,9,7,23,7,14,0.33,32
2016-09,36,31,10,35,11,16,0.37,39
2016-10,30,15,9,24,10,15,0.36,33
2016-11,33,31,10,28,11,13,0.34,28
2016-12,34,9,10,26,13,13,0.47,20
2017-01,36,10,9,25,14,10,0.75,19
2017-02,40,33,13,31,14,14,0.4,34
2017-03,45,43,14,42,20,19,0.67,43
2017-04,52,61,14,48,14,18,0.65,47
2017-05,42,52,12,25,6,9,0.39,69
2017-06,31,48,9,21,3,12,0.39,53
2017-07,30,40,9,18,4,11,0.42,47
2017-08,26,10,5,12,5,7,0.3,30
2017-09,42,108,9,31,6,16,0.34,57
2017-10,19,9,5,13,6,8,0.2,39
2017-11,36,33,8,31,6,11,0.32,33
2017-12,32,10,7,28,7,11,0.44,23
2018-01,32,10,8,25,9,9,0.34,11
2018-02,34,8,11,27,7,12,0.48,34
2018-03,38,39,13,36,7,17,0.48,47
2018-04,49,82,11,21,6,12,0.51,56
2018-05,43,92,13,25,5,11,0.28,59
2018-06,45,60,13,22,4,5,0.26,60
2018-07,20,7,5,14,3,3,0.23,26
2018-08,24,9,6,18,4,3,0.16,28
2018-09,36,72,6,19,4,9,0.17,48
2018-10,27,27,5,19,3,9,0.23,39
2018-11,29,71,6,22,3,13,0.25,22
2018-12,29,23,7,24,4,10,0.25,13
2019-01,42,60,10,41,6,9,0.26,13
2019-02,35,99,9,24,5,5,0.25,28
2019-03,44,54,12,40,3,13,0.27,41
2019-04,32,21,11,25,2,15,0.18,57
2019-05,47,107,8,28,2,5,0.2,76
2019-06,39,159,16,29,2,4,0.23,81
2019-07,31,133,15,30,4,7,0.25,79
2019-08,33,102,11,23,4,8,0.31,36
2019-09,29,77,7,25,6,13,0.25,52
2019-10,27,55,5,25,4,11,0.15,45
2019-11,27,43,7,24,5,14,0.34,23
2019-12,19,11,5,18,6,12,0.24,21
2020-01,28,21,15,26,8,10,0.4,18
2020-02,25,35,8,21,6,9,0.38,51
2020-03,31,46,9,27,6,15,0.34,58
2020-04,41,71,9,41,8,14,0.32,67
2020-05,31,55,11,21,5,14,0.26,70
2020-06,24,68,5,18,6,11,0.29,58
2020-07,16,24,2,7,5,9,0.18,49
2020-08,20,36,6,16,6,10,0.18,32
2020-09,28,99,6,17,6,14,0.23,54
2020-10,26,37,4,23,6,15,0.11,27
2020-11,21,17,4,16,5,13,0.23,30
2020-12,21,15,9,21,9,17,0.32,16
2021-01,20,10,10,19,8,13,0.41,19
2021-02,27,28,8,25,6,9,0.43,45
2021-03,39,81,12,41,6,17,0.57,34
2021-04,30,28,6,21,6,15,0.38,58
2021-05,22,25,6,14,7,15,0.33,52
2021-06,20,29,3,10,7,9,0.29,56
2021-07,17,29,3,10,6,9,0.16,39
2021-08,19,32,4,12,4,11,0.21,58
2021-09,19,46,0,3,4,11,0.16,52
2021-10,21,84,1,16,4,11,0.1,49
2021-11,19,25,3,11,4,15,0.25,23
2021-12,20,6,3,12,5,7,0.31,16
2022-01,24,13,8,23,5,13,0.45,25
2022-02,23,31,7,17,4,8,0.4,46
2022-03,29,53,9,20,4,5,0.38,56
