年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,84,20,22,111,55,30,0.84,37
2014-01,321,175,270,364,223,108,6.64,59
2014-02,276,181,226,330,223,87,5.59,56
2014-03,311,188,178,428,143,84,2.48,78
2014-04,162,170,123,196,95,59,2.22,111
2014-05,152,177,112,220,77,62,1.5,150
2014-06,211,189,161,218,71,50,1.58,177
2014-07,208,188,158,228,54,41,1.51,163
2014-08,132,181,97,162,60,40,1.86,103
2014-09,146,174,110,160,54,49,1.71,94
2014-10,186,183,143,200,89,68,2.74,102
2014-11,356,186,306,437,119,103,3.62,49
2014-12,234,265,184,278,172,97,3.57,69
2015-01,401,495,321,506,196,114,5.26,65
2015-02,348,364,297,416,128,93,3.79,88
2015-03,322,363,270,400,122,102,2.79,97
2015-04,235,364,188,282,73,62,2.06,120
2015-05,215,366,167,233,77,46,1.95,150
2015-06,180,361,131,247,71,50,2.08,172
2015-07,160,361,121,205,37,46,1.83,116
2015-08,104,340,63,137,37,47,2.0,125
2015-09,96,336,70,123,65,55,2.13,98
2015-10,158,336,119,205,71,76,2.89,102
2015-11,228,359,177,311,83,100,4.22,72
2015-12,417,364,335,599,147,113,8.17,63
2016-01,430,366,429,597,131,121,6.42,63
2016-02,241,356,190,269,130,79,4.83,87
2016-03,240,353,189,337,110,79,2.81,99
2016-04,199,366,152,236,87,71,2.53,115
2016-05,114,336,84,145,57,51,1.66,116
2016-06,146,364,106,202,56,41,1.78,182
2016-07,170,365,129,210,24,31,1.97,155
2016-08,97,360,69,116,24,33,1.98,121
2016-09,148,364,112,171,35,61,2.2,142
2016-10,143,350,108,161,41,77,2.38,98
2016-11,319,366,265,413,63,86,3.84,44
2016-12,493,365,547,655,57,123,6.84,46
2017-01,357,363,306,404,70,95,6.69,68
2017-02,406,366,360,480,62,67,4.16,76
2017-03,225,364,175,245,47,63,2.04,86
2017-04,187,363,142,202,51,47,2.12,116
2017-05,242,361,103,373,39,46,1.53,172
2017-06,139,364,97,142,26,45,1.77,190
2017-07,125,354,90,146,19,36,1.98,171
2017-08,122,366,92,150,26,49,1.69,149
2017-09,127,360,93,162,27,48,1.54,137
2017-10,172,359,132,188,27,64,1.9,74
2017-11,190,360,144,229,54,69,2.05,79
2017-12,296,362,245,341,50,88,3.27,79
2018-01,383,364,333,463,44,116,4.5,84
2018-02,248,362,197,263,63,51,2.39,99
2018-03,267,360,216,310,31,56,1.82,116
2018-04,271,360,96,342,35,53,1.59,123
2018-05,181,361,100,272,22,43,1.49,152
2018-06,128,363,65,128,19,38,1.46,187
2018-07,134,362,79,118,11,23,1.18,181
2018-08,109,355,57,94,12,21,0.95,172
2018-09,79,349,56,91,15,33,1.53,124
2018-10,105,335,78,145,18,47,1.2,116
2018-11,201,349,129,338,20,61,1.82,112
2018-12,191,343,144,260,31,65,2.2,77
2019-01,214,343,164,238,27,63,2.62,78
2019-02,220,353,170,250,32,51,1.9,106
2019-03,128,329,96,142,20,41,1.29,108
2019-04,124,349,82,176,18,39,1.25,126
2019-05,115,339,58,178,16,36,0.87,145
2019-06,109,356,48,111,14,39,0.96,215
2019-07,104,361,62,90,9,34,1.1,167
2019-08,85,366,57,83,18,31,1.35,120
2019-09,92,358,67,109,18,48,1.3,159
2019-10,178,362,87,255,21,77,1.26,137
2019-11,193,363,149,238,26,77,1.44,71
2019-12,269,364,219,284,24,74,2.46,56
2020-01,272,361,222,307,35,94,3.02,77
2020-02,155,356,117,160,20,36,1.6,89
2020-03,167,360,127,201,29,62,1.38,101
2020-04,119,360,86,169,25,51,0.97,119
2020-05,112,358,60,156,24,49,0.98,155
2020-06,117,364,75,176,21,42,1.18,176
2020-07,88,361,64,97,10,26,1.01,175
2020-08,89,363,56,94,11,34,1.25,142
2020-09,101,362,75,127,19,44,1.4,140
2020-10,155,362,118,219,21,70,1.58,77
2020-11,200,359,154,218,20,74,1.88,80
2020-12,270,362,220,314,22,82,2.5,55
2021-01,359,355,223,472,31,82,2.85,67
2021-02,157,360,119,165,19,45,1.63,93
2021-03,398,358,130,807,16,45,1.2,84
2021-04,353,359,103,459,12,39,1.05,118
2021-05,210,359,72,328,19,30,0.95,155
2021-06,101,363,57,136,17,30,1.21,194
2021-07,80,356,33,71,7,15,0.81,153
2021-08,66,351,46,79,12,30,1.1,145
2021-09,86,363,57,99,15,30,1.08,138
2021-10,117,358,84,152,14,52,1.21,126
2021-11,178,360,135,186,19,61,1.47,69
2021-12,213,351,167,224,23,59,1.63,53
2022-01,242,335,192,239,25,65,2.08,73
2022-02,143,331,108,144,13,42,1.3,80
2022-03,286,335,148,406,19,44,1.39,112
