年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,84,20,22,111,55,30,0.84,37
2014-01,52,10,12,56,51,14,1.05,7
2014-02,58,63,33,55,53,17,1.05,8
2014-03,68,24,36,83,49,29,1.2,14
2014-04,64,58,35,72,14,21,0.85,18
2014-05,68,70,27,75,12,17,0.6,22
2014-06,57,82,40,52,18,24,0.65,45
2014-07,67,106,32,56,8,21,0.65,21
2014-08,36,17,23,34,11,13,0.5,20
2014-09,20,2,11,18,13,19,0.39,9
2014-10,47,7,21,47,19,25,0.53,6
2014-11,34,16,11,32,29,13,0.42,15
2014-12,41,25,15,36,34,12,0.79,14
2015-01,76,101,47,95,38,21,1.41,13
2015-02,81,178,51,98,34,22,1.15,28
2015-03,68,228,36,84,25,19,0.63,20
2015-04,80,251,42,106,17,26,0.58,18
2015-05,56,185,22,59,11,15,0.71,27
2015-06,51,191,30,51,8,15,0.7,28
2015-07,64,243,34,75,4,21,1.08,30
2015-08,40,67,13,40,5,17,0.9,31
2015-09,24,19,12,18,9,16,0.87,13
2015-10,33,29,12,31,11,13,0.75,7
2015-11,32,43,18,30,9,21,0.62,5
2015-12,35,48,14,34,23,15,1.0,3
2016-01,47,44,16,48,25,12,1.35,3
2016-02,38,17,16,24,29,17,0.85,13
2016-03,49,91,21,52,34,29,1.1,33
2016-04,51,122,28,52,23,25,1.25,15
2016-05,43,100,13,35,23,22,0.87,33
2016-06,72,270,28,76,13,21,0.87,48
2016-07,48,129,25,41,9,15,1.01,54
2016-08,44,63,22,34,8,13,0.89,55
2016-09,44,110,18,34,13,22,1.07,47
2016-10,30,61,18,28,9,27,0.87,8
2016-11,69,254,49,58,13,27,0.98,9
2016-12,61,133,39,69,14,34,1.18,7
2017-01,67,179,39,81,17,22,1.12,8
2017-02,62,155,40,70,19,28,0.99,10
2017-03,48,58,24,41,17,19,0.88,23
2017-04,50,126,23,50,15,16,0.87,24
2017-05,58,172,28,62,11,19,0.75,48
2017-06,56,216,35,47,6,17,0.76,75
2017-07,49,118,25,44,6,14,0.64,53
2017-08,47,252,27,44,4,17,0.81,24
2017-09,50,149,28,48,4,20,0.53,22
2017-10,35,128,20,33,4,19,0.78,6
2017-11,54,135,22,57,12,23,0.65,7
2017-12,40,24,19,39,9,19,0.54,6
2018-01,45,72,18,42,8,11,0.75,7
2018-02,52,57,19,53,11,15,0.74,42
2018-03,55,187,23,57,4,16,0.51,27
2018-04,50,143,29,39,5,12,0.58,10
2018-05,50,153,31,46,3,15,0.64,53
2018-06,50,148,26,44,4,14,0.49,69
2018-07,43,167,29,41,4,12,0.49,62
2018-08,47,208,23,38,5,12,0.6,84
2018-09,52,212,23,50,5,18,0.49,59
2018-10,50,174,23,46,8,18,0.54,67
2018-11,58,204,37,60,5,24,0.77,53
2018-12,64,128,36,77,6,25,0.57,53
2019-01,59,73,34,66,7,19,0.74,50
2019-02,63,140,37,71,6,16,0.69,59
2019-03,57,176,27,61,6,14,0.51,69
2019-04,60,197,28,58,6,17,0.53,74
2019-05,63,205,29,56,7,16,0.38,88
2019-06,39,241,21,34,5,19,0.48,94
2019-07,49,264,24,45,4,16,0.43,92
2019-08,49,258,28,48,4,15,0.59,60
2019-09,26,71,16,23,5,14,0.5,13
2019-10,25,86,14,23,6,17,0.37,14
2019-11,46,169,16,48,7,20,0.33,13
2019-12,43,112,16,43,5,23,0.42,4
2020-01,66,150,33,79,5,14,0.88,6
2020-02,33,199,13,31,5,8,0.35,23
2020-03,44,85,18,44,5,20,0.32,24
2020-04,46,100,28,44,6,19,0.48,26
2020-05,43,154,18,33,5,15,0.31,39
2020-06,35,208,22,26,3,11,0.39,47
2020-07,38,224,22,34,2,11,0.51,77
2020-08,21,85,10,20,2,13,0.4,39
2020-09,45,197,16,37,7,17,0.68,50
2020-10,46,262,26,47,4,22,0.69,6
2020-11,36,137,21,30,2,24,0.42,7
2020-12,42,112,13,42,4,14,0.43,9
2021-01,44,119,15,44,4,13,0.24,10
2021-02,64,224,32,76,3,13,0.57,14
2021-03,54,139,18,46,3,13,0.32,28
2021-04,50,164,25,53,4,12,0.4,40
2021-05,25,97,13,24,3,10,0.34,55
2021-06,34,260,14,27,4,8,0.48,49
2021-07,19,28,6,8,1,3,0.33,40
2021-08,22,67,8,14,3,7,0.45,48
2021-09,21,53,8,11,2,6,0.51,28
2021-10,19,76,12,18,3,13,0.4,22
2021-11,34,137,12,34,4,9,0.34,10
2021-12,42,140,18,43,5,16,0.45,10
2022-01,65,185,32,75,4,11,0.65,5
2022-02,41,94,19,41,4,12,0.61,24
2022-03,54,203,18,52,5,12,0.41,26
