年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,187.0,175.0,43.0,84.0,52.0,39.0,0.94,38.0
2014-01,130.5,105.5,99.0,130.0,45.5,50.0,1.385,29.5
2014-02,105.5,121.0,77.0,108.0,36.5,46.5,1.08,48.5
2014-03,66.5,51.5,46.5,70.0,36.5,37.0,0.785,57.5
2014-04,76.0,69.5,45.5,96.5,24.0,28.0,0.65,72.0
2014-05,51.0,33.0,29.0,51.0,8.0,23.0,0.62,65.0
2014-06,57.5,68.5,31.5,61.5,10.0,25.0,0.435,53.5
2014-07,65.0,87.0,37.0,71.0,10.0,24.0,0.42,59.0
2014-08,56.0,73.0,29.0,61.0,13.0,24.0,0.38,46.0
2014-09,52.0,67.5,27.0,57.0,10.0,25.0,0.36,28.5
2014-10,82.0,88.0,47.0,91.0,17.0,34.0,0.55,35.0
2014-11,130.0,142.5,98.5,123.0,27.5,34.0,0.865,27.5
2014-12,90.0,97.0,64.0,85.0,35.0,29.0,0.95,37.0
2015-01,95.0,209.0,70.0,100.0,43.0,35.0,1.35,39.0
2015-02,80.5,173.0,55.0,82.0,35.5,31.0,1.0,53.5
2015-03,65.0,163.0,42.0,64.0,24.0,25.0,0.87,71.0
2015-04,71.5,169.0,41.0,79.5,23.5,17.5,0.715,71.5
2015-05,51.0,104.0,24.0,51.0,8.0,15.0,0.43,69.0
2015-06,51.5,139.5,26.0,47.5,8.0,18.0,0.385,67.0
2015-07,52.0,163.0,24.0,47.0,6.0,21.0,0.48,64.0
2015-08,41.0,91.0,20.0,39.0,7.0,23.0,0.44,43.0
2015-09,50.5,156.0,22.0,53.5,6.0,18.5,0.435,34.5
2015-10,64.0,160.0,33.0,73.0,11.0,28.0,0.61,41.0
2015-11,115.5,301.0,84.5,123.5,26.5,20.5,0.86,28.5
2015-12,103.0,208.0,76.0,103.0,34.0,27.0,1.57,18.0
2016-01,77.0,176.0,54.0,85.0,33.0,23.0,1.05,34.0
2016-02,70.0,179.0,47.0,79.0,27.0,23.0,1.05,49.0
2016-03,61.0,115.0,38.0,69.0,16.0,23.0,0.83,60.0
2016-04,70.5,200.5,32.0,81.0,10.0,19.0,0.6799999999999999,64.5
2016-05,53.0,109.0,23.0,56.0,9.0,17.0,0.41,64.0
2016-06,41.5,82.5,17.0,37.5,8.0,17.0,0.415,54.5
2016-07,41.0,108.0,13.0,38.0,9.0,25.0,0.45,50.0
2016-08,42.0,90.0,11.0,40.0,4.0,20.0,0.38,40.0
2016-09,38.0,74.0,11.0,39.0,4.5,17.5,0.4,26.0
2016-10,48.0,186.0,25.0,56.0,11.0,27.0,0.54,30.0
2016-11,79.5,233.5,55.0,87.0,27.0,37.5,0.915,32.0
2016-12,79.0,119.0,55.0,85.0,30.0,39.0,0.99,26.0
2017-01,85.0,149.0,61.0,89.0,30.0,32.0,0.89,39.0
2017-02,59.0,112.0,35.5,61.0,18.5,18.5,0.6699999999999999,60.0
2017-03,50.0,95.0,31.0,48.0,11.0,23.0,0.62,60.0
2017-04,64.5,158.5,37.5,70.5,5.0,25.5,0.545,69.0
2017-05,53.0,55.0,18.0,53.0,3.0,20.0,0.37,65.0
2017-06,43.0,110.5,16.5,43.5,4.0,23.5,0.35,52.0
2017-07,44.0,112.0,17.0,42.0,3.0,22.0,0.45,55.0
2017-08,37.0,97.0,16.0,34.0,5.0,16.0,0.42,35.0
2017-09,45.0,105.0,16.5,46.0,3.0,22.5,0.47,31.0
2017-10,65.5,242.5,32.5,78.5,4.0,31.5,0.565,34.0
2017-11,59.5,124.0,36.0,64.5,9.0,25.5,0.575,38.5
2017-12,63.0,106.0,43.0,67.0,15.0,27.0,0.85,34.0
2018-01,58.0,129.0,38.0,61.0,13.0,27.0,0.84,42.0
2018-02,59.5,121.0,36.5,61.5,14.5,21.0,0.75,57.5
2018-03,62.0,141.0,38.0,64.0,10.0,28.0,0.67,74.0
2018-04,63.0,129.0,30.0,68.5,4.0,24.5,0.535,77.5
2018-05,57.0,110.0,18.0,56.0,3.0,18.0,0.41,79.0
