年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,126.0,266.0,90.0,146.0,67.0,35.0,2.8,43.0
2015-02,93.0,219.0,56.0,121.0,35.5,17.0,1.955,55.0
2015-03,98.0,269.0,54.0,129.0,27.0,15.0,1.82,72.0
2015-04,81.5,210.0,35.0,84.5,18.5,17.0,0.99,84.5
2015-05,63.0,158.0,26.0,71.0,12.0,17.0,0.46,78.0
2015-06,56.0,172.0,21.5,47.0,7.0,14.5,0.925,74.0
2015-07,53.0,146.0,20.0,49.0,6.0,14.0,0.54,73.0
2015-08,58.0,200.0,21.0,55.0,7.0,14.0,0.58,88.0
2015-09,42.5,102.0,19.5,36.5,7.0,15.0,0.835,60.5
2015-10,51.0,72.0,24.0,43.0,20.0,16.0,0.8,70.0
2015-11,61.0,178.0,39.0,56.0,33.5,30.0,1.365,47.5
2015-12,59.0,110.0,34.0,57.0,43.0,34.0,1.46,42.0
2016-01,87.0,197.0,60.0,94.0,39.0,28.0,1.3,46.0
2016-02,68.0,193.0,43.0,73.0,34.0,20.0,1.18,51.0
2016-03,64.0,111.0,34.0,57.0,23.0,23.0,1.05,69.0
2016-04,64.0,165.0,22.0,52.0,18.5,16.0,0.815,87.5
2016-05,67.0,184.0,22.0,66.0,18.0,17.0,0.76,87.0
2016-06,70.0,264.0,20.5,52.0,4.0,13.0,0.94,100.0
2016-07,64.0,250.0,24.0,52.0,4.0,11.0,0.85,92.0
2016-08,59.0,245.0,35.0,48.0,3.0,14.0,0.64,84.0
2016-09,49.5,137.0,19.0,35.0,8.0,19.5,0.695,69.5
2016-10,64.0,232.0,36.0,34.0,13.0,20.0,1.42,58.0
2016-11,85.5,239.0,58.0,105.5,22.0,28.0,1.885,75.0
2016-12,87.0,173.0,61.0,102.0,30.0,34.0,1.65,41.0
2017-01,90.0,218.0,61.0,106.0,24.0,22.0,0.94,60.0
2017-02,86.5,229.5,56.5,101.5,22.0,16.5,1.0350000000000001,76.5
2017-03,72.0,220.0,34.0,76.0,12.0,19.0,0.89,94.0
2017-04,65.0,140.5,32.0,71.5,10.0,15.5,0.47,71.5
2017-05,66.0,164.0,33.0,63.0,6.0,14.0,0.6,84.0
2017-06,60.0,209.5,28.5,51.5,6.0,12.5,0.9,88.5
2017-07,62.0,232.0,23.0,58.0,5.0,13.0,0.41,89.0
2017-08,45.0,160.0,21.0,24.0,5.0,10.0,0.67,70.0
2017-09,41.0,91.0,20.0,29.5,7.0,16.5,0.74,56.0
2017-10,41.5,69.0,20.0,36.0,10.0,17.5,0.8,46.0
2017-11,66.5,160.5,41.0,76.0,16.5,38.0,1.27,38.0
2017-12,70.0,149.0,37.0,89.0,25.0,45.0,1.51,38.0
2018-01,70.0,163.0,41.0,77.0,16.0,34.0,1.19,52.0
2018-02,71.5,181.5,42.0,87.0,15.0,28.0,1.1549999999999998,65.0
2018-03,65.0,168.0,38.0,72.0,7.0,29.0,1.16,69.0
2018-04,66.0,127.5,31.5,68.5,12.0,28.5,0.79,76.5
