年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,86,131,61,81,20,19,2.0,14
2015-02,77,136,42,88,12,9,1.45,10
2015-03,59,99,19,61,12,9,1.48,48
2015-04,42,37,12,26,5,7,0.45,38
2015-05,39,21,11,14,7,10,0.17,42
2015-06,38,86,11,14,4,10,0.41,50
2015-07,31,53,10,23,4,9,0.18,25
2015-08,42,86,12,21,3,8,0.1,33
2015-09,26,15,9,15,3,10,0.11,23
2015-10,24,5,12,15,6,8,0.33,19
2015-11,38,52,16,20,11,7,0.54,20
2015-12,39,20,12,30,15,21,0.83,20
2016-01,65,86,44,45,18,12,0.56,31
2016-02,52,25,22,35,10,2,0.74,34
2016-03,52,42,15,7,10,8,0.72,43
2016-04,47,67,12,12,8,5,0.63,63
2016-05,40,75,11,15,5,2,0.6,65
2016-06,51,133,11,16,2,8,0.33,75
2016-07,42,115,16,14,2,5,0.38,67
2016-08,31,51,7,16,1,5,0.15,62
2016-09,37,16,5,10,3,10,0.05,46
2016-10,37,66,23,8,2,6,0.45,34
2016-11,56,83,34,65,6,7,0.78,25
2016-12,67,96,42,64,9,14,0.89,16
2017-01,62,49,39,57,12,11,0.58,30
2017-02,72,96,41,72,5,5,0.68,47
2017-03,53,83,20,45,5,7,0.02,53
2017-04,30,16,19,17,4,5,0.16,37
2017-05,50,51,22,38,3,5,0.01,61
2017-06,49,133,22,21,4,5,0.67,70
2017-07,44,73,16,22,4,5,0.15,62
2017-08,28,33,14,0,4,5,0.01,39
2017-09,30,28,13,0,5,7,0.57,33
2017-10,27,6,10,3,5,8,0.57,26
2017-11,49,71,21,48,5,24,0.63,24
2017-12,49,31,23,47,9,23,0.82,20
2018-01,47,53,20,43,4,20,0.24,29
2018-02,50,42,21,47,4,14,0.25,43
2018-03,48,56,24,37,3,15,0.28,48
2018-04,38,61,16,17,6,15,0.18,44
2018-05,45,52,10,14,7,3,0.44,54
2018-06,42,94,13,23,7,10,0.46,64
2018-07,35,73,13,4,7,9,0.28,60
2018-08,28,27,13,4,8,9,0.52,50
2018-09,28,56,7,3,6,10,0.42,48
2018-10,27,24,11,17,9,13,0.44,33
2018-11,32,38,13,17,8,11,0.57,28
2018-12,50,72,24,48,14,3,0.73,23
2019-01,30,33,18,25,17,13,0.65,8
2019-02,42,69,18,23,3,9,0.51,71
2019-03,43,39,16,27,3,10,0.24,56
2019-04,43,52,9,20,1,8,0.25,49
2019-05,40,19,7,5,1,2,0.16,51
2019-06,25,65,8,11,1,6,0.24,41
2019-07,26,18,8,10,2,9,0.27,43
2019-08,20,15,4,8,1,4,0.49,53
2019-09,23,11,6,13,1,5,0.31,43
2019-10,21,10,9,11,2,9,0.4,31
2019-11,27,32,12,20,4,7,0.38,25
2019-12,36,38,21,35,5,15,0.42,22
2020-01,36,52,18,31,7,14,0.36,28
2020-02,27,30,13,21,4,7,0.33,41
2020-03,32,47,14,28,5,7,0.28,53
2020-04,20,9,13,15,3,11,0.15,44
2020-05,20,5,8,10,3,11,0.0,23
2020-06,21,52,3,9,3,6,0.2,54
2020-07,20,42,7,7,2,5,0.12,46
2020-08,14,17,4,7,2,5,0.02,42
2020-09,20,29,8,11,3,7,0.11,33
2020-10,10,4,7,10,4,5,0.22,27
2020-11,30,44,15,25,5,13,0.37,21
2020-12,35,22,18,33,5,16,0.43,22
2021-01,33,17,14,32,7,20,0.5,25
2021-02,27,18,12,21,5,11,0.43,39
2021-03,32,44,15,27,6,11,0.4,40
2021-04,22,13,6,7,5,10,0.38,46
2021-05,25,41,5,8,6,9,0.28,49
2021-06,19,16,5,8,5,8,0.23,45
2021-07,23,66,5,8,5,4,0.11,60
2021-08,15,23,4,6,3,6,0.2,41
2021-09,17,13,5,7,3,7,0.26,39
2021-10,16,10,5,10,5,8,0.35,29
2021-11,22,18,7,13,8,12,0.42,26
2021-12,29,24,11,27,9,12,0.4,20
2022-01,33,44,18,32,5,15,0.57,30
2022-02,30,56,12,26,7,11,0.44,57
2022-03,40,43,15,39,5,14,0.3,38
