年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,27.0,4.0,14.0,25.0,7.0,12.0,0.66,33.0
2015-02,38.0,13.5,13.0,23.5,8.0,9.0,0.43,59.0
2015-03,29.0,8.0,8.0,20.0,7.0,12.0,0.59,31.0
2015-04,38.0,11.0,10.0,33.0,12.0,16.0,0.52,39.0
2015-05,43.0,46.0,17.0,35.0,13.0,23.0,0.65,59.0
2015-06,46.0,109.0,20.0,38.0,12.0,19.0,0.65,36.0
2015-07,46.0,115.0,23.0,46.0,10.0,24.0,0.42,39.0
2015-08,41.0,77.0,18.0,33.0,14.0,25.0,0.62,31.0
2015-09,34.0,44.0,13.0,26.0,14.0,19.0,0.575,51.5
2015-10,41.0,61.0,19.0,40.0,12.0,20.0,0.39,39.0
2015-11,42.0,70.5,23.0,42.0,12.5,21.5,0.455,33.5
2015-12,53.0,69.0,30.0,50.0,16.0,26.0,0.81,35.0
2016-01,48.0,68.0,30.0,38.0,16.0,26.0,1.04,22.0
2016-02,49.0,45.0,24.0,16.0,15.0,17.0,0.86,21.0
2016-03,52.0,42.0,25.0,56.0,11.0,23.0,0.93,30.0
2016-04,42.5,42.0,19.5,38.5,12.0,24.0,0.805,31.0
2016-05,39.0,40.0,20.0,36.0,9.0,20.0,0.85,33.0
2016-06,36.0,76.0,18.5,29.5,10.0,18.5,0.75,36.0
2016-07,39.0,81.0,17.0,30.0,27.0,25.0,0.77,63.0
2016-08,38.0,81.0,19.0,30.0,27.0,21.0,0.6,72.0
2016-09,33.0,36.0,11.0,19.5,29.0,26.0,0.275,60.0
2016-10,36.0,70.0,14.0,24.0,33.0,37.0,0.71,59.0
2016-11,44.0,51.0,24.0,43.5,33.5,47.0,0.685,37.5
2016-12,50.0,38.0,28.0,49.0,30.0,41.0,0.82,48.0
2017-01,46.0,44.0,27.0,45.0,22.0,27.0,0.71,48.0
2017-02,38.0,14.0,18.0,32.0,19.0,26.0,0.595,49.0
2017-03,37.0,16.0,19.0,32.0,20.0,27.0,0.66,49.0
2017-04,38.5,25.5,20.0,32.0,23.0,40.0,0.545,57.0
2017-05,41.0,35.0,20.0,35.0,23.0,33.0,0.48,62.0
2017-06,36.5,69.0,16.0,28.5,15.0,21.0,0.355,57.5
2017-07,50.0,166.0,14.0,30.0,14.0,16.0,0.35,94.0
2017-08,45.0,156.0,11.0,20.0,17.0,14.0,0.38,88.0
2017-09,40.5,85.5,11.0,20.0,19.0,17.5,0.44,80.0
2017-10,37.0,71.5,10.0,20.5,15.0,17.5,0.425,65.5
2017-11,40.0,48.0,14.5,29.5,13.0,15.5,0.415,70.5
2017-12,48.0,41.0,23.0,42.0,12.0,17.0,0.41,68.0
2018-01,47.0,67.0,25.0,40.0,13.0,11.0,0.56,74.0
2018-02,48.5,57.0,24.0,36.0,14.0,8.0,0.475,83.0
2018-03,46.0,46.0,14.0,27.0,13.0,13.0,0.44,87.0
2018-04,48.5,33.0,13.0,31.0,12.0,16.5,0.36,92.5
