年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,84.0,146.0,58.0,88.0,47.0,26.0,0.66,33.0
2015-02,83.0,164.5,59.5,88.0,34.0,19.5,0.565,49.0
2015-03,69.0,175.0,43.0,74.0,27.0,22.0,0.76,72.0
2015-04,78.5,188.5,48.0,89.0,5.0,19.0,0.385,71.0
2015-05,63.0,162.0,38.0,68.0,4.0,16.0,0.34,77.0
2015-06,65.0,203.5,36.0,65.0,3.0,11.0,0.405,91.0
2015-07,76.0,264.0,51.0,69.0,4.0,12.0,0.42,77.0
2015-08,63.0,221.0,44.0,58.0,6.0,10.0,0.38,60.0
2015-09,54.5,174.5,33.5,54.0,10.0,11.0,0.385,40.5
2015-10,72.0,179.0,41.0,88.0,14.0,15.0,0.5,39.0
2015-11,105.0,311.0,77.5,103.0,28.5,19.0,0.76,29.0
2015-12,115.0,251.0,86.0,93.0,33.0,31.0,0.87,35.0
2016-01,73.0,198.0,51.0,65.0,28.0,22.0,0.66,43.0
2016-02,60.0,121.0,40.0,57.0,19.0,17.0,0.52,54.0
2016-03,66.0,142.0,43.0,76.0,13.0,17.0,0.63,57.0
2016-04,66.0,191.0,32.5,77.0,7.0,17.5,0.565,68.0
2016-05,68.0,215.0,41.0,68.0,6.0,17.0,0.6,83.0
2016-06,62.5,227.5,40.5,48.0,5.0,15.0,0.62,73.5
2016-07,65.0,260.0,42.0,69.0,7.0,17.0,0.7,79.0
2016-08,57.0,217.0,32.0,62.0,5.0,15.0,0.53,58.0
2016-09,56.0,181.5,33.5,58.5,6.0,14.0,0.585,41.0
2016-10,50.0,154.0,30.0,53.0,5.0,18.0,0.5,40.0
2016-11,75.0,199.0,50.5,69.0,14.5,29.5,0.875,39.0
2016-12,58.0,110.0,39.0,59.0,13.0,21.0,0.84,31.0
2017-01,63.0,112.0,42.0,66.0,18.0,19.0,0.85,35.0
2017-02,43.0,47.5,25.5,39.0,12.0,15.0,0.695,50.0
2017-03,56.0,144.0,35.0,52.0,12.0,22.0,0.6,62.0
2017-04,52.0,66.5,21.5,49.0,8.0,19.5,0.475,68.5
2017-05,52.0,87.0,20.0,51.0,7.0,22.0,0.44,74.0
2017-06,51.5,145.0,19.5,40.5,7.0,28.0,0.43,71.0
2017-07,53.0,175.0,18.0,36.0,7.0,21.0,0.45,90.0
2017-08,42.0,123.0,14.0,33.0,5.0,17.0,0.42,63.0
2017-09,39.0,75.0,15.0,35.5,7.0,19.0,0.54,48.5
2017-10,56.5,205.5,26.5,60.5,9.0,21.5,0.745,49.5
2017-11,49.5,97.5,27.5,50.0,11.0,16.0,0.775,44.5
2017-12,57.0,98.0,35.0,51.0,16.0,22.0,0.78,34.0
2018-01,49.0,112.0,29.0,43.0,15.0,25.0,0.62,56.0
2018-02,48.5,72.0,25.5,47.5,12.0,17.0,0.7,67.5
2018-03,62.0,161.0,39.0,65.0,12.0,15.0,0.45,82.0
2018-04,60.5,112.5,27.0,57.0,9.0,14.0,0.415,84.0
2018-05,61.0,151.0,19.0,50.0,7.0,12.0,0.35,94.0
2018-06,59.5,166.0,16.5,32.0,6.0,9.0,0.355,96.5
2018-07,49.0,205.0,16.0,39.0,6.0,8.0,0.28,79.0
2018-08,36.0,59.0,12.0,28.0,3.0,9.0,0.28,58.0
2018-09,35.0,102.0,18.0,29.0,4.0,9.0,0.36,48.0
2018-10,41.0,82.0,18.0,41.0,8.0,16.0,0.52,42.0
2018-11,44.0,83.5,22.0,43.0,9.5,16.5,0.63,37.5
2018-12,51.0,134.0,31.0,47.0,12.0,18.0,0.76,45.0
2019-01,54.0,120.0,28.0,54.0,12.0,16.0,0.41,53.0
2019-02,78.0,204.5,53.5,75.5,13.0,16.0,0.47,59.0
2019-03,57.0,156.0,26.0,58.0,10.0,16.0,0.33,74.0
2019-04,59.0,193.5,21.5,56.5,8.5,13.0,0.365,84.0
2019-05,49.0,139.0,15.0,37.0,5.0,10.0,0.31,83.0
2019-06,40.0,105.0,12.0,25.0,5.0,8.0,0.36,78.0
2019-07,31.5,84.5,11.0,22.0,5.0,11.5,0.415,72.0
2019-08,21.5,29.0,7.5,15.0,4.0,6.5,0.515,40.0
2019-09,28.0,53.5,9.0,26.5,5.0,12.5,0.59,50.5
2019-10,30.0,76.0,12.0,30.0,5.0,13.0,0.5,45.0
2019-11,34.0,46.0,16.0,34.5,7.0,11.5,0.565,43.5
2019-12,41.0,86.0,24.0,42.0,12.0,19.0,0.65,34.0
2020-01,61.0,151.0,39.0,65.0,13.0,21.0,0.84,54.0
2020-02,35.0,129.0,21.0,34.0,9.0,9.0,0.79,70.0
2020-03,58.0,170.0,37.0,55.0,9.0,14.0,0.7,61.0
2020-04,57.0,176.0,33.5,58.5,8.5,16.5,0.71,59.0
