年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,199,418,153,209,118,79,3.5,52
2015-02,270,349,161,370,79,68,3.04,70
2015-03,134,327,101,179,22,55,3.38,104
2015-04,121,342,90,161,14,48,1.55,160
2015-05,165,356,86,235,18,33,0.95,117
2015-06,87,309,55,84,38,28,1.45,104
2015-07,76,288,47,75,34,22,1.54,91
2015-08,80,300,52,82,23,19,1.5,70
2015-09,72,289,43,92,36,36,1.34,54
2015-10,136,352,104,153,45,44,1.97,62
2015-11,259,352,229,245,127,62,1.95,70
2015-12,213,319,168,208,163,68,3.21,56
2016-01,137,352,103,136,123,55,1.93,65
2016-02,261,334,240,260,109,49,3.29,75
2016-03,249,350,118,339,82,51,1.84,106
2016-04,139,316,65,199,40,38,1.48,111
2016-05,141,334,80,162,29,28,1.56,148
2016-06,99,348,62,99,31,35,1.24,120
2016-07,93,340,65,109,14,28,1.39,77
2016-08,70,302,38,87,36,33,1.43,62
2016-09,87,330,58,121,34,30,2.0,84
2016-10,119,354,85,176,44,53,2.19,69
2016-11,126,327,94,138,93,50,2.16,82
2016-12,221,348,172,219,173,71,2.56,56
2017-01,252,319,236,273,192,67,2.34,63
2017-02,168,313,127,156,117,64,2.11,105
2017-03,159,343,120,152,80,44,1.74,92
2017-04,131,341,97,162,55,46,1.48,108
2017-05,224,338,61,324,22,28,1.16,165
2017-06,99,282,57,105,17,29,1.16,117
2017-07,64,266,41,63,11,21,1.25,101
2017-08,50,243,26,51,19,18,1.2,69
2017-09,70,316,47,91,25,37,1.33,58
2017-10,106,320,79,133,39,48,1.52,62
2017-11,153,344,117,134,46,39,1.46,84
2017-12,136,303,103,133,75,51,1.85,58
2018-01,108,282,81,124,74,55,1.96,57
2018-02,212,327,181,234,73,41,1.61,83
2018-03,113,304,69,140,36,35,1.63,142
2018-04,96,301,54,116,21,29,1.82,137
2018-05,93,274,53,134,16,33,1.14,125
2018-06,86,329,48,82,15,42,1.57,109
2018-07,67,286,41,69,11,17,1.08,79
2018-08,75,328,33,91,12,21,1.3,80
2018-09,54,265,20,57,29,26,1.14,62
2018-10,73,257,38,93,27,38,1.23,56
2018-11,76,296,53,97,38,41,1.72,70
2018-12,82,311,58,112,41,44,1.83,56
2019-01,194,298,146,194,38,38,2.7,56
2019-02,205,315,186,242,53,30,2.38,68
2019-03,189,343,149,200,22,36,1.78,113
2019-04,91,306,38,129,20,39,1.21,108
2019-05,84,274,34,67,18,20,1.01,114
2019-06,67,266,25,50,13,15,1.0,107
2019-07,55,246,28,44,10,14,1.61,81
2019-08,46,214,24,43,9,12,1.12,70
2019-09,63,240,39,72,12,29,1.41,56
2019-10,68,252,46,81,14,36,1.63,72
2019-11,106,322,58,134,36,46,2.24,57
2019-12,100,312,75,117,40,57,2.17,52
2020-01,199,338,175,229,47,54,2.75,76
2020-02,74,303,53,84,33,34,2.5,84
2020-03,76,287,48,92,24,27,1.75,88
2020-04,100,357,73,148,24,35,1.47,99
2020-05,108,361,40,151,11,26,1.13,135
2020-06,69,315,36,76,11,21,0.79,147
2020-07,50,307,27,52,11,18,0.75,82
2020-08,48,348,23,52,12,18,0.71,81
2020-09,60,301,23,73,11,20,0.83,59
2020-10,76,333,43,103,24,41,1.29,59
2020-11,80,302,54,106,22,36,1.55,69
2020-12,100,345,73,127,32,34,2.09,48
2021-01,81,299,59,102,35,37,2.37,50
2021-02,137,320,103,148,46,32,1.7,68
2021-03,150,348,114,190,25,47,2.35,77
2021-04,71,301,48,83,15,26,1.45,94
2021-05,65,326,33,81,18,28,0.83,114
2021-06,56,305,24,57,14,26,0.95,80
2021-07,45,305,22,46,13,16,0.8,74
2021-08,45,299,23,47,16,19,0.91,67
2021-09,47,278,19,51,14,22,0.86,66
2021-10,72,313,44,93,20,48,1.26,60
2021-11,87,274,59,108,24,61,1.63,70
2021-12,90,332,62,120,34,63,1.96,63
2022-01,116,274,87,144,41,53,1.79,55
2022-02,127,308,94,158,44,39,1.6,102
2022-03,87,253,43,125,95,39,1.3,92
