年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,59,77,27,63,11,24,0.97,17
2015-02,54,65,32,49,6,11,1.34,21
2015-03,43,43,22,42,4,9,0.73,39
2015-04,50,92,24,50,2,8,0.27,17
2015-05,39,41,21,23,2,5,0.5,49
2015-06,33,44,12,22,2,12,0.57,28
2015-07,28,13,12,21,3,11,0.39,33
2015-08,29,17,15,22,5,9,0.51,13
2015-09,39,72,17,35,4,13,0.61,14
2015-10,25,9,12,19,4,11,0.55,15
2015-11,50,102,29,50,5,15,0.54,10
2015-12,39,71,26,37,22,16,0.63,9
2016-01,50,57,34,39,17,11,0.65,19
2016-02,40,37,23,38,10,9,0.98,11
2016-03,45,65,20,41,7,8,0.61,27
2016-04,38,23,15,20,4,8,0.67,32
2016-05,46,38,13,12,3,7,0.72,41
2016-06,35,45,18,28,3,11,0.53,25
2016-07,30,46,13,29,2,15,0.74,16
2016-08,16,9,7,11,2,11,0.62,10
2016-09,21,19,11,18,3,12,0.96,14
2016-10,28,34,13,25,2,11,0.99,7
2016-11,38,36,25,34,7,6,0.52,10
2016-12,49,67,26,49,12,13,0.72,11
2017-01,46,83,27,41,21,16,0.68,12
2017-02,53,104,23,36,14,16,0.63,30
2017-03,54,103,35,43,19,15,0.73,56
2017-04,37,12,17,29,6,12,0.71,48
2017-05,34,21,10,13,3,8,0.64,40
2017-06,33,34,15,29,4,12,0.71,32
2017-07,36,41,14,21,3,9,0.75,22
2017-08,25,24,9,20,2,8,0.66,13
2017-09,36,57,14,31,4,12,0.49,4
2017-10,29,97,17,16,4,11,0.46,17
2017-11,38,24,19,33,7,10,0.57,19
2017-12,48,37,24,48,9,9,0.54,17
2018-01,49,55,25,49,19,15,0.8,19
2018-02,54,48,20,52,17,13,0.85,34
2018-03,46,76,13,25,11,11,0.66,62
2018-04,50,28,16,30,9,6,0.53,69
2018-05,22,1,9,18,6,6,0.59,39
2018-06,26,7,11,19,7,8,0.64,31
2018-07,17,4,6,16,6,5,0.63,15
2018-08,24,6,8,17,5,7,0.57,28
2018-09,23,21,6,17,6,10,0.55,12
2018-10,20,1,7,12,7,10,0.68,20
2018-11,24,6,12,22,7,6,0.76,9
2018-12,36,62,15,34,11,10,0.79,10
2019-01,52,68,23,57,10,11,0.72,15
2019-02,39,36,21,35,11,4,0.79,35
2019-03,42,40,12,36,4,7,0.6,47
2019-04,39,28,12,32,6,7,0.56,26
2019-05,37,44,10,18,4,6,0.45,43
2019-06,26,51,9,18,5,7,0.45,32
2019-07,21,26,7,18,5,9,0.49,25
2019-08,25,48,8,23,5,5,0.37,21
2019-09,19,10,6,16,4,7,0.3,18
2019-10,20,32,6,18,4,6,0.42,24
2019-11,25,28,8,25,7,6,0.33,7
2019-12,38,29,24,36,15,12,0.8,8
2020-01,62,149,40,66,14,15,1.34,12
2020-02,31,31,11,30,7,8,0.8,45
2020-03,34,54,9,34,8,6,0.53,46
2020-04,26,55,10,26,5,5,0.67,49
2020-05,19,11,5,19,6,6,0.5,37
2020-06,21,73,7,21,5,9,0.38,41
2020-07,22,61,6,22,5,8,0.26,33
2020-08,22,37,6,21,5,6,0.36,16
2020-09,23,26,5,22,5,8,0.33,19
2020-10,33,79,11,33,6,10,0.46,16
2020-11,26,64,8,26,7,6,0.41,17
2020-12,52,117,17,58,13,9,0.63,13
2021-01,31,28,12,31,13,6,0.61,12
2021-02,43,113,14,44,8,5,0.5,23
2021-03,37,42,12,37,8,6,0.43,23
2021-04,26,37,11,24,5,6,0.47,57
2021-05,26,51,9,24,7,10,0.44,35
2021-06,24,43,6,21,8,8,0.43,39
2021-07,20,27,6,19,8,8,0.4,31
2021-08,21,47,6,20,9,12,0.44,33
2021-09,20,37,6,19,9,10,0.38,10
2021-10,24,70,7,23,8,6,0.42,11
2021-11,32,84,8,31,7,9,0.63,16
2021-12,39,92,12,40,8,12,0.44,11
2022-01,61,119,26,75,17,24,0.75,24
2022-02,49,97,19,52,12,16,0.6,46
2022-03,33,70,9,29,6,6,0.4,33
