年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,112.0,214.0,80.0,128.0,52.0,31.0,1.73,46.0
2015-02,83.0,163.0,49.5,109.5,26.0,22.5,2.5999999999999996,53.5
2015-03,68.0,148.0,39.0,82.0,29.0,26.0,1.09,49.0
2015-04,74.0,211.5,37.0,88.0,33.0,23.0,1.55,79.5
2015-05,76.0,235.0,46.0,94.0,23.0,18.0,0.91,86.0
2015-06,61.0,204.5,29.0,65.5,34.5,13.0,0.855,71.0
2015-07,58.0,180.0,29.0,55.0,19.0,13.0,0.47,72.0
2015-08,58.0,192.0,34.0,53.0,19.0,16.0,0.72,87.0
2015-09,78.0,299.5,48.0,81.5,22.5,17.0,0.91,87.5
2015-10,97.0,272.0,71.0,121.0,27.0,32.0,1.16,76.0
2015-11,72.0,208.5,47.0,87.0,31.5,27.0,0.825,46.0
2015-12,87.0,218.0,57.0,115.0,31.0,30.0,0.89,62.0
2016-01,88.0,227.0,65.0,94.0,29.0,37.0,0.78,45.0
2016-02,83.0,208.0,51.0,100.0,20.0,32.0,1.34,70.0
2016-03,80.0,202.0,51.0,99.0,26.0,34.0,1.0,72.0
2016-04,64.5,180.5,42.5,70.0,30.5,25.0,0.48,74.5
2016-05,60.0,168.0,32.0,67.0,33.0,19.0,0.62,84.0
2016-06,50.0,171.0,22.0,47.0,21.0,14.0,0.71,85.5
2016-07,48.0,167.0,22.0,47.0,21.0,13.0,0.59,72.0
2016-08,56.0,227.0,32.0,58.0,13.0,13.0,0.62,68.0
2016-09,75.5,280.5,45.5,84.0,21.5,22.0,0.75,92.5
2016-10,65.0,225.0,35.0,78.0,15.0,21.0,0.71,49.0
2016-11,64.5,147.5,36.5,77.0,18.5,27.0,1.08,40.0
2016-12,96.0,196.0,67.0,134.0,20.0,42.0,1.41,40.0
2017-01,106.0,227.0,79.0,141.0,19.0,38.0,1.43,48.0
2017-02,72.5,169.5,47.5,89.5,14.0,28.5,1.18,70.5
2017-03,68.0,152.0,41.0,79.0,10.0,27.0,0.84,59.0
2017-04,63.5,117.5,27.0,65.5,11.5,22.0,0.765,85.0
2017-05,62.0,151.0,25.0,54.0,11.0,21.0,0.71,94.0
2017-06,45.5,111.5,19.5,30.5,5.0,13.0,0.76,81.5
2017-07,38.0,92.0,18.0,31.0,11.0,14.0,0.77,67.0
2017-08,44.0,140.0,21.0,36.0,7.0,15.0,0.88,73.0
2017-09,54.0,166.0,28.5,51.0,7.0,19.5,1.1749999999999998,64.0
2017-10,47.5,135.0,22.5,47.0,6.0,21.5,1.1749999999999998,55.0
2017-11,81.5,250.5,56.5,107.5,16.5,35.5,1.52,41.5
2017-12,89.0,221.0,64.0,121.0,23.0,42.0,1.66,45.0
2018-01,75.0,202.0,52.0,92.0,10.0,30.0,1.55,41.0
2018-02,78.0,210.0,55.0,101.0,13.5,23.0,1.7149999999999999,56.0
2018-03,60.0,109.0,27.0,64.0,10.0,26.0,1.25,58.0
2018-04,63.0,101.0,25.0,69.0,9.0,22.5,0.97,73.5
2018-05,53.0,109.0,19.0,43.0,5.0,14.0,0.98,83.0
2018-06,48.5,109.0,18.0,36.5,7.5,14.5,1.0550000000000002,84.5
2018-07,46.0,161.0,18.0,38.0,7.0,14.0,1.03,78.0
2018-08,46.0,166.0,17.0,37.0,4.0,13.0,1.06,78.0
2018-09,50.0,198.0,22.0,49.0,7.0,14.0,1.1,67.0
2018-10,62.0,233.0,31.0,71.0,10.0,22.0,1.29,68.0
2018-11,64.5,142.0,39.0,73.0,6.5,25.5,1.4,42.0
2018-12,83.0,226.0,55.0,91.0,4.0,30.0,1.45,31.0
2019-01,141.0,332.0,106.0,133.0,3.0,30.0,1.59,33.0
2019-02,99.0,260.0,73.0,91.0,1.0,16.5,1.205,41.5
2019-03,67.0,214.0,47.0,65.0,5.0,24.0,1.13,66.0
2019-04,55.5,145.5,34.0,50.5,6.0,17.0,1.065,68.5
2019-05,65.0,187.0,35.0,60.0,6.0,17.0,0.97,69.0
2019-06,43.0,149.0,20.0,34.0,6.0,11.0,0.99,69.0
2019-07,38.5,153.0,19.5,32.5,7.5,12.0,1.005,66.0
2019-08,55.5,276.5,29.0,49.5,3.0,9.0,0.98,89.0
2019-09,62.0,268.5,36.5,56.5,6.0,16.5,1.0750000000000002,109.0
2019-10,62.0,203.0,42.0,59.0,6.0,19.0,1.05,49.0
2019-11,92.0,288.0,67.0,96.5,9.0,26.0,1.2,48.0
