年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,462,114,308,577,100,109,3.55,28
2013-11,498,114,378,670,284,147,6.23,42
2013-12,500,114,653,843,283,186,9.46,46
2014-01,500,190,519,724,301,153,5.53,45
2014-02,491,190,506,741,257,155,4.39,47
2014-03,384,190,291,498,166,123,2.61,61
2014-04,253,190,183,355,101,84,1.83,77
2014-05,256,188,177,351,89,73,1.27,125
2014-06,227,190,176,245,74,65,1.49,145
2014-07,260,190,209,298,61,53,1.58,138
2014-08,204,190,156,230,50,44,1.56,102
2014-09,167,189,126,191,48,47,1.49,87
2014-10,429,189,386,518,96,97,2.98,48
2014-11,422,189,380,519,126,118,4.17,37
2014-12,386,374,320,477,260,121,6.2,48
2015-01,443,621,391,540,259,170,6.97,44
2015-02,272,361,221,290,179,99,3.5,54
2015-03,294,362,243,346,110,87,2.92,64
2015-04,193,363,148,304,68,80,1.44,103
2015-05,167,344,127,176,73,67,1.3,126
2015-06,143,362,107,175,63,54,1.24,124
2015-07,173,362,134,182,37,34,0.72,114
2015-08,169,364,128,212,39,56,1.17,119
2015-09,131,358,98,181,52,79,1.96,102
2015-10,181,343,136,268,84,107,2.24,80
2015-11,391,366,348,446,157,136,6.28,40
2015-12,385,363,339,455,154,144,7.61,42
2016-01,463,366,436,570,141,153,6.72,48
2016-02,288,360,237,337,124,88,3.79,69
2016-03,276,364,222,357,97,94,2.73,82
2016-04,186,360,143,260,58,67,1.73,110
2016-05,185,356,137,224,50,66,1.41,133
2016-06,130,359,98,149,45,73,1.49,131
2016-07,192,366,144,205,26,51,1.61,102
2016-08,83,304,49,113,23,60,1.3,81
2016-09,261,367,210,333,52,85,2.02,143
2016-10,335,366,284,412,75,118,2.69,113
2016-11,371,366,284,478,129,114,3.75,54
2016-12,500,366,566,789,107,167,9.36,34
2017-01,426,366,367,517,143,119,7.35,60
2017-02,442,367,406,528,138,126,4.54,63
2017-03,218,363,171,284,60,68,2.25,103
2017-04,228,363,177,261,56,70,1.66,99
2017-05,350,364,202,789,41,65,1.63,184
2017-06,142,365,88,187,49,76,1.27,163
2017-07,143,363,93,176,30,44,1.28,164
2017-08,131,365,97,182,31,54,1.64,124
2017-09,210,366,160,289,30,77,1.77,138
2017-10,238,363,187,294,28,74,2.15,56
2017-11,230,363,180,270,44,84,2.09,47
2017-12,346,359,300,401,73,110,4.22,51
2018-01,275,366,225,318,89,105,3.52,55
2018-02,317,366,266,330,60,73,3.28,77
2018-03,394,364,343,470,42,83,3.05,156
2018-04,266,362,149,425,48,67,1.47,110
2018-05,200,363,101,286,38,52,1.22,132
2018-06,129,364,76,153,34,56,1.2,172
2018-07,124,363,68,124,21,37,1.0,180
2018-08,114,356,67,114,18,39,1.07,144
2018-09,116,362,87,142,22,55,1.62,120
2018-10,251,367,200,311,25,83,1.78,84
2018-11,303,367,229,426,28,110,2.9,59
2018-12,222,360,170,342,41,91,2.41,32
2019-01,372,365,322,443,61,113,4.57,52
2019-02,309,363,258,373,38,90,3.38,66
2019-03,275,364,228,329,33,78,2.25,89
2019-04,185,360,120,268,30,66,1.23,106
2019-05,124,353,58,164,32,53,1.31,161
2019-06,120,365,58,123,24,54,1.15,185
2019-07,130,364,72,116,17,40,1.08,183
2019-08,83,355,59,107,12,48,1.07,100
2019-09,105,365,79,130,21,65,1.16,127
2019-10,197,366,150,216,22,74,1.61,132
2019-11,234,361,184,294,24,96,2.11,56
2019-12,219,355,169,268,24,95,3.48,35
2020-01,320,366,270,378,46,109,4.55,70
2020-02,263,366,213,261,23,47,2.4,77
2020-03,180,362,139,188,20,67,1.44,75
2020-04,126,362,75,193,22,63,0.9,128
2020-05,101,358,74,137,22,56,0.98,133
2020-06,104,365,72,143,21,54,0.89,149
2020-07,92,365,67,103,14,49,1.03,127
2020-08,93,364,69,105,12,34,1.17,130
2020-09,104,360,77,125,16,54,1.18,148
2020-10,190,366,144,256,23,95,1.6,51
2020-11,230,364,180,285,25,106,2.11,39
2020-12,206,336,157,211,40,94,2.57,54
2021-01,314,353,163,447,28,71,1.83,71
2021-02,245,364,195,253,37,52,2.3,102
2021-03,365,366,167,869,16,63,1.72,76
2021-04,287,360,105,413,15,58,0.97,95
2021-05,313,363,129,577,16,39,0.95,113
2021-06,93,364,61,104,13,42,1.1,167
2021-07,90,365,45,95,7,34,1.27,167
2021-08,80,364,53,89,10,29,1.3,124
2021-09,98,364,70,117,9,42,1.08,125
2021-10,119,359,90,142,11,68,1.05,67
2021-11,192,359,148,196,17,73,1.5,61
2021-12,185,339,140,183,23,68,1.6,48
2022-01,216,333,167,204,16,71,2.01,72
2022-02,134,324,101,149,17,60,1.22,71
2022-03,181,329,121,266,15,63,1.06,84
