年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,120.0,273.0,89.0,132.0,22.0,48.0,2.91,18.0
2015-02,120.5,306.0,90.5,30.5,24.5,48.5,1.6400000000000001,54.0
2015-03,78.0,188.0,36.0,60.0,10.0,20.0,1.14,44.0
2015-04,62.0,159.5,27.0,71.0,7.0,18.5,0.655,61.0
2015-05,67.0,186.0,29.0,71.0,6.0,21.0,0.77,76.0
2015-06,56.0,171.0,20.0,34.0,5.0,21.0,0.41,89.5
2015-07,58.0,211.0,26.0,52.0,8.0,26.0,0.6,82.0
2015-08,56.0,183.0,23.0,52.0,9.0,24.0,0.68,61.0
2015-09,49.0,119.0,18.0,46.5,9.5,25.0,0.72,51.5
2015-10,59.0,164.0,31.0,68.0,12.0,38.0,0.84,33.0
2015-11,58.5,163.5,35.0,65.5,10.5,33.5,1.12,18.5
2015-12,138.0,227.0,104.0,186.0,16.0,52.0,1.86,12.0
2016-01,174.0,320.0,124.0,218.0,15.0,59.0,2.27,17.0
2016-02,227.0,360.0,178.0,276.0,32.0,74.0,2.53,55.0
2016-03,62.0,165.0,34.0,57.0,15.0,27.0,1.13,81.0
2016-04,53.0,108.5,12.5,33.0,9.0,20.5,0.86,90.0
2016-05,39.0,36.0,11.0,26.0,8.0,18.0,0.63,59.0
2016-06,36.5,47.0,12.0,27.5,8.5,17.5,0.515,44.5
2016-07,30.0,50.0,11.0,26.0,8.0,17.0,0.46,36.0
2016-08,39.0,84.0,15.0,38.0,9.0,25.0,0.76,41.0
2016-09,48.0,122.0,16.5,50.0,13.0,33.0,0.805,47.0
2016-10,47.0,137.0,21.0,50.0,9.0,29.0,0.78,26.0
2016-11,77.5,247.0,50.5,95.0,12.0,36.5,2.05,26.0
2016-12,152.0,305.0,115.0,156.0,13.0,53.0,1.74,15.0
2017-01,243.0,350.0,193.0,282.0,24.0,85.0,2.83,29.0
2017-02,186.5,354.5,144.0,215.0,23.5,78.5,2.08,59.0
2017-03,95.0,292.0,68.0,110.0,14.0,46.0,1.19,86.0
2017-04,58.0,123.5,21.0,48.5,14.0,35.0,0.8,92.5
2017-05,66.0,188.0,23.0,47.0,12.0,37.0,0.59,103.0
2017-06,59.0,221.5,15.5,42.0,10.0,27.0,0.63,99.0
2017-07,63.0,239.0,19.0,55.0,10.0,25.0,0.83,97.0
2017-08,52.0,203.0,15.0,37.0,8.0,24.0,0.7,83.0
2017-09,57.5,194.5,22.5,59.0,12.0,31.0,0.79,74.5
2017-10,61.5,227.5,36.0,64.5,11.0,38.5,0.915,42.0
2017-11,77.0,224.5,54.5,75.0,13.0,35.5,1.0750000000000002,19.0
2017-12,108.0,251.0,80.0,98.0,13.0,37.0,1.29,15.0
