年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,36,1,17,34,5,23,0.43,48
2013-11,24,2,7,17,5,25,0.53,28
2013-12,20,3,7,15,6,32,0.55,27
2014-01,42,4,19,39,8,32,0.59,30
2014-02,18,2,7,15,5,16,0.65,18
2014-03,28,5,13,23,6,23,0.81,27
2014-04,35,8,16,32,4,19,0.68,21
2014-05,35,10,15,34,3,15,0.93,33
2014-06,32,17,15,27,3,16,0.74,21
2014-07,23,4,8,20,3,4,0.61,23
2014-08,32,16,10,30,3,14,0.51,17
2014-09,34,9,9,11,2,11,0.5,40
2014-10,39,7,15,29,2,12,0.4,47
2014-11,35,6,15,32,2,16,0.48,16
2014-12,26,9,17,17,3,17,0.52,17
2015-01,25,7,12,8,2,18,0.55,14
2015-02,24,8,9,14,2,13,0.5,12
2015-03,20,5,9,14,3,16,0.48,21
2015-04,28,21,9,14,2,15,0.4,34
2015-05,28,10,8,25,2,18,0.46,6
2015-06,29,22,11,20,2,14,0.57,23
2015-07,18,1,5,15,2,8,0.46,19
2015-08,20,2,6,11,3,4,0.41,17
2015-09,23,11,9,17,2,9,0.5,27
2015-10,26,4,9,19,3,13,0.45,30
2015-11,26,12,8,13,3,16,0.45,19
2015-12,20,1,8,13,3,18,0.42,13
2016-01,22,2,6,8,4,12,0.46,13
2016-02,26,11,8,10,4,13,0.55,33
2016-03,30,27,6,10,4,20,0.52,25
2016-04,26,3,10,19,3,19,0.56,27
2016-05,29,22,11,20,3,12,0.51,29
2016-06,26,10,10,20,3,11,0.52,37
2016-07,21,5,4,13,3,6,0.48,30
2016-08,18,3,5,15,3,6,0.5,26
2016-09,19,3,7,13,3,3,0.49,26
2016-10,21,3,7,17,3,8,0.37,26
2016-11,17,6,7,11,3,9,0.51,20
2016-12,28,11,13,29,4,17,0.45,16
2017-01,21,13,12,18,3,10,0.5,12
2017-02,19,5,8,17,3,9,0.55,25
2017-03,29,16,13,24,3,18,0.52,27
2017-04,31,12,10,20,4,18,0.51,32
2017-05,36,10,12,25,3,13,0.54,43
2017-06,26,6,6,10,3,14,0.54,29
2017-07,26,6,5,20,3,4,0.5,39
2017-08,19,3,6,16,4,7,0.38,29
2017-09,28,34,12,26,4,10,0.51,40
2017-10,22,28,7,17,4,10,0.48,29
2017-11,21,6,9,18,5,17,0.5,27
2017-12,15,5,8,13,5,15,0.51,21
2018-01,19,8,8,13,4,15,0.41,15
2018-02,32,9,12,19,4,12,0.55,35
2018-03,21,1,9,15,4,16,0.46,28
2018-04,37,29,12,31,4,17,0.52,41
2018-05,32,22,9,21,5,12,0.45,36
2018-06,26,6,5,14,4,10,0.48,25
2018-07,17,1,4,16,4,4,0.43,22
2018-08,20,4,5,15,3,11,0.51,31
2018-09,20,3,5,14,4,6,0.39,31
2018-10,23,24,8,15,5,14,0.45,45
2018-11,18,6,6,11,4,14,0.46,28
2018-12,17,4,2,9,3,14,0.45,20
2019-01,22,2,10,19,3,17,0.37,14
2019-02,18,8,4,7,3,7,0.42,25
2019-03,25,12,11,17,3,11,0.32,30
2019-04,30,25,6,14,3,9,0.44,44
2019-05,31,19,5,14,3,8,0.37,30
2019-06,20,3,5,10,3,8,0.4,30
2019-07,21,2,6,14,3,5,0.37,29
2019-08,18,6,6,16,3,4,0.42,25
2019-09,15,4,6,15,2,6,0.5,27
2019-10,16,10,7,15,3,6,0.56,35
2019-11,25,38,11,21,4,13,0.47,41
2019-12,18,12,10,16,3,15,0.34,19
2020-01,12,5,2,5,3,4,0.43,23
2020-02,14,17,3,6,3,6,0.51,28
2020-03,17,5,4,6,3,10,0.49,19
2020-04,25,27,10,18,3,11,0.49,40
2020-05,23,12,8,15,3,17,0.46,47
2020-06,18,19,7,13,3,10,0.41,19
2020-07,16,10,5,16,3,5,0.47,20
2020-08,17,24,5,16,4,5,0.58,27
2020-09,20,32,6,14,3,11,0.61,43
2020-10,22,15,8,20,3,8,0.56,45
2020-11,18,12,7,18,4,10,0.48,42
2020-12,17,9,6,9,3,11,0.37,32
2021-01,33,31,17,27,3,13,0.52,36
2021-02,18,7,9,12,3,6,0.5,30
2021-03,24,14,15,21,3,12,0.51,30
2021-04,25,44,10,25,3,8,0.5,35
2021-05,21,10,10,15,2,11,0.53,35
2021-06,18,4,6,12,2,11,0.55,28
2021-07,12,7,3,11,3,3,0.4,27
2021-08,15,7,4,7,3,6,0.48,24
2021-09,13,7,3,11,3,6,0.55,25
2021-10,14,7,3,10,3,4,0.43,30
2021-11,17,12,6,15,2,11,0.39,24
2021-12,21,20,14,14,2,11,0.44,25
2022-01,16,18,5,8,2,6,0.46,23
2022-02,13,24,5,7,2,4,0.4,36
2022-03,22,6,11,16,2,12,0.41,24
