年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,79.0,12.0,32.0,120.0,62.0,45.0,0.43,0.0
2014-01,112.5,78.5,82.5,118.5,57.5,49.5,0.9099999999999999,0.0
2014-02,103.5,97.5,77.5,91.5,43.0,33.0,1.1400000000000001,0.0
2014-03,82.5,92.0,59.5,92.0,39.0,28.0,0.31,0.0
2014-04,74.5,67.5,40.5,81.0,52.0,34.0,1.2,29.0
2014-05,76.0,83.0,35.0,82.0,35.0,25.0,1.17,97.0
2014-06,86.5,128.5,50.5,73.0,45.5,28.0,1.83,95.0
2014-07,84.0,125.0,38.0,62.0,23.0,21.0,1.62,94.0
2014-08,86.0,148.0,39.0,66.0,29.0,24.0,1.4,102.0
2014-09,75.5,136.5,44.5,79.5,40.5,27.5,1.67,71.0
2014-10,74.0,71.0,42.0,81.0,33.0,29.0,1.31,53.0
2014-11,75.0,76.5,53.5,88.5,41.0,33.0,1.8250000000000002,26.5
2014-12,70.0,54.0,43.0,86.0,57.0,35.0,2.06,21.0
2015-01,120.0,234.0,74.0,163.0,88.0,47.0,1.98,19.0
2015-02,124.0,278.0,89.0,152.0,71.5,46.0,1.5950000000000002,27.0
2015-03,135.0,322.0,80.0,175.0,65.0,41.0,1.52,41.0
2015-04,93.5,295.5,62.5,112.0,52.0,40.0,1.41,53.5
2015-05,69.0,177.0,37.0,66.0,41.0,30.0,1.51,69.0
2015-06,87.0,291.0,30.5,62.0,45.5,27.0,1.6150000000000002,116.0
2015-07,77.0,279.0,37.0,58.0,28.0,24.0,1.67,104.0
2015-08,61.0,212.0,27.0,50.0,28.0,32.0,1.65,69.0
2015-09,67.5,237.0,35.5,68.0,34.0,39.0,1.13,63.0
2015-10,110.0,325.0,76.0,143.0,38.0,49.0,1.01,41.0
2015-11,131.0,318.5,98.5,152.5,44.0,46.5,1.575,23.5
2015-12,180.0,327.0,132.0,228.0,88.0,64.0,2.12,22.0
2016-01,141.0,314.0,106.0,179.0,74.0,57.0,1.74,25.0
2016-02,99.0,272.0,67.0,132.0,49.0,32.0,1.09,50.0
2016-03,108.0,306.0,76.0,155.0,40.0,40.0,0.95,78.0
2016-04,127.0,343.5,74.5,184.0,37.5,38.5,1.1600000000000001,93.5
2016-05,97.0,312.0,47.0,110.0,25.0,28.0,1.03,112.0
2016-06,99.0,341.0,53.0,103.0,17.0,24.0,0.935,119.5
2016-07,84.0,317.0,50.0,89.0,16.0,22.0,1.11,102.0
2016-08,72.0,294.0,35.0,75.0,20.0,31.0,1.11,78.0
2016-09,98.5,334.5,61.5,119.0,30.0,44.5,1.225,95.0
2016-10,84.0,320.0,55.0,111.0,28.0,43.0,1.19,35.0
2016-11,105.0,277.5,72.5,141.0,30.5,44.5,1.185,35.0
2016-12,141.0,301.0,106.0,172.0,39.0,57.0,1.46,23.0
2017-01,145.0,306.0,109.0,182.0,42.0,53.0,1.48,29.0
2017-02,110.0,300.5,77.0,126.0,37.5,39.5,1.08,57.0
2017-03,94.0,309.0,64.0,124.0,36.0,41.0,1.04,65.0
2017-04,89.5,310.5,51.5,123.5,24.0,32.0,0.84,90.0
2017-05,109.0,324.0,44.0,119.0,24.0,25.0,0.8,118.0
2017-06,107.5,334.5,51.5,102.5,19.0,27.0,0.795,137.0
2017-07,84.0,306.0,44.0,90.0,11.0,24.0,1.02,80.0
2017-08,72.0,321.0,37.0,77.0,12.0,26.0,0.92,88.0
2017-09,81.0,308.5,40.5,90.0,16.0,33.0,0.785,96.5
2017-10,94.5,317.0,63.5,114.0,14.0,44.5,1.07,40.0
2017-11,90.0,281.0,53.5,125.5,25.0,46.0,0.94,36.5
2017-12,102.0,252.0,75.0,140.0,26.0,49.0,1.15,30.0
2018-01,99.0,283.0,62.0,121.0,26.0,47.0,1.25,33.0
2018-02,91.5,243.0,47.0,113.5,23.0,25.5,0.95,56.0
2018-03,86.0,262.0,56.0,105.0,21.0,27.0,0.91,72.0
2018-04,103.0,297.5,52.0,126.5,18.5,27.5,0.775,88.5
2018-05,93.0,303.0,42.0,105.0,15.0,29.0,0.83,105.0
2018-06,89.0,303.0,39.5,77.0,13.5,20.5,0.735,131.0
2018-07,73.0,309.0,36.0,66.0,13.0,22.0,0.8,91.0
2018-08,76.0,299.0,32.0,65.0,16.0,26.0,0.77,104.0
2018-09,69.0,313.0,31.0,75.0,18.0,42.0,0.73,71.0
2018-10,73.0,280.0,35.0,93.0,20.0,47.0,0.77,47.0
2018-11,100.5,312.0,73.5,123.5,23.5,43.5,1.1749999999999998,30.0
2018-12,89.0,282.0,52.0,125.0,24.0,43.0,1.01,22.0
2019-01,106.0,240.0,72.0,150.0,28.0,49.0,1.24,24.0
2019-02,124.5,287.0,93.0,148.0,23.5,30.5,1.19,50.0
2019-03,86.0,299.0,41.0,120.0,19.0,32.0,0.7,66.0
2019-04,86.5,301.0,50.0,105.0,17.0,32.5,0.685,68.5
2019-05,76.0,269.0,31.0,84.0,13.0,24.0,0.55,100.0
2019-06,85.0,337.0,32.0,81.0,15.0,21.0,0.66,127.0
2019-07,72.0,323.5,31.0,66.5,13.0,22.0,0.71,118.5
2019-08,64.5,316.5,33.5,73.0,13.5,28.5,0.8899999999999999,77.0
2019-09,70.0,334.0,35.0,83.0,14.0,38.0,0.94,85.0
2019-10,74.0,297.0,40.0,92.0,12.0,37.0,0.83,51.0
2019-11,97.0,314.0,52.5,128.5,17.5,43.0,0.93,27.0
2019-12,83.0,270.0,56.0,107.0,18.0,46.0,1.11,21.0
2020-01,120.0,285.0,91.0,127.0,21.0,41.0,1.63,27.0
2020-02,75.0,256.0,49.0,81.0,13.0,21.0,0.82,54.0
2020-03,75.0,315.0,45.0,93.0,15.0,31.0,0.8,72.0
2020-04,77.0,294.0,35.0,94.0,14.0,38.5,0.705,78.0
2020-05,65.0,302.0,28.0,80.0,12.0,28.0,0.48,105.0
2020-06,73.5,342.5,36.0,87.5,14.0,31.5,0.715,111.0
2020-07,67.0,341.0,33.0,67.0,11.0,29.0,0.85,112.0
2020-08,58.0,344.0,31.0,63.0,9.0,34.0,0.78,84.0
2020-09,65.0,335.5,28.5,76.0,8.0,41.0,0.73,83.5
2020-10,72.0,318.0,42.0,93.0,9.0,51.0,0.9,44.0
2020-11,75.0,278.0,44.5,104.0,11.0,50.5,1.09,32.0
2020-12,88.0,271.0,63.0,104.0,11.0,49.0,1.24,32.0
2021-01,95.0,287.0,50.0,132.0,14.0,46.0,1.29,38.0
2021-02,70.5,238.0,41.5,84.0,12.0,27.5,0.715,73.0
2021-03,99.0,301.0,58.0,124.0,11.0,39.0,0.72,73.0
2021-04,69.5,296.5,32.5,84.0,8.0,31.0,0.54,81.5
2021-05,71.0,303.0,32.0,92.0,7.0,25.0,0.48,101.0
2021-06,67.0,343.0,28.5,69.0,7.0,25.0,0.495,129.5
2021-07,43.0,271.0,16.0,35.0,5.0,19.0,0.31,90.0
2021-08,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
