年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,79,12,32,120,62,45,0.43,0
2014-01,53,3,32,39,32,23,0.14,0
2014-02,41,30,26,14,0,0,0.0,0
2014-03,52,4,23,55,0,0,0.0,0
2014-04,35,7,20,25,23,14,0.42,0
2014-05,36,17,21,32,16,12,0.67,56
2014-06,60,59,23,27,16,11,0.97,25
2014-07,39,30,19,31,9,8,0.59,33
2014-08,35,50,18,32,14,9,0.81,30
2014-09,42,39,16,33,16,10,0.72,18
2014-10,40,7,17,38,19,8,0.86,15
2014-11,49,14,20,48,20,15,0.78,12
2014-12,40,6,17,41,19,15,0.89,13
2015-01,63,73,32,74,37,29,1.26,10
2015-02,48,107,32,47,21,21,0.97,13
2015-03,65,216,36,79,30,25,0.7,24
2015-04,55,57,24,48,18,14,0.68,28
2015-05,27,10,9,23,0,0,0.0,1
2015-06,35,85,13,26,18,16,0.81,53
2015-07,43,55,14,28,13,11,0.96,53
2015-08,28,14,13,22,5,9,1.11,27
2015-09,32,42,13,30,10,20,0.63,28
2015-10,66,232,25,78,0,0,0.0,8
2015-11,19,1,11,15,10,19,0.21,8
2015-12,65,166,31,79,35,21,0.69,8
2016-01,60,200,26,69,28,15,0.76,9
2016-02,40,107,14,35,15,11,0.68,8
2016-03,75,140,27,95,16,15,0.41,46
2016-04,76,286,35,96,20,15,0.65,52
2016-05,59,138,17,58,9,13,0.33,41
2016-06,66,245,25,51,7,13,0.47,87
2016-07,33,77,15,25,6,8,0.69,36
2016-08,46,141,22,42,10,16,0.79,30
2016-09,54,190,21,57,12,16,0.55,23
2016-10,51,243,28,49,8,24,0.33,10
2016-11,37,150,18,37,13,12,0.44,8
2016-12,71,135,43,70,25,29,0.83,5
2017-01,55,98,21,61,16,24,0.63,5
2017-02,65,171,29,76,23,26,0.73,33
2017-03,68,158,31,82,15,25,0.71,32
2017-04,67,192,21,85,15,15,0.46,50
2017-05,55,214,22,45,13,14,0.37,65
2017-06,50,176,15,43,7,18,0.46,79
2017-07,53,184,29,51,8,10,0.41,21
2017-08,35,93,17,34,8,13,0.63,28
2017-09,54,245,17,57,10,12,0.49,39
2017-10,23,36,11,17,10,16,0.4,12
2017-11,47,141,18,50,8,23,0.61,15
2017-12,57,114,22,64,16,31,0.45,5
2018-01,46,94,17,48,14,26,0.59,15
2018-02,53,69,16,56,13,13,0.54,28
2018-03,46,77,19,47,11,12,0.56,25
2018-04,46,46,15,46,6,15,0.54,37
2018-05,43,92,21,39,6,14,0.36,44
2018-06,37,75,15,27,8,13,0.46,72
2018-07,32,60,16,25,7,10,0.28,31
2018-08,17,4,8,10,8,11,0.5,19
2018-09,47,200,10,42,12,13,0.35,30
2018-10,49,179,13,52,11,29,0.41,24
2018-11,49,250,28,50,13,17,0.53,12
2018-12,52,138,13,54,11,20,0.47,12
2019-01,62,152,20,72,14,16,0.65,9
2019-02,56,175,22,59,15,9,0.64,18
2019-03,54,126,12,60,10,17,0.41,22
2019-04,44,112,21,40,9,13,0.43,26
2019-05,47,114,11,43,7,14,0.31,55
2019-06,59,251,16,48,9,9,0.34,59
2019-07,45,258,14,42,8,11,0.42,56
2019-08,26,79,4,4,10,10,0.32,30
2019-09,46,216,13,50,8,12,0.5,23
2019-10,30,119,11,30,7,16,0.45,12
2019-11,55,202,21,65,10,21,0.4,7
2019-12,53,121,21,58,12,28,0.59,4
2020-01,38,63,23,38,14,20,0.9,6
2020-02,24,59,10,22,6,13,0.4,24
2020-03,50,194,12,55,8,21,0.48,35
2020-04,55,209,15,62,9,17,0.37,21
2020-05,26,52,15,20,4,16,0.3,61
2020-06,35,209,17,33,6,18,0.28,62
2020-07,38,224,16,30,6,16,0.41,58
2020-08,28,153,13,25,6,13,0.37,23
2020-09,41,176,10,46,4,19,0.48,40
2020-10,44,105,10,47,5,26,0.6,14
2020-11,26,67,16,22,3,24,0.77,11
2020-12,38,93,13,38,7,23,1.01,6
2021-01,42,101,13,50,8,22,0.85,8
2021-02,38,106,13,40,7,13,0.36,33
2021-03,31,116,11,28,6,20,0.4,30
2021-04,38,155,10,36,4,18,0.36,16
2021-05,33,221,9,32,5,16,0.23,47
2021-06,30,171,8,28,4,13,0.24,46
2021-07,0,4,0,0,0,0,0.0,0
2021-08,0,3,0,0,0,0,0.0,0
2021-09,0,3,0,0,0,0,0.0,0
2021-10,0,3,0,0,0,0,0.0,0
2021-11,0,2,0,0,0,0,0.0,0
2021-12,0,2,0,0,0,0,0.0,0
