年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,132,273,101,136,93,20,1.63,82
2015-02,82,306,57,77,31,14,0.96,129
2015-03,146,335,110,140,27,16,0.77,143
2015-04,141,348,105,149,50,16,0.8,133
2015-05,96,329,50,82,45,16,0.62,148
2015-06,48,125,24,47,40,15,0.51,91
2015-07,136,361,103,146,87,25,1.08,124
2015-08,107,351,78,108,97,20,0.95,101
2015-09,93,336,68,99,96,19,0.86,91
2015-10,140,322,104,149,155,23,1.56,90
2015-11,99,278,73,101,78,20,1.39,70
2015-12,92,271,66,116,123,23,1.19,74
2016-01,166,357,126,163,123,24,1.51,83
2016-02,122,344,91,131,78,22,1.12,108
2016-03,125,339,93,144,33,18,1.16,125
2016-04,142,359,107,168,48,17,1.18,157
2016-05,91,331,65,108,31,16,1.12,126
2016-06,110,351,82,115,41,17,2.99,102
2016-07,59,263,34,68,36,14,0.89,63
2016-08,85,363,54,100,54,21,1.0,76
2016-09,117,362,86,137,186,22,1.67,93
2016-10,100,335,68,119,134,21,1.52,99
2016-11,131,329,99,118,130,30,1.33,71
2016-12,133,291,100,137,113,29,1.52,76
2017-01,104,123,76,123,117,27,1.6,82
2017-02,86,265,63,85,52,19,0.78,105
2017-03,124,355,93,123,61,22,0.8,139
2017-04,155,363,117,180,66,20,1.12,136
2017-05,102,326,75,118,39,19,0.69,131
2017-06,71,289,49,73,45,20,0.89,91
2017-07,95,326,70,103,45,20,0.89,90
2017-08,65,243,45,58,42,16,0.91,70
2017-09,69,296,48,71,61,17,1.03,72
2017-10,90,298,64,91,68,23,1.16,88
2017-11,114,325,86,106,66,26,1.17,103
2017-12,126,332,94,129,50,26,1.06,105
2018-01,67,207,47,65,31,17,0.89,80
2018-02,85,275,62,94,29,16,1.04,113
2018-03,105,338,78,99,28,16,0.97,129
2018-04,93,352,66,112,24,13,0.86,136
2018-05,67,209,38,70,21,15,0.68,109
2018-06,71,240,27,48,25,13,0.74,119
2018-07,73,321,44,75,52,22,1.07,91
2018-08,86,341,47,84,44,18,1.14,122
2018-09,43,207,23,40,39,14,0.89,84
2018-10,80,355,58,70,58,15,0.85,102
2018-11,72,201,52,76,45,22,0.87,77
2018-12,99,311,73,94,30,19,1.22,62
2019-01,49,113,31,52,57,20,0.96,67
2019-02,60,183,41,59,24,15,0.69,91
2019-03,124,357,93,112,27,18,1.14,127
2019-04,142,362,107,122,24,18,1.16,142
2019-05,95,356,62,95,15,12,0.82,153
2019-06,60,168,35,51,27,16,0.79,94
2019-07,64,269,38,53,44,15,0.82,87
2019-08,48,246,31,47,52,18,0.85,88
2019-09,67,246,48,61,36,15,0.69,102
2019-10,55,170,39,44,26,15,0.8,93
2019-11,47,225,31,43,49,13,0.68,79
2019-12,66,162,46,65,35,22,0.9,95
2020-01,51,141,36,49,44,17,0.81,78
2020-02,83,354,61,71,15,13,0.79,100
2020-03,165,361,125,135,38,18,1.23,114
2020-04,164,360,126,134,35,21,1.48,109
2020-05,56,316,39,48,20,16,0.74,105
2020-06,34,145,20,34,14,8,0.53,81
2020-07,39,219,25,39,23,14,0.62,82
2020-08,36,205,23,35,36,11,0.65,80
2020-09,59,307,40,60,48,20,0.83,86
2020-10,51,252,34,56,39,19,0.85,82
2020-11,71,210,51,76,46,24,0.78,81
2020-12,84,332,62,89,23,21,0.94,67
2021-01,76,201,55,70,44,21,0.98,92
2021-02,68,226,49,63,23,10,0.82,98
2021-03,111,333,83,141,15,13,0.9,148
2021-04,123,366,93,133,32,15,1.0,149
2021-05,46,238,31,45,15,9,0.54,103
2021-06,50,234,34,42,21,13,0.65,89
2021-07,40,258,27,38,35,13,0.7,63
2021-08,48,306,30,45,38,12,0.72,113
2021-09,38,258,24,38,31,13,0.66,77
2021-10,48,308,32,45,67,16,0.84,81
2021-11,97,342,72,95,23,18,1.03,61
2021-12,69,318,50,63,45,21,0.78,102
2022-01,61,162,44,57,51,23,0.94,76
2022-02,81,296,59,64,28,13,1.0,94
2022-03,72,290,53,69,26,16,0.83,112
