年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,119,66,87,130,61,60,1.43,42
2013-11,361,107,282,392,89,123,2.7,72
2013-12,447,113,404,465,134,129,4.11,30
2014-01,287,187,236,350,96,117,1.86,56
2014-02,198,173,157,199,61,70,2.03,84
2014-03,153,173,116,184,63,75,1.28,86
2014-04,207,187,161,262,84,103,1.47,105
2014-05,179,187,129,193,54,87,1.6,147
2014-06,162,188,114,161,64,57,0.93,175
2014-07,135,181,99,174,31,55,1.0,119
2014-08,127,186,84,93,46,58,2.18,109
2014-09,126,185,84,117,52,61,1.13,148
2014-10,149,161,111,156,67,78,1.05,117
2014-11,213,182,166,237,69,83,1.17,66
2014-12,163,436,125,208,102,95,1.38,45
2015-01,215,360,167,246,89,95,1.46,51
2015-02,166,300,126,201,44,63,1.25,72
2015-03,106,254,79,119,36,76,1.06,71
2015-04,121,349,91,129,48,67,1.12,81
2015-05,135,326,97,133,57,51,0.82,122
2015-06,123,344,92,148,37,48,0.93,131
2015-07,88,317,60,81,37,47,0.56,107
2015-08,169,366,113,138,36,49,1.15,151
2015-09,131,364,89,113,43,64,1.23,138
2015-10,153,330,110,156,63,68,1.18,93
2015-11,147,339,111,149,41,82,1.62,54
2015-12,257,350,207,282,50,100,2.06,50
2016-01,195,333,149,233,50,96,1.8,49
2016-02,153,347,116,151,29,70,1.25,63
2016-03,181,317,138,224,50,87,1.39,89
2016-04,99,279,73,118,34,65,1.22,99
2016-05,97,330,71,106,25,47,1.29,105
2016-06,114,352,85,118,21,39,1.15,107
2016-07,86,345,41,108,14,31,0.9,128
2016-08,87,352,47,114,14,25,0.96,128
2016-09,89,337,47,126,17,41,0.89,117
2016-10,88,335,55,125,22,72,1.25,94
2016-11,118,319,87,184,24,78,1.49,66
2016-12,143,288,107,208,26,97,1.45,61
2017-01,155,256,117,213,24,86,1.47,70
2017-02,148,348,112,186,21,69,1.22,87
2017-03,139,341,98,199,17,74,1.11,98
2017-04,116,351,72,179,19,62,1.21,130
2017-05,104,354,59,141,19,38,0.98,140
2017-06,96,346,54,117,15,33,1.04,141
2017-07,112,352,57,133,12,27,0.93,155
2017-08,84,362,45,110,10,30,0.88,117
2017-09,101,358,70,146,13,47,1.19,127
2017-10,94,355,55,136,15,50,1.25,94
2017-11,120,359,86,184,16,69,1.09,83
2017-12,206,319,162,266,20,90,1.42,68
2018-01,162,322,123,209,18,81,1.41,75
2018-02,136,332,102,187,15,68,1.39,75
2018-03,111,318,79,151,10,86,1.07,83
2018-04,115,356,69,177,11,47,0.94,144
2018-05,110,359,69,150,8,43,1.05,139
2018-06,82,326,46,107,11,32,0.8,121
2018-07,88,345,54,117,8,22,0.84,114
2018-08,80,351,36,108,8,20,0.8,118
2018-09,102,363,43,151,11,36,1.01,121
2018-10,109,361,68,167,12,54,0.99,107
2018-11,127,344,88,187,12,77,0.99,69
2018-12,143,343,109,208,19,86,1.38,51
2019-01,156,325,115,200,14,65,1.45,61
2019-02,133,290,98,168,9,56,1.14,73
2019-03,111,350,78,156,12,57,0.99,91
2019-04,109,355,69,163,14,55,1.06,102
2019-05,97,343,46,126,11,43,0.79,124
2019-06,82,323,44,107,11,37,0.86,132
2019-07,71,321,30,90,6,28,0.77,87
2019-08,80,355,43,108,5,23,0.77,105
2019-09,89,350,61,92,7,36,0.98,124
2019-10,124,361,72,198,11,50,1.17,80
2019-11,115,354,85,158,10,63,0.93,76
2019-12,104,323,77,133,12,82,1.27,43
2020-01,110,268,83,119,8,65,1.38,86
2020-02,83,293,55,116,6,29,1.0,88
2020-03,66,220,41,81,7,47,0.86,92
2020-04,81,318,58,101,9,50,0.81,124
2020-05,78,349,53,79,7,35,0.78,149
2020-06,49,274,29,49,4,30,0.66,95
2020-07,63,331,34,62,5,34,0.83,97
2020-08,56,317,30,52,6,26,0.7,90
2020-09,81,338,45,71,6,47,0.92,157
2020-10,68,280,46,87,10,53,0.82,108
2020-11,86,307,60,121,14,64,1.18,77
2020-12,113,304,85,161,13,82,1.44,43
2021-01,110,293,83,151,13,64,1.13,58
2021-02,89,265,64,112,7,57,0.89,88
2021-03,127,330,68,180,8,49,0.8,86
2021-04,90,312,49,129,10,54,0.97,106
2021-05,72,311,48,93,8,32,0.83,124
2021-06,66,317,29,51,6,26,0.89,135
2021-07,45,290,29,43,7,22,0.6,101
2021-08,62,333,34,55,7,29,0.72,115
2021-09,89,363,56,92,8,34,0.93,118
2021-10,81,302,58,89,9,56,0.79,112
2021-11,79,296,54,106,10,67,0.79,60
2021-12,108,303,81,128,11,68,1.14,55
2022-01,159,302,121,163,10,72,1.26,72
2022-02,165,321,125,144,7,48,1.0,91
2022-03,112,316,84,118,9,47,0.91,111
