年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,272.5,106.0,202.0,359.0,81.0,81.5,2.705,23.5
2013-11,165.0,99.0,123.0,201.0,66.0,65.0,1.9849999999999999,13.0
2013-12,255.0,99.0,194.0,269.0,108.0,79.0,2.63,8.0
2014-01,189.0,149.0,144.0,228.0,86.0,70.5,2.775,12.0
2014-02,141.0,130.5,106.5,152.5,79.5,44.5,1.73,20.0
2014-03,126.5,158.5,93.0,171.0,44.5,48.0,1.62,29.0
2014-04,128.5,169.0,85.0,183.5,35.5,36.0,1.63,36.5
2014-05,110.0,154.0,69.0,155.0,24.0,26.0,1.57,52.0
2014-06,104.0,159.5,70.0,136.0,18.5,36.5,1.815,73.0
2014-07,93.0,138.0,60.0,130.0,12.0,27.0,1.41,74.0
2014-08,103.0,173.0,74.0,122.0,24.0,34.0,1.75,73.0
2014-09,99.0,175.0,71.5,124.0,39.0,36.5,1.93,52.0
2014-10,142.0,172.0,103.0,174.0,51.0,51.0,2.07,39.0
2014-11,160.0,170.0,119.5,196.5,57.0,63.5,2.2800000000000002,23.5
2014-12,162.0,167.0,123.0,195.0,79.0,64.0,2.4,16.0
2015-01,150.0,308.0,114.0,173.0,74.0,59.0,2.24,16.0
2015-02,148.0,301.5,109.5,172.5,58.0,46.0,2.08,24.5
2015-03,125.0,318.0,82.0,150.0,44.0,40.0,1.79,35.0
2015-04,100.5,304.5,71.0,119.0,33.0,29.0,1.375,59.5
2015-05,109.0,321.0,81.0,131.0,35.0,29.0,1.26,90.0
2015-06,111.0,333.0,76.5,135.0,23.5,27.0,1.32,100.0
2015-07,102.0,338.0,64.0,125.0,15.0,23.0,1.2,101.0
2015-08,95.0,324.0,61.0,127.0,20.0,26.0,1.31,84.0
2015-09,89.5,339.0,62.5,120.0,33.0,36.5,1.48,71.5
2015-10,133.0,346.0,100.0,156.0,41.0,50.0,1.54,45.0
2015-11,144.0,342.5,108.0,145.5,36.0,45.5,1.7349999999999999,20.0
2015-12,222.0,341.0,175.0,254.0,51.0,66.0,2.51,18.0
2016-01,160.0,337.0,121.0,186.0,56.0,56.0,2.45,17.0
2016-02,132.0,322.0,78.0,158.0,46.0,38.0,1.8,36.0
2016-03,129.0,324.0,88.0,170.0,47.0,43.0,1.63,52.0
2016-04,110.5,343.5,78.5,146.0,32.5,30.5,1.505,71.5
2016-05,92.0,300.0,55.0,100.0,24.0,30.0,1.29,90.0
2016-06,93.0,339.0,49.5,88.0,16.0,27.0,1.09,118.5
