年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,347,113,262,473,178,91,3.22,49
2013-11,479,114,339,551,242,116,25.69,43
2013-12,500,114,577,766,212,140,4.98,15
2014-01,395,188,452,476,173,106,4.88,26
2014-02,260,174,206,316,219,79,4.2,37
2014-03,264,187,193,368,145,77,2.6,50
2014-04,270,190,219,317,131,66,2.6,61
2014-05,169,188,126,254,65,61,2.06,103
2014-06,206,189,161,245,84,59,2.53,98
2014-07,228,188,177,321,30,48,2.18,109
2014-08,191,190,145,261,107,61,2.46,105
2014-09,180,189,137,249,136,63,2.73,101
2014-10,252,188,193,318,137,100,3.27,90
2014-11,347,189,296,405,118,104,3.83,68
2014-12,260,487,209,306,115,100,3.35,36
2015-01,391,569,351,430,120,111,4.51,36
2015-02,256,361,205,278,101,77,3.49,50
2015-03,244,358,149,361,103,66,2.98,93
2015-04,175,363,126,275,87,60,2.39,128
2015-05,158,357,119,174,84,55,1.72,139
2015-06,156,362,113,197,57,46,1.93,142
2015-07,171,363,129,223,36,41,1.6,168
2015-08,147,363,105,223,45,43,1.72,133
2015-09,162,366,122,216,53,69,2.3,104
2015-10,335,363,306,461,96,75,2.56,140
2015-11,324,361,263,390,70,70,3.52,69
2015-12,462,364,574,755,112,111,6.4,30
2016-01,408,362,368,489,105,90,3.61,36
2016-02,279,364,228,303,71,63,3.5,43
2016-03,275,360,218,357,78,86,2.58,91
2016-04,254,366,203,327,59,45,2.34,117
2016-05,261,364,130,380,57,54,1.79,143
2016-06,136,359,101,143,51,46,1.85,155
2016-07,183,364,141,241,19,46,1.52,134
2016-08,132,366,95,211,33,46,2.01,116
2016-09,184,366,139,266,48,71,2.09,148
2016-10,177,359,133,240,50,65,1.72,93
2016-11,245,361,194,319,69,83,2.74,47
2016-12,451,359,396,561,57,106,4.65,48
2017-01,339,364,287,416,69,98,4.4,58
2017-02,269,358,216,347,83,91,2.64,74
2017-03,194,361,148,282,59,90,1.87,104
2017-04,206,365,157,244,32,62,1.45,121
2017-05,427,363,304,701,33,59,1.47,169
2017-06,147,364,86,198,17,50,1.44,176
2017-07,162,365,119,240,7,33,1.6,144
2017-08,118,364,63,136,17,58,1.56,147
2017-09,145,363,100,177,19,60,1.24,137
2017-10,179,363,136,227,21,76,1.87,95
2017-11,192,354,146,235,40,70,1.59,75
2017-12,294,347,242,363,52,85,3.11,46
2018-01,315,363,263,380,50,92,3.04,47
2018-02,199,355,154,247,40,64,2.1,88
2018-03,210,339,161,266,28,64,1.9,135
2018-04,173,353,128,239,22,63,1.41,194
2018-05,130,348,85,187,28,55,1.55,144
2018-06,144,366,60,219,19,56,1.05,194
2018-07,140,366,77,124,20,33,1.4,181
2018-08,113,364,64,99,17,36,2.34,163
2018-09,91,361,56,122,18,51,1.14,114
2018-10,133,360,100,180,26,76,1.13,111
2018-11,307,353,177,372,22,79,1.84,96
2018-12,270,366,199,398,40,110,2.84,34
2019-01,294,359,233,386,46,89,2.11,53
2019-02,300,359,249,347,31,83,1.83,83
2019-03,211,359,165,261,25,81,1.58,110
2019-04,128,345,96,176,23,54,1.04,137
2019-05,126,357,62,200,28,54,0.83,161
2019-06,118,358,44,117,19,69,0.9,202
2019-07,129,360,60,105,20,45,0.94,176
2019-08,82,358,58,93,17,53,1.3,110
2019-09,102,362,72,128,18,69,1.07,157
2019-10,178,357,100,297,27,67,1.21,113
2019-11,190,361,146,229,27,90,1.69,77
2019-12,229,348,179,234,28,68,2.23,44
2020-01,286,363,238,283,28,94,2.92,87
2020-02,186,360,145,168,20,39,1.52,86
2020-03,132,357,100,203,27,50,1.2,97
2020-04,117,349,64,159,20,49,0.93,151
2020-05,118,357,61,181,19,39,0.91,161
2020-06,124,364,51,167,24,63,0.87,185
2020-07,92,364,63,97,15,32,0.92,149
2020-08,94,363,60,97,17,40,1.14,146
2020-09,94,361,61,130,18,59,0.93,139
2020-10,126,355,95,179,34,68,1.84,95
2020-11,180,357,137,233,41,67,1.3,88
2020-12,235,361,194,269,37,77,1.64,52
2021-01,234,356,184,293,35,82,1.98,57
2021-02,132,345,100,167,25,50,1.06,92
2021-03,344,349,149,607,31,53,0.87,78
2021-04,466,364,149,821,28,59,0.95,110
2021-05,437,366,180,770,14,50,0.89,126
2021-06,98,364,50,115,21,43,0.87,158
2021-07,63,351,34,63,15,30,0.93,129
2021-08,73,359,47,79,14,33,1.09,124
2021-09,73,351,45,86,11,32,0.92,127
2021-10,203,365,154,237,23,61,1.4,105
2021-11,170,359,129,198,29,79,1.21,84
2021-12,213,359,163,236,34,71,1.45,48
2022-01,225,336,180,222,29,75,1.76,71
2022-02,136,321,103,153,17,40,1.08,93
2022-03,195,327,103,286,19,38,1.13,128
