年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,146,90,109,210,76,60,2.51,9
2013-11,83,70,31,107,29,34,1.22,4
2013-12,97,31,41,135,52,37,0.99,2
2014-01,72,46,42,92,38,30,1.59,4
2014-02,61,69,27,63,31,23,1.22,7
2014-03,72,74,25,95,21,32,1.02,13
2014-04,70,102,46,86,9,19,1.25,17
2014-05,46,54,22,47,9,15,1.03,36
2014-06,52,59,31,54,7,18,1.23,53
2014-07,58,69,29,55,5,19,0.99,40
2014-08,51,67,29,57,11,21,1.49,42
2014-09,57,102,25,53,13,23,1.24,17
2014-10,63,76,38,77,21,34,1.51,17
2014-11,74,109,36,95,24,45,1.35,3
2014-12,74,94,30,95,21,24,1.44,4
2015-01,60,126,31,57,35,31,1.22,3
2015-02,64,117,30,77,27,19,1.39,14
2015-03,62,212,31,70,23,25,1.21,18
2015-04,52,55,34,45,10,18,0.9,42
2015-05,47,108,27,46,18,18,0.89,31
2015-06,63,253,43,69,6,14,0.93,69
2015-07,65,267,33,64,6,18,1.02,61
2015-08,47,138,24,47,7,18,0.86,47
2015-09,42,91,17,32,12,10,0.87,37
2015-10,68,202,38,72,15,27,0.94,9
2015-11,25,14,16,17,11,17,0.79,4
2015-12,65,175,27,77,26,31,1.11,4
2016-01,60,158,39,66,31,28,1.64,8
2016-02,44,108,16,42,13,15,1.17,9
2016-03,66,264,33,78,22,21,1.03,33
2016-04,65,243,41,66,14,18,0.98,48
2016-05,66,132,29,67,11,15,0.77,28
2016-06,57,173,23,32,8,18,0.66,64
2016-07,41,151,19,33,3,16,0.6,40
2016-08,43,149,15,37,5,18,0.9,27
2016-09,56,220,20,63,16,24,0.76,30
2016-10,46,215,26,43,14,24,0.43,13
2016-11,35,117,14,33,12,16,0.6,6
2016-12,76,104,49,83,16,36,0.89,4
2017-01,52,139,26,53,22,20,0.91,9
2017-02,62,127,30,75,14,26,0.93,20
2017-03,58,130,26,66,12,29,0.79,31
2017-04,71,257,28,90,8,22,0.62,34
2017-05,60,196,29,66,4,17,0.71,68
2017-06,44,114,14,33,2,16,0.68,74
2017-07,43,79,18,29,1,11,0.69,59
2017-08,35,100,17,31,3,13,0.71,29
2017-09,53,217,17,51,6,15,0.53,43
2017-10,21,15,9,12,6,20,0.4,14
2017-11,43,128,18,47,8,28,0.44,11
2017-12,62,137,32,72,11,38,0.92,5
2018-01,46,90,18,50,9,26,0.66,6
2018-02,77,170,30,93,10,19,0.94,27
2018-03,47,90,17,48,9,19,0.72,31
2018-04,37,23,17,24,6,19,0.59,52
2018-05,48,99,22,37,3,17,0.66,65
2018-06,56,181,20,33,2,12,0.49,92
2018-07,49,209,26,39,2,8,0.33,60
2018-08,24,18,7,11,4,11,0.66,35
2018-09,40,151,5,31,4,15,0.38,29
2018-10,52,158,11,53,7,29,0.38,28
2018-11,47,212,28,48,2,27,0.51,5
2018-12,51,254,19,54,6,31,0.58,3
2019-01,65,200,27,77,5,21,0.56,13
2019-02,56,178,21,61,6,8,0.48,16
2019-03,59,131,15,67,5,16,0.48,37
2019-04,39,42,20,32,3,14,0.38,42
2019-05,53,182,11,49,5,14,0.25,64
2019-06,65,286,6,47,6,14,0.24,57
2019-07,56,229,15,28,5,11,0.44,101
2019-08,20,29,8,9,5,9,0.47,41
2019-09,28,86,14,19,5,19,0.65,26
2019-10,25,95,9,23,4,22,0.37,12
2019-11,42,69,20,44,5,21,0.32,10
2019-12,52,169,25,57,3,31,0.6,4
2020-01,73,199,52,65,4,16,0.75,7
2020-02,29,107,9,22,1,10,0.35,34
2020-03,20,37,3,19,1,10,0.14,34
2020-04,47,100,16,43,4,17,0.34,42
2020-05,32,116,16,20,3,10,0.31,63
2020-06,38,203,18,31,4,10,0.44,64
2020-07,31,161,10,18,4,9,0.38,67
2020-08,22,66,10,11,5,11,0.43,33
2020-09,25,85,7,20,4,17,0.4,45
2020-10,51,134,18,59,4,23,0.32,13
2020-11,22,22,14,17,4,29,0.49,8
2020-12,45,154,16,46,6,22,0.41,6
2021-01,54,169,17,62,9,27,0.51,8
2021-02,46,204,13,46,6,8,0.46,17
2021-03,35,174,11,31,5,15,0.35,31
2021-04,46,159,16,46,6,14,0.25,33
2021-05,25,104,5,22,6,14,0.34,54
2021-06,31,203,16,29,5,11,0.3,29
2021-07,19,45,3,4,6,3,0.42,34
2021-08,19,43,6,9,5,11,0.43,50
2021-09,19,40,3,8,5,9,0.43,36
2021-10,12,17,3,5,5,9,0.33,18
2021-11,18,19,8,10,6,13,0.34,11
2021-12,39,81,12,38,8,14,0.52,7
2022-01,65,147,35,71,9,11,0.77,10
2022-02,33,60,14,28,6,10,0.51,37
2022-03,32,129,10,32,7,12,0.37,24
