年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,184.0,173.0,102.0,212.0,104.0,41.0,1.61,18.0
2014-01,163.0,126.5,128.5,147.5,60.5,33.5,1.185,25.5
2014-02,90.0,82.5,66.5,57.5,32.5,28.0,0.78,56.5
2014-03,105.0,135.5,76.5,110.5,31.0,38.0,1.1,62.5
2014-04,83.0,100.0,43.5,50.0,17.0,27.0,0.545,75.5
2014-05,86.0,117.0,54.0,76.0,18.0,20.0,1.0,109.0
2014-06,72.0,90.0,36.0,34.0,8.0,11.0,0.39,100.0
2014-07,73.0,114.0,39.0,50.0,6.0,14.0,1.05,104.0
2014-08,71.0,139.0,36.0,56.0,19.0,24.0,0.65,100.0
2014-09,66.0,119.0,33.5,55.5,17.0,23.5,0.615,77.0
2014-10,73.0,77.0,45.0,81.0,22.0,29.0,0.82,79.0
2014-11,97.0,122.5,71.0,111.5,36.5,32.0,0.845,47.0
2014-12,93.0,109.0,66.0,104.0,49.0,37.0,1.1,27.0
2015-01,106.0,223.0,77.0,113.0,42.0,37.0,1.33,34.0
2015-02,101.0,239.5,72.5,110.0,32.0,31.5,0.97,48.5
2015-03,73.0,179.0,41.0,73.0,21.0,25.0,0.78,67.0
2015-04,79.5,206.5,47.0,74.5,18.5,19.0,0.695,81.0
2015-05,62.0,166.0,31.0,54.0,14.0,18.0,0.53,90.0
2015-06,64.5,248.0,31.5,46.5,8.5,16.5,0.555,100.0
2015-07,68.0,243.0,35.0,54.0,10.0,16.0,0.68,100.0
2015-08,80.0,274.0,46.0,74.0,14.0,24.0,0.89,102.0
2015-09,68.5,258.5,30.0,53.0,17.5,25.0,0.68,98.0
2015-10,88.0,252.0,58.0,84.0,24.0,36.0,0.86,91.0
2015-11,84.5,262.0,61.0,86.5,25.5,31.5,1.0350000000000001,47.5
2015-12,107.0,251.0,89.0,143.0,47.0,57.0,1.56,30.0
2016-01,107.0,263.0,71.0,145.0,38.0,57.0,1.28,33.0
2016-02,78.0,192.0,55.0,78.0,26.0,31.0,1.14,65.0
2016-03,91.0,248.0,54.0,108.0,20.0,29.0,0.77,72.0
2016-04,84.5,266.5,46.5,96.5,11.5,23.5,0.69,88.5
2016-05,76.0,244.0,38.0,62.0,10.0,20.0,0.61,98.0
2016-06,64.0,223.0,24.5,36.0,5.0,10.0,0.585,99.5
2016-07,68.0,262.0,30.0,44.0,6.0,13.0,0.57,109.0
2016-08,46.0,161.0,20.0,30.0,5.0,18.0,0.6,69.0
2016-09,74.0,269.5,34.5,53.0,9.5,29.0,0.645,114.5
2016-10,60.0,219.0,29.0,55.0,11.0,31.0,0.61,75.0
2016-11,86.0,216.5,60.5,94.0,18.0,42.0,0.8200000000000001,48.0
2016-12,125.0,266.0,94.0,127.0,24.0,48.0,1.21,40.0
2017-01,91.0,218.0,66.0,106.0,22.0,45.0,1.12,44.0
2017-02,96.0,250.0,64.0,97.5,17.5,34.5,0.995,66.0
2017-03,80.0,246.0,52.0,87.0,15.0,38.0,0.82,77.0
2017-04,82.5,272.5,36.5,87.0,13.0,31.0,0.645,110.5
2017-05,91.0,283.0,32.0,80.0,11.0,26.0,0.55,110.0
2017-06,64.0,217.5,23.5,44.5,5.0,17.5,0.395,111.0
2017-07,65.0,233.0,34.0,55.0,6.0,20.0,0.75,104.0
2017-08,55.0,229.0,17.0,36.0,4.0,22.0,0.63,92.0
2017-09,69.5,270.0,22.5,47.5,7.0,27.5,0.6,107.5
2017-10,60.5,221.5,29.0,56.5,9.5,40.0,0.64,73.5
2017-11,73.5,211.0,31.0,95.0,12.5,42.0,0.61,53.5
2017-12,88.0,220.0,60.0,110.0,18.0,54.0,1.01,35.0
2018-01,94.0,231.0,67.0,113.0,18.0,42.0,1.05,42.0
2018-02,77.5,199.5,45.0,85.0,11.5,23.0,0.9,62.0
2018-03,71.0,225.0,40.0,82.0,9.0,29.0,0.71,72.0
2018-04,86.0,239.0,32.5,112.0,10.0,28.0,0.435,88.0
2018-05,62.0,198.0,26.0,52.0,6.0,21.0,0.48,103.0
2018-06,69.0,225.5,26.0,38.0,6.0,13.0,0.48,120.0
2018-07,35.0,83.0,13.0,28.0,4.0,10.0,0.28,60.0
