年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,41.0,6.0,19.5,35.5,2.5,17.0,0.435,75.5
2013-11,62.5,18.5,38.0,67.5,7.5,27.5,0.765,58.0
2013-12,86.0,30.0,64.0,92.0,19.0,40.0,1.11,51.0
2014-01,59.5,13.5,34.0,64.0,9.5,21.5,0.74,58.5
2014-02,43.0,25.0,23.0,31.5,3.0,12.0,1.0,70.0
2014-03,52.0,16.5,23.0,43.0,6.0,21.5,0.855,82.0
2014-04,51.5,24.0,28.0,42.5,5.0,17.0,0.77,82.5
2014-05,64.0,52.0,38.0,60.0,7.0,21.0,0.95,97.0
2014-06,47.5,39.5,20.0,30.0,4.5,13.0,0.58,76.5
2014-07,37.0,17.0,13.0,27.0,3.0,10.0,0.71,56.0
2014-08,44.0,43.0,18.0,29.0,3.0,11.0,0.8,75.0
2014-09,47.0,51.5,18.0,32.5,4.5,13.0,0.65,85.0
2014-10,53.0,17.0,18.0,44.0,5.0,13.0,0.7,93.0
2014-11,44.5,13.5,19.0,36.0,5.0,17.5,0.535,72.0
2014-12,68.0,45.0,42.0,80.0,14.0,36.0,0.79,47.0
2015-01,69.0,86.0,43.0,77.0,11.0,32.0,0.91,58.0
2015-02,60.0,104.0,33.0,61.5,3.5,18.5,0.72,78.0
2015-03,49.0,78.0,20.0,35.0,4.0,17.0,0.63,82.0
2015-04,56.5,100.5,28.0,50.0,5.0,22.0,0.74,95.5
2015-05,53.0,97.0,20.0,34.0,5.0,16.0,0.44,91.0
2015-06,44.0,101.5,22.5,35.5,5.0,23.5,0.48,72.0
2015-07,44.5,91.0,17.0,29.0,5.5,13.5,0.46499999999999997,58.5
2015-08,37.0,59.0,17.0,28.0,5.0,11.0,0.51,69.0
2015-09,54.5,169.5,17.5,30.0,6.5,13.5,0.53,97.0
2015-10,57.0,114.0,20.0,40.0,8.0,12.0,0.54,97.0
2015-11,40.5,69.0,24.0,37.0,5.5,22.0,0.665,59.0
2015-12,58.0,110.0,38.0,58.0,9.0,33.0,0.8,55.0
2016-01,56.0,107.0,32.0,57.0,10.0,27.0,0.82,68.0
2016-02,61.0,108.0,33.0,57.0,8.0,19.0,0.66,78.0
2016-03,51.0,72.0,23.0,41.0,7.0,20.0,0.49,85.0
2016-04,52.0,108.0,24.5,37.5,5.0,23.5,0.52,91.5
2016-05,61.0,165.0,27.0,44.0,6.0,20.0,0.68,104.0
2016-06,42.5,99.0,16.5,25.5,6.0,16.5,0.39,75.5
2016-07,35.0,81.0,16.0,31.0,7.0,12.0,0.43,57.0
2016-08,26.0,18.0,11.0,23.0,7.0,9.0,0.65,44.0
2016-09,44.5,66.5,14.0,27.0,9.0,11.0,0.695,85.0
2016-10,42.0,105.0,11.0,28.0,7.0,9.0,0.57,74.0
2016-11,41.5,58.5,19.5,39.0,7.5,17.0,0.75,61.0
2016-12,48.0,27.0,27.0,49.0,9.0,26.0,0.83,60.0
2017-01,48.0,56.0,25.0,41.0,9.0,16.0,0.74,69.0
2017-02,52.0,88.5,31.0,52.0,9.5,18.5,0.775,84.0
2017-03,61.0,134.0,22.0,42.0,9.0,21.0,0.67,96.0
2017-04,62.0,157.5,26.0,48.5,10.0,22.0,0.69,102.5
2017-05,55.0,96.0,17.0,35.0,8.0,14.0,0.55,93.0
2017-06,52.0,147.0,16.0,28.5,7.0,14.0,0.655,89.0
2017-07,38.0,93.0,16.0,33.0,8.0,14.0,0.51,62.0
2017-08,42.0,123.0,20.0,33.0,6.0,11.0,0.6,74.0
2017-09,46.5,131.0,13.0,29.0,6.0,8.0,0.655,85.0
2017-10,47.5,175.5,13.0,31.0,6.0,6.5,0.565,91.5
2017-11,41.5,63.5,19.0,37.5,7.0,20.5,0.82,64.0
2017-12,59.0,87.0,32.0,65.0,11.0,27.0,1.07,61.0
2018-01,48.0,64.0,22.0,37.0,7.0,20.0,0.89,64.0
2018-02,52.0,84.0,26.0,50.5,7.5,21.0,0.8,71.0
2018-03,44.0,43.0,21.0,34.0,7.0,22.0,0.81,75.0
2018-04,54.0,50.5,23.5,51.5,8.0,23.0,0.81,83.5
2018-05,51.0,101.0,20.0,39.0,7.0,18.0,0.78,81.0
2018-06,41.5,85.0,16.5,31.0,6.0,14.0,0.675,79.0
2018-07,27.0,27.0,12.0,26.0,6.0,9.0,0.58,33.0
2018-08,29.0,24.0,12.0,23.0,5.0,7.0,0.6,47.0
2018-09,41.0,111.0,13.0,24.0,4.0,13.0,0.6,77.0
2018-10,46.0,110.0,15.0,33.0,4.0,19.0,0.69,77.0
2018-11,41.0,80.5,18.0,27.5,3.0,19.5,0.58,62.5
2018-12,35.0,65.0,15.0,31.0,4.0,22.0,0.61,49.0
2019-01,47.0,69.0,27.0,47.0,4.0,24.0,0.68,58.0
2019-02,40.0,77.0,17.5,28.5,4.0,16.0,0.655,66.0
2019-03,48.0,97.0,28.0,43.0,4.0,20.0,0.62,75.0
