年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,40,3,16,32,2,8,0.38,67
2013-11,29,3,7,23,1,10,0.43,33
2013-12,33,1,3,11,1,7,0.59,26
2014-01,32,1,8,21,3,6,0.33,33
2014-02,29,2,3,6,1,3,0.75,25
2014-03,32,1,8,15,1,4,0.37,37
2014-04,40,2,8,22,1,7,0.52,45
2014-05,31,8,12,20,2,8,0.68,35
2014-06,33,7,6,12,2,6,0.36,40
2014-07,15,1,6,11,2,2,0.54,13
2014-08,19,1,5,12,2,2,0.59,32
2014-09,21,3,5,11,3,2,0.46,38
2014-10,36,3,9,23,3,3,0.57,49
2014-11,30,1,11,21,2,8,0.36,28
2014-12,36,2,11,28,2,13,0.46,24
2015-01,33,29,8,18,1,9,0.33,28
2015-02,34,5,6,12,2,5,0.36,31
2015-03,32,11,8,13,1,4,0.47,43
2015-04,26,4,8,13,1,9,0.4,49
2015-05,32,22,10,20,2,7,0.35,52
2015-06,33,25,6,13,1,12,0.31,28
2015-07,21,6,5,8,2,3,0.31,33
2015-08,21,2,7,11,2,3,0.34,15
2015-09,36,25,11,17,5,5,0.38,39
2015-10,39,39,9,14,5,7,0.39,68
2015-11,28,4,10,18,4,7,0.46,3
2015-12,32,13,16,27,4,11,0.46,16
2016-01,33,22,5,9,3,6,0.47,15
2016-02,38,19,11,13,3,6,0.43,52
2016-03,25,1,8,12,2,4,0.36,37
2016-04,35,32,10,22,2,9,0.36,34
2016-05,38,32,10,22,2,6,0.43,34
2016-06,26,21,5,9,4,7,0.19,30
2016-07,16,2,4,13,5,5,0.18,25
2016-08,18,1,5,13,5,4,0.43,28
2016-09,17,11,4,11,7,4,0.55,23
2016-10,18,2,6,14,5,5,0.4,25
2016-11,31,7,5,10,6,4,0.51,28
2016-12,28,1,12,24,7,9,0.58,12
2017-01,32,1,8,18,7,4,0.49,21
2017-02,33,13,8,17,7,4,0.49,30
2017-03,39,17,10,22,6,6,0.56,59
2017-04,40,23,11,17,6,4,0.5,32
2017-05,27,6,8,14,5,5,0.48,47
2017-06,27,31,4,9,5,4,0.49,37
2017-07,22,2,6,21,4,2,0.36,24
2017-08,20,4,6,15,5,4,0.49,27
2017-09,29,29,6,12,4,1,0.54,37
2017-10,28,12,3,6,5,1,0.43,45
2017-11,32,5,7,17,6,3,0.48,14
2017-12,33,6,12,22,5,8,0.67,36
2018-01,29,3,6,11,4,5,0.56,25
2018-02,32,3,15,20,5,8,0.54,35
2018-03,27,1,8,17,5,7,0.52,37
2018-04,26,1,13,23,5,14,0.64,41
2018-05,35,21,8,17,4,6,0.58,50
2018-06,22,8,5,8,4,6,0.5,32
2018-07,17,2,6,15,4,1,0.49,16
2018-08,19,2,5,16,3,2,0.5,19
2018-09,17,7,4,11,3,4,0.43,11
2018-10,28,32,4,12,2,6,0.55,44
2018-11,18,9,4,10,3,9,0.38,19
2018-12,24,4,6,4,3,6,0.32,29
2019-01,19,5,6,9,3,8,0.37,14
2019-02,29,23,6,14,4,7,0.51,38
2019-03,36,8,7,22,4,8,0.39,48
2019-04,22,3,5,13,3,10,0.4,40
2019-05,25,2,6,16,3,7,0.39,45
2019-06,22,8,7,14,3,5,0.4,41
2019-07,16,13,4,8,3,5,0.28,22
2019-08,15,8,6,15,2,3,0.33,19
2019-09,11,2,2,8,3,4,0.4,18
2019-10,13,5,3,13,4,4,0.4,26
2019-11,20,10,5,16,5,8,0.46,31
2019-12,20,10,4,10,5,10,0.29,22
2020-01,19,5,4,7,5,7,0.39,8
2020-02,14,7,6,7,4,4,0.44,37
2020-03,18,18,4,6,3,5,0.45,58
2020-04,28,9,7,18,4,9,0.39,81
2020-05,23,12,7,14,3,6,0.39,42
2020-06,16,22,2,7,2,6,0.29,20
2020-07,14,3,5,11,2,7,0.31,20
2020-08,13,4,4,11,2,3,0.3,25
2020-09,21,23,4,8,2,3,0.33,55
2020-10,23,16,5,15,3,6,0.32,66
2020-11,17,7,5,8,3,8,0.33,12
2020-12,20,9,4,6,4,8,0.4,13
2021-01,23,10,7,22,4,13,0.44,13
2021-02,22,18,4,11,4,7,0.4,44
2021-03,22,5,7,15,4,9,0.41,30
2021-04,22,7,7,16,4,10,0.41,37
2021-05,23,29,5,8,4,8,0.38,51
2021-06,10,3,3,6,2,5,0.33,22
2021-07,12,10,2,12,3,4,0.3,21
2021-08,12,6,4,9,3,7,0.37,24
2021-09,11,4,2,4,4,4,0.38,25
2021-10,13,6,4,11,5,7,0.34,32
2021-11,19,6,6,11,5,10,0.38,39
2021-12,21,11,6,19,4,7,0.39,28
2022-01,21,12,5,10,3,6,0.32,32
2022-02,25,8,5,10,3,5,0.28,68
2022-03,15,1,3,6,2,7,0.25,45
