年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,85.5,44.0,63.0,64.5,17.0,53.5,0.6000000000000001,47.5
2013-11,119.0,66.5,84.0,117.5,29.5,63.0,0.945,26.0
2013-12,174.0,82.0,122.0,153.0,36.0,84.0,1.45,15.0
2014-01,102.5,84.0,76.0,84.0,25.0,64.5,0.9299999999999999,27.0
2014-02,76.5,60.5,56.0,60.5,14.0,45.5,0.935,42.5
2014-03,92.5,102.0,67.5,92.5,18.0,52.0,0.935,51.5
2014-04,84.0,104.5,61.0,84.0,18.0,49.5,0.725,63.0
2014-05,99.0,137.0,70.0,106.0,22.0,48.0,0.86,78.0
2014-06,72.5,113.5,51.0,71.0,18.0,38.0,0.805,80.5
2014-07,72.0,113.0,46.0,64.0,12.0,34.0,0.81,68.0
2014-08,77.0,136.0,54.0,73.0,15.0,45.0,0.96,54.0
2014-09,61.5,107.5,40.0,64.0,15.0,39.5,0.795,65.5
2014-10,74.0,94.0,49.0,75.0,20.0,58.0,0.8,67.0
2014-11,87.5,104.0,63.0,90.5,27.5,68.5,0.945,33.0
2014-12,106.0,127.0,79.0,120.0,41.0,66.0,1.22,21.0
2015-01,133.5,256.0,98.0,108.0,27.5,60.0,1.06,27.0
2015-02,91.5,188.0,64.5,86.5,16.0,46.5,0.905,45.5
2015-03,76.0,201.0,51.0,63.0,16.0,59.0,0.86,49.0
2015-04,91.0,255.0,64.0,86.5,22.5,58.0,0.87,67.0
2015-05,68.0,186.0,43.0,64.0,15.0,43.0,0.75,81.0
2015-06,67.0,213.0,43.0,56.0,11.0,40.0,0.78,69.0
2015-07,59.0,208.0,32.0,54.0,13.0,38.0,0.74,69.0
2015-08,68.0,243.0,39.0,60.0,14.0,35.0,0.8,94.0
2015-09,62.0,231.0,36.0,56.0,16.5,43.0,0.775,76.0
2015-10,76.0,199.0,52.0,89.0,17.0,52.0,0.82,68.0
2015-11,68.0,214.0,46.5,65.5,17.5,50.0,1.145,30.0
2015-12,94.0,229.0,70.0,96.0,28.0,68.0,1.26,20.0
2016-01,88.0,239.0,65.0,84.0,19.0,64.0,1.13,34.0
2016-02,88.0,243.0,60.0,86.0,18.0,43.0,0.99,56.0
2016-03,81.0,197.0,58.0,84.0,17.0,48.0,0.92,60.0
2016-04,67.5,200.5,43.0,71.0,12.5,51.0,0.89,76.5
2016-05,68.0,201.0,40.0,76.0,12.0,42.0,0.82,83.0
2016-06,57.0,195.0,29.0,51.5,11.5,40.0,0.755,74.5
2016-07,63.0,261.0,28.0,55.0,12.0,33.0,0.71,75.0
2016-08,53.0,211.0,21.0,44.0,10.0,28.0,0.71,78.0
2016-09,56.0,167.0,31.0,57.5,13.0,47.5,0.9450000000000001,70.0
2016-10,46.0,128.0,24.0,45.0,13.0,46.0,0.9,39.0
2016-11,62.5,177.0,42.5,64.5,18.5,64.0,1.09,33.0
2016-12,95.0,179.0,68.0,84.0,22.0,64.0,1.08,39.0
2017-01,83.0,153.0,57.0,65.0,16.0,45.0,0.88,49.0
2017-02,82.5,197.0,59.0,58.5,15.5,44.5,0.92,61.5
2017-03,73.0,222.0,46.0,61.0,14.0,43.0,0.85,76.0
2017-04,82.0,260.0,45.0,82.0,15.0,49.5,0.885,96.5
2017-05,75.0,206.0,29.0,59.0,12.0,38.0,0.72,100.0
2017-06,56.0,171.0,27.0,47.5,8.0,34.5,0.66,87.5
2017-07,54.0,204.0,27.0,54.0,10.0,32.0,0.59,77.0
2017-08,51.0,216.0,21.0,41.0,8.0,27.0,0.72,83.0
2017-09,46.5,137.0,25.5,43.0,9.0,41.5,0.7,69.0
2017-10,50.5,152.0,27.5,49.5,12.0,41.5,0.755,57.5
2017-11,69.0,182.0,43.0,83.5,15.0,66.0,0.935,40.0
2017-12,84.0,214.0,60.0,100.0,18.0,74.0,1.08,29.0
2018-01,70.0,183.0,48.0,80.0,13.0,59.0,0.93,33.0
2018-02,69.0,189.5,45.0,70.0,9.5,36.5,0.81,57.0
2018-03,61.0,134.0,34.0,68.0,8.0,51.0,0.87,61.0
2018-04,83.5,203.5,39.5,97.0,10.0,52.0,0.65,69.5
2018-05,75.0,249.0,40.0,74.0,7.0,40.0,0.68,91.0
2018-06,62.5,196.0,30.5,49.0,5.5,32.5,0.54,95.0
2018-07,42.0,130.0,17.0,36.0,5.0,28.0,0.45,55.0
2018-08,40.0,113.0,16.0,33.0,3.0,26.0,0.43,70.0
2018-09,44.0,168.0,19.0,39.0,4.0,33.0,0.42,70.0
2018-10,55.0,168.0,29.0,52.0,6.0,39.0,0.47,64.0
2018-11,51.5,192.5,34.5,48.5,5.0,48.5,0.585,37.5
2018-12,60.0,213.0,42.0,59.0,6.0,52.0,0.74,22.0
2019-01,78.0,186.0,54.0,85.0,8.0,52.0,0.92,26.0
2019-02,64.5,188.0,41.5,60.5,5.0,33.0,0.645,51.0
2019-03,82.0,252.0,54.0,80.0,8.0,50.0,0.58,64.0
2019-04,62.5,236.5,42.0,59.0,7.0,42.0,0.475,69.0
2019-05,65.0,219.0,29.0,55.0,5.0,36.0,0.38,84.0
2019-06,59.0,249.0,24.0,42.0,4.0,29.0,0.52,92.0
2019-07,46.5,233.5,22.0,39.5,3.0,28.0,0.505,87.5
2019-08,37.5,130.5,19.5,33.0,3.0,20.0,0.48,53.5
2019-09,39.0,142.5,22.0,38.0,3.0,32.5,0.5700000000000001,76.5
2019-10,54.0,198.0,34.0,52.0,4.0,46.0,0.64,63.0
2019-11,62.0,169.0,35.5,68.0,3.5,52.5,0.605,44.0
2019-12,73.0,200.0,53.0,67.0,4.0,59.0,0.9,30.0
2020-01,72.0,186.0,50.0,57.0,3.0,39.0,0.81,35.0
2020-02,42.0,146.0,27.0,34.0,3.0,18.0,0.52,68.0
2020-03,49.0,168.0,29.0,41.0,4.0,28.0,0.52,70.0
2020-04,61.0,229.5,36.5,61.0,5.0,36.0,0.505,87.5
2020-05,60.0,241.0,32.0,58.0,5.0,23.0,0.63,92.0
2020-06,36.5,193.5,20.5,31.0,4.0,24.5,0.62,76.0
2020-07,33.0,151.0,19.0,30.0,4.0,28.0,0.68,68.0
2020-08,37.0,211.0,19.0,33.0,5.0,20.0,0.56,71.0
2020-09,40.0,213.0,22.0,36.5,6.0,33.0,0.795,71.0
2020-10,41.0,126.0,20.0,40.0,6.0,37.0,0.59,63.0
2020-11,46.5,144.5,27.5,45.0,6.0,37.5,0.71,41.5
