年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,168,160,114,153,27,44,1.13,121
2014-01,293,187,277,312,39,43,1.76,116
2014-02,99,148,74,88,21,34,1.59,91
2014-03,91,99,68,97,26,42,1.29,86
2014-04,86,96,59,84,27,32,1.93,107
2014-05,76,86,52,63,30,23,1.15,78
2014-06,101,104,64,96,26,19,1.14,144
2014-07,102,143,76,96,28,20,1.21,60
2014-08,47,62,28,46,23,17,1.01,59
2014-09,98,164,69,94,28,25,1.12,111
2014-10,131,169,99,134,42,21,1.19,146
2014-11,104,99,76,101,33,22,1.4,113
2014-12,144,440,108,129,42,38,1.57,99
2015-01,145,450,110,139,38,41,1.48,106
2015-02,200,334,153,182,27,32,1.6,106
2015-03,99,252,72,96,23,26,1.28,94
2015-04,88,269,55,91,23,25,1.28,109
2015-05,47,57,27,43,18,17,0.83,72
2015-06,38,79,19,34,12,12,0.77,67
2015-07,71,177,49,64,27,18,1.29,82
2015-08,107,360,65,94,33,15,1.18,162
2015-09,77,292,52,83,20,15,1.03,121
2015-10,119,290,81,121,29,30,1.05,142
2015-11,100,329,74,113,31,26,1.1,114
2015-12,91,205,67,104,32,42,1.56,107
2016-01,106,181,79,115,30,35,1.3,106
2016-02,169,298,129,158,23,36,1.17,86
2016-03,91,255,60,101,23,26,0.98,125
2016-04,63,106,41,60,18,16,1.1,99
2016-05,78,274,35,64,21,16,1.21,135
2016-06,45,129,22,42,17,12,0.98,77
2016-07,52,162,32,56,19,14,0.84,62
2016-08,78,275,52,75,19,16,0.97,118
2016-09,76,334,52,87,28,18,0.9,121
2016-10,68,327,49,71,27,16,0.95,90
2016-11,83,224,60,87,21,24,1.22,102
2016-12,114,229,85,128,27,35,1.32,111
2017-01,128,252,94,126,20,33,1.41,110
2017-02,117,322,88,106,21,22,1.08,108
2017-03,86,268,62,99,21,31,1.21,125
2017-04,87,256,57,85,15,24,0.95,129
2017-05,115,318,51,79,20,21,0.94,169
2017-06,48,110,20,46,15,17,0.75,66
2017-07,56,181,34,51,16,15,0.79,84
2017-08,44,162,22,40,22,18,0.79,73
2017-09,53,222,27,52,19,23,0.96,86
2017-10,128,317,96,140,28,29,1.26,141
2017-11,115,358,83,120,37,31,1.15,123
2017-12,116,312,83,139,38,41,1.28,117
2018-01,113,285,83,125,28,36,1.17,114
2018-02,149,304,114,161,28,41,1.49,109
2018-03,116,313,82,117,20,26,0.93,147
2018-04,87,279,44,119,22,24,0.93,107
2018-05,54,78,19,37,17,16,0.62,96
2018-06,80,267,29,56,24,14,0.84,129
2018-07,50,207,27,46,10,10,0.59,75
2018-08,69,257,37,54,18,17,1.0,110
2018-09,70,304,46,72,20,16,0.76,92
2018-10,88,339,49,89,26,23,0.89,137
2018-11,75,295,54,79,28,29,0.93,101
2018-12,62,248,35,67,28,22,0.9,97
2019-01,124,258,88,128,22,29,1.34,133
2019-02,69,131,48,66,12,16,1.09,86
2019-03,65,168,38,59,16,19,0.95,106
2019-04,50,103,29,41,8,14,0.87,91
2019-05,66,143,33,51,12,15,0.84,106
2019-06,50,186,25,49,14,23,0.71,119
2019-07,44,220,26,46,12,12,0.66,71
2019-08,68,319,49,77,19,16,0.9,96
2019-09,92,352,60,100,26,24,1.18,175
2019-10,91,348,61,93,31,17,1.09,156
2019-11,88,347,61,100,28,29,1.03,137
2019-12,86,301,63,97,34,35,1.18,106
2020-01,86,227,62,84,14,22,1.07,95
2020-02,60,190,39,63,12,17,0.86,91
2020-03,58,187,36,62,15,14,0.95,96
2020-04,73,298,45,76,31,25,1.04,106
2020-05,55,254,37,52,20,17,1.0,102
2020-06,35,157,15,34,9,11,0.65,72
2020-07,36,164,18,35,12,10,0.63,67
2020-08,57,298,40,59,13,15,0.95,103
2020-09,58,304,40,60,15,17,1.03,85
2020-10,77,316,52,95,30,20,1.02,134
2020-11,86,326,63,101,28,31,1.13,119
2020-12,86,343,63,105,32,39,0.98,84
2021-01,112,358,84,133,30,40,1.03,101
2021-02,124,306,94,109,24,22,0.88,103
2021-03,92,289,62,128,21,23,0.89,112
2021-04,63,254,35,74,17,20,0.98,113
2021-05,51,139,33,51,14,14,0.9,98
2021-06,55,206,29,60,22,15,0.68,119
2021-07,44,289,26,45,14,17,0.73,90
2021-08,35,180,19,35,10,18,0.8,93
2021-09,54,287,35,59,18,18,0.75,89
2021-10,60,341,39,66,19,17,0.76,105
2021-11,79,342,58,90,23,30,0.89,111
2021-12,75,281,53,92,23,28,0.96,116
2022-01,75,199,55,86,23,23,1.08,96
2022-02,62,147,42,68,15,20,0.98,113
2022-03,53,190,32,53,15,16,0.85,99
