年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,296,487,223,346,78,73,2.14,75
2015-02,221,353,170,222,54,58,1.59,73
2015-03,230,356,176,293,46,61,1.61,85
2015-04,133,315,67,214,44,51,1.1,117
2015-05,196,364,148,204,38,39,1.31,157
2015-06,110,326,82,145,23,36,1.15,101
2015-07,88,320,63,106,29,30,0.9,109
2015-08,112,352,84,135,27,38,1.07,86
2015-09,159,364,120,165,51,43,1.05,99
2015-10,188,358,142,191,43,55,1.3,95
2015-11,119,343,89,129,34,47,1.55,67
2015-12,247,360,200,270,43,67,1.93,57
2016-01,299,363,260,319,61,81,1.95,66
2016-02,171,356,129,255,38,47,1.69,79
2016-03,238,345,126,347,68,61,1.23,102
2016-04,109,335,78,156,48,55,1.13,93
2016-05,131,346,99,183,34,49,1.13,111
2016-06,85,323,62,98,28,51,1.29,108
2016-07,69,299,41,86,26,29,1.27,69
2016-08,105,364,74,143,21,57,1.2,110
2016-09,175,362,133,172,34,63,1.21,107
2016-10,100,349,73,139,29,45,0.95,107
2016-11,211,359,162,188,17,56,1.47,49
2016-12,240,330,190,210,23,83,1.95,43
2017-01,211,328,161,220,32,91,2.22,66
2017-02,133,319,100,188,29,63,1.27,74
2017-03,124,345,87,173,39,63,1.35,82
2017-04,105,323,64,158,23,54,1.16,95
2017-05,206,318,96,310,26,46,1.05,120
2017-06,89,318,63,122,20,35,1.1,91
2017-07,95,350,70,118,16,31,1.27,92
2017-08,78,347,50,104,20,37,1.04,97
2017-09,78,302,56,100,22,45,1.01,112
2017-10,97,328,70,117,21,52,1.13,86
2017-11,203,361,157,183,25,67,1.32,78
2017-12,247,354,198,175,36,77,1.56,74
2018-01,245,360,197,213,31,77,1.9,83
2018-02,174,352,132,252,23,61,1.46,76
2018-03,133,341,100,144,25,48,1.27,111
2018-04,140,342,72,227,22,48,1.14,106
2018-05,141,326,65,182,27,39,1.11,112
2018-06,88,295,61,122,15,37,1.0,120
2018-07,78,324,56,91,15,29,0.98,85
2018-08,84,357,61,97,14,25,1.12,119
2018-09,80,359,53,109,19,36,1.23,92
2018-10,105,360,78,119,30,52,0.99,107
2018-11,283,362,232,249,28,63,1.59,92
2018-12,245,357,198,215,16,65,1.53,51
2019-01,297,360,246,164,17,64,1.67,50
2019-02,204,360,160,192,19,47,1.22,68
2019-03,125,354,94,131,18,39,1.0,78
2019-04,97,352,71,132,11,34,1.06,87
2019-05,144,354,71,229,19,40,0.9,105
2019-06,77,306,53,96,7,26,0.87,150
2019-07,75,334,46,84,15,28,1.0,127
2019-08,74,359,45,94,5,22,1.14,162
2019-09,91,357,53,98,28,48,1.05,147
2019-10,91,350,61,133,23,54,0.9,119
2019-11,177,366,130,140,19,52,1.03,99
2019-12,210,359,161,161,13,61,1.41,65
2020-01,189,325,144,128,17,62,1.43,94
2020-02,184,362,139,121,15,26,1.05,93
2020-03,108,354,81,148,19,24,1.2,126
2020-04,99,340,74,95,16,31,0.7,136
2020-05,88,342,63,119,8,33,0.9,118
2020-06,60,276,31,71,6,23,0.92,108
2020-07,47,267,31,45,5,24,0.94,95
2020-08,65,330,42,76,6,37,0.98,119
2020-09,66,335,46,67,8,32,0.88,119
2020-10,149,364,114,126,14,53,1.01,88
2020-11,164,366,124,119,12,65,1.0,85
2020-12,218,362,168,154,11,64,1.5,59
2021-01,269,357,219,256,52,61,1.31,63
2021-02,148,347,112,127,10,36,1.08,82
2021-03,298,348,95,404,11,41,0.84,81
2021-04,106,357,74,162,12,45,0.78,94
2021-05,87,342,61,124,7,31,0.83,108
2021-06,67,323,47,68,8,34,0.87,130
2021-07,40,302,24,34,5,18,0.77,104
2021-08,49,290,34,44,9,15,0.86,124
2021-09,63,337,43,62,7,30,0.8,138
2021-10,144,356,110,106,11,46,0.9,121
2021-11,203,365,154,141,17,53,1.15,98
2021-12,232,365,182,178,15,66,1.34,67
2022-01,283,337,233,226,27,61,1.33,70
2022-02,163,331,123,164,18,51,1.18,97
2022-03,409,331,113,585,35,42,1.03,100
