年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,69.0,90.0,43.0,77.0,7.0,29.0,0.89,48.0
2015-02,59.5,84.0,40.0,59.5,5.0,22.5,0.95,45.5
2015-03,53.0,84.0,32.0,53.0,4.0,25.0,0.76,48.0
2015-04,52.5,74.5,28.0,53.5,5.0,25.0,0.775,58.0
2015-05,49.0,75.0,27.0,48.0,4.0,19.0,0.83,41.0
2015-06,41.5,102.0,21.0,39.0,5.0,15.0,0.62,39.5
2015-07,41.0,65.0,19.0,39.0,4.0,12.0,0.61,50.0
2015-08,37.0,58.0,20.0,34.0,4.0,15.0,0.6,42.0
2015-09,45.0,101.5,24.5,40.0,5.0,14.0,0.595,70.5
2015-10,46.0,57.0,23.0,40.0,5.0,13.0,0.58,68.0
2015-11,38.0,51.5,20.5,34.0,4.0,16.0,0.625,51.0
2015-12,45.0,53.0,28.0,40.0,5.0,18.0,0.59,43.0
2016-01,49.0,65.0,33.0,40.0,5.0,24.0,0.68,38.0
2016-02,53.0,83.0,32.0,46.0,6.0,16.0,0.6,53.0
2016-03,65.0,98.0,45.0,59.0,8.0,25.0,0.69,60.0
2016-04,55.5,130.0,37.5,47.0,7.5,21.5,0.67,55.5
2016-05,50.0,72.0,31.0,46.0,7.0,14.0,0.58,51.0
2016-06,39.0,71.5,20.0,36.5,6.0,12.0,0.535,50.0
2016-07,36.0,103.0,19.0,33.0,6.0,11.0,0.56,42.0
2016-08,41.0,68.0,21.0,37.0,5.0,12.0,0.67,46.0
2016-09,39.0,64.5,19.0,34.0,5.0,9.0,0.525,71.0
2016-10,38.0,68.0,14.0,25.0,4.0,11.0,0.55,70.0
2016-11,43.5,53.0,21.5,38.0,6.5,15.5,0.725,57.5
2016-12,44.0,29.0,24.0,42.0,8.0,21.0,0.71,65.0
2017-01,49.0,54.0,30.0,41.0,7.0,18.0,0.66,66.0
2017-02,56.5,70.5,30.5,42.5,7.0,17.5,0.695,77.0
2017-03,58.0,112.0,32.0,50.0,9.0,25.0,0.69,82.0
2017-04,63.5,146.0,32.0,52.0,10.0,23.5,0.65,83.5
2017-05,53.0,75.0,21.0,38.0,8.0,17.0,0.64,85.0
2017-06,39.5,87.0,17.0,33.5,7.0,13.5,0.62,57.5
2017-07,39.0,102.0,17.0,36.0,8.0,12.0,0.57,56.0
2017-08,53.0,194.0,28.0,47.0,7.0,15.0,0.63,67.0
2017-09,53.0,146.5,20.5,37.0,9.0,13.0,0.595,84.5
2017-10,48.5,137.0,18.5,35.5,8.0,12.0,0.545,91.0
2017-11,43.5,45.0,20.5,36.5,5.5,17.0,0.575,70.5
2017-12,49.0,46.0,27.0,46.0,7.0,21.0,0.62,75.0
2018-01,42.0,48.0,18.0,34.0,6.0,20.0,0.61,66.0
2018-02,56.5,117.5,34.0,44.5,7.0,17.5,0.64,81.5
2018-03,52.0,73.0,28.0,42.0,6.0,21.0,0.65,76.0
2018-04,70.5,176.5,37.5,65.0,6.0,20.0,0.65,82.0
2018-05,55.0,106.0,24.0,45.0,7.0,18.0,0.64,80.0
2018-06,45.0,117.5,17.5,32.5,6.0,14.0,0.675,70.5
