年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,23,5,6,11,2,15,0.51,10
2015-02,28,26,10,17,2,13,0.67,21
2015-03,27,5,12,21,2,13,0.51,21
2015-04,24,7,13,18,2,14,0.53,11
2015-05,26,6,9,19,2,12,0.63,15
2015-06,26,18,13,21,3,10,0.43,22
2015-07,20,4,7,12,2,3,0.39,22
2015-08,24,7,9,18,2,3,0.38,23
2015-09,27,25,11,20,3,4,0.38,40
2015-10,26,12,9,15,3,7,0.39,41
2015-11,24,8,8,19,3,10,0.41,15
2015-12,19,5,7,13,2,12,0.37,6
2016-01,20,6,5,8,2,9,0.38,7
2016-02,27,10,9,12,2,10,0.46,25
2016-03,27,31,9,13,4,14,0.41,8
2016-04,28,7,12,19,4,7,0.47,25
2016-05,19,1,10,18,3,6,0.44,17
2016-06,22,7,10,17,4,7,0.39,26
2016-07,18,9,6,11,2,2,0.37,27
2016-08,15,1,7,13,3,4,0.46,21
2016-09,20,6,6,17,2,3,0.33,21
2016-10,23,4,7,11,2,5,0.38,30
2016-11,15,2,5,10,4,10,0.36,28
2016-12,21,1,14,17,5,14,0.53,19
2017-01,21,6,14,17,4,9,0.41,21
2017-02,26,10,16,15,3,8,0.45,27
2017-03,33,35,8,16,5,14,0.42,46
2017-04,36,19,11,19,6,13,0.44,26
2017-05,33,6,11,24,6,11,0.51,40
2017-06,22,9,5,7,5,10,0.46,29
2017-07,22,9,6,13,5,6,0.46,30
2017-08,20,8,7,18,6,6,0.46,33
2017-09,30,40,13,21,6,9,0.52,23
2017-10,25,33,5,12,7,6,0.38,40
2017-11,20,3,6,12,3,11,0.44,35
2017-12,18,6,8,15,3,11,0.4,32
2018-01,16,3,7,10,4,13,0.42,18
2018-02,33,6,11,18,4,10,0.5,61
2018-03,31,2,8,19,3,10,0.4,18
2018-04,36,16,14,30,4,14,0.51,30
2018-05,29,9,14,25,4,12,0.44,26
2018-06,26,16,6,12,4,10,0.49,26
2018-07,19,9,6,18,5,4,0.44,27
2018-08,22,9,5,12,6,9,0.4,41
2018-09,21,5,5,16,6,6,0.35,36
2018-10,31,66,9,13,4,11,0.41,46
2018-11,22,7,5,9,4,12,0.4,33
2018-12,20,5,3,10,4,12,0.48,32
2019-01,23,12,9,16,5,14,0.55,14
2019-02,24,25,4,8,3,8,0.42,22
2019-03,31,17,11,18,3,14,0.36,33
2019-04,30,27,6,11,2,13,0.35,45
2019-05,30,13,7,18,2,9,0.27,38
2019-06,22,10,5,12,2,9,0.4,32
2019-07,21,6,5,17,2,3,0.38,32
2019-08,20,11,6,16,3,3,0.38,28
2019-09,16,6,5,16,4,5,0.4,32
2019-10,26,42,13,25,5,6,0.4,50
2019-11,29,22,11,27,5,10,0.31,45
2019-12,17,7,6,12,5,10,0.32,14
2020-01,15,9,2,7,5,6,0.48,24
2020-02,19,27,7,9,4,4,0.33,32
2020-03,21,12,4,14,4,10,0.4,17
2020-04,30,61,9,16,4,11,0.36,52
2020-05,28,34,3,11,4,11,0.4,33
2020-06,17,15,4,11,3,8,0.4,28
2020-07,24,69,7,24,3,5,0.36,30
2020-08,21,42,6,20,4,5,0.41,31
2020-09,20,30,7,13,4,9,0.49,63
2020-10,26,26,10,25,4,7,0.37,54
2020-11,25,15,9,20,4,8,0.34,49
2020-12,16,7,7,12,3,11,0.37,31
2021-01,38,39,16,37,4,14,0.37,39
2021-02,21,4,7,13,4,5,0.35,33
2021-03,26,20,13,24,3,12,0.33,30
2021-04,29,75,11,27,3,8,0.3,27
2021-05,24,30,12,23,3,12,0.44,30
2021-06,21,15,6,14,3,10,0.4,35
2021-07,16,16,5,14,3,5,0.4,31
2021-08,17,11,2,8,2,4,0.4,30
2021-09,18,18,6,16,3,5,0.4,31
2021-10,16,16,6,12,4,4,0.38,35
2021-11,17,13,6,15,3,8,0.41,27
2021-12,28,16,11,16,3,10,0.39,26
2022-01,19,23,6,9,3,5,0.45,33
2022-02,18,38,6,5,4,5,0.44,41
2022-03,25,20,11,15,4,10,0.37,36
