年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,155.0,146.0,91.0,284.0,105.0,74.0,1.69,22.0
2014-01,141.0,105.0,99.0,168.0,69.0,41.0,1.37,26.5
2014-02,101.0,88.0,71.5,104.0,44.5,37.5,0.815,61.5
2014-03,107.0,138.5,70.0,146.0,44.0,32.0,0.8300000000000001,64.0
2014-04,98.0,136.5,55.5,133.0,31.5,38.5,0.675,77.5
2014-05,97.0,135.0,54.0,135.0,28.0,26.0,0.58,101.0
2014-06,71.0,94.0,40.0,82.5,22.0,22.5,0.635,81.0
2014-07,76.0,124.0,47.0,97.0,18.0,20.0,0.66,97.0
2014-08,71.0,134.0,42.0,83.0,16.0,25.0,0.79,92.0
2014-09,64.5,104.0,37.5,70.0,15.0,31.5,0.71,62.5
2014-10,66.0,66.0,41.0,71.0,15.0,31.0,0.68,46.0
2014-11,106.5,125.5,77.0,121.5,31.0,46.5,1.1949999999999998,25.5
2014-12,87.0,94.0,63.0,99.0,58.0,40.0,1.42,18.0
2015-01,77.0,175.0,52.0,90.0,33.0,36.0,1.34,23.0
2015-02,109.5,247.5,69.5,152.5,28.5,32.5,1.355,35.0
2015-03,98.0,266.0,64.0,122.0,31.0,28.0,1.01,48.0
2015-04,84.5,270.0,47.0,114.5,12.0,22.0,0.735,55.0
2015-05,74.0,238.0,34.0,95.0,16.0,25.0,0.68,71.0
2015-06,69.5,253.0,33.5,87.0,20.5,21.0,0.585,40.0
2015-07,56.0,168.0,28.0,63.0,13.0,19.0,0.65,33.0
2015-08,67.0,253.0,35.0,76.0,18.0,22.0,0.77,71.0
2015-09,62.0,232.0,27.0,66.5,12.5,21.0,0.78,74.5
2015-10,86.0,264.0,54.0,111.0,15.0,29.0,1.03,58.0
2015-11,87.0,256.0,59.5,94.0,14.5,27.5,1.08,37.0
2015-12,124.0,262.0,93.0,131.0,38.0,52.0,1.75,27.0
2016-01,85.0,207.0,60.0,99.0,37.0,36.0,1.34,27.0
2016-02,81.0,205.0,51.0,85.0,34.0,29.0,1.35,41.0
2016-03,87.0,230.0,48.0,113.0,27.0,24.0,1.12,64.0
2016-04,98.5,285.0,45.0,145.0,19.0,21.5,1.085,84.0
2016-05,78.0,251.0,33.0,99.0,19.0,22.0,1.07,62.0
2016-06,62.0,240.5,27.5,72.0,10.0,9.5,0.925,44.5
2016-07,59.0,234.0,23.0,59.0,9.0,8.0,0.91,83.0
2016-08,56.0,204.0,21.0,63.0,10.0,11.0,0.94,60.0
2016-09,64.5,214.0,29.0,74.5,11.0,19.0,0.76,78.0
2016-10,66.0,243.0,28.0,79.0,13.0,27.0,0.81,49.0
2016-11,92.0,251.0,66.0,111.0,13.0,37.0,1.23,37.0
2016-12,87.0,199.0,56.0,110.0,19.0,35.0,1.32,33.0
2017-01,85.0,189.0,57.5,92.5,20.5,36.5,1.5150000000000001,33.5
2017-02,80.0,204.0,51.5,92.5,18.5,27.0,1.295,48.5
2017-03,77.0,251.0,48.0,96.0,17.0,25.0,0.85,75.0
2017-04,85.5,264.0,40.0,106.0,16.0,21.5,0.775,96.0
2017-05,83.0,234.0,30.0,84.0,23.0,21.0,0.71,105.0
2017-06,69.5,251.5,22.5,61.0,9.0,17.0,0.555,107.5
2017-07,62.0,238.0,27.0,65.0,10.0,14.0,0.74,86.0
2017-08,47.0,183.0,14.0,40.0,6.0,13.0,0.55,76.0
