年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,78.5,39.0,52.0,88.5,36.0,39.5,1.375,29.5
2013-11,53.0,12.0,30.0,49.5,42.0,39.0,0.935,38.0
2013-12,62.0,12.0,43.0,77.0,70.0,51.0,1.35,24.0
2014-01,57.0,12.5,34.5,63.5,69.5,40.0,1.1349999999999998,28.0
2014-02,74.0,83.5,50.0,93.0,67.0,43.0,1.22,49.0
2014-03,79.5,69.5,49.0,94.0,39.5,40.5,1.025,60.0
2014-04,77.5,90.0,46.5,93.0,22.5,30.5,0.86,73.5
2014-05,64.0,49.0,29.0,72.0,15.0,29.0,0.85,84.0
2014-06,61.0,85.0,25.0,47.5,11.5,19.0,0.79,91.0
2014-07,68.0,103.0,35.0,53.0,8.0,15.0,0.83,108.0
2014-08,65.0,107.0,20.0,36.0,11.0,19.0,1.0,94.0
2014-09,56.5,91.5,22.0,38.0,14.0,33.0,1.125,65.0
2014-10,67.0,56.0,35.0,58.0,18.0,34.0,1.01,69.0
2014-11,63.0,42.0,39.5,71.5,33.0,42.5,1.2349999999999999,40.5
2014-12,50.0,17.0,28.0,51.0,49.0,34.0,1.01,37.0
2015-01,78.0,136.0,56.0,71.0,60.0,43.0,1.38,37.0
2015-02,63.5,111.5,29.5,68.5,40.0,27.5,0.87,56.5
2015-03,82.0,206.0,51.0,91.0,32.0,31.0,0.88,75.0
2015-04,85.5,258.5,54.0,95.0,19.0,27.5,0.765,98.5
2015-05,78.0,247.0,31.0,69.0,14.0,19.0,0.55,120.0
2015-06,75.0,264.5,23.0,51.0,13.0,16.0,0.55,117.0
2015-07,72.0,241.0,25.0,48.0,10.0,16.0,0.58,101.0
2015-08,67.0,276.0,20.0,46.0,10.0,19.0,0.75,99.0
2015-09,61.5,211.5,15.0,33.0,12.5,26.0,0.755,73.5
2015-10,42.0,56.0,20.0,38.0,15.0,25.0,0.73,54.0
2015-11,107.5,286.5,79.5,96.5,28.0,36.5,1.225,48.0
2015-12,91.0,226.0,67.0,96.0,45.0,42.0,1.39,33.0
2016-01,84.0,183.0,59.0,88.0,52.0,39.0,1.1,39.0
2016-02,61.0,150.0,32.0,64.0,36.0,26.0,0.92,62.0
2016-03,68.0,141.0,43.0,79.0,29.0,28.0,0.77,80.0
2016-04,82.5,261.5,41.0,100.5,15.5,23.0,0.795,96.0
2016-05,93.0,309.0,21.0,41.0,14.0,22.0,0.88,132.0
2016-06,81.5,301.5,21.5,31.0,9.0,16.5,0.835,129.0
2016-07,64.0,250.0,26.0,46.0,6.0,13.0,0.55,104.0
2016-08,58.0,214.0,27.0,44.0,10.0,16.0,0.68,89.0
2016-09,70.5,224.0,36.5,60.0,12.0,24.5,0.675,89.0
2016-10,51.0,203.0,28.0,46.0,18.0,28.0,0.62,51.0
2016-11,83.0,218.5,60.5,82.0,22.5,38.0,1.115,40.0
2016-12,84.0,144.0,61.0,86.0,25.0,38.0,1.0,37.0
2017-01,108.0,181.0,80.0,108.0,41.0,46.0,1.42,39.0
2017-02,73.5,156.0,52.0,78.0,21.5,35.0,0.715,66.0
2017-03,68.0,205.0,47.0,65.0,16.0,29.0,0.72,75.0
2017-04,70.5,188.0,30.0,58.0,11.5,23.5,0.565,99.0
2017-05,76.0,240.0,23.0,55.0,6.0,17.0,0.44,119.0
2017-06,79.5,303.0,30.0,55.5,8.0,21.5,0.5700000000000001,121.0
2017-07,69.0,280.0,28.0,48.0,5.0,15.0,0.55,111.0
2017-08,52.0,196.0,17.0,36.0,6.0,20.0,0.74,89.0
2017-09,66.5,245.5,26.0,57.0,9.0,31.5,0.75,93.5
2017-10,55.5,192.5,31.0,51.5,9.5,37.5,0.63,49.0
2017-11,52.0,107.0,30.5,55.0,14.0,38.5,0.63,44.5
2017-12,62.0,133.0,41.0,72.0,19.0,41.0,0.92,33.0
2018-01,73.0,140.0,48.0,78.0,22.0,39.0,0.95,39.0
2018-02,85.0,279.0,58.0,92.0,19.0,37.5,1.06,49.5
2018-03,79.0,208.0,51.0,77.0,13.0,31.0,0.84,77.0
2018-04,81.0,237.5,38.5,84.0,7.0,22.0,0.675,95.5
2018-05,76.0,233.0,29.0,70.0,6.0,18.0,0.58,114.0
2018-06,89.5,304.5,22.0,38.5,3.0,15.0,0.56,142.0
2018-07,43.0,194.0,14.0,26.0,3.0,13.0,0.53,78.0
2018-08,59.0,270.0,20.0,35.0,4.0,18.0,0.62,99.0
2018-09,53.0,228.0,20.0,36.0,4.0,21.0,0.52,77.0
2018-10,53.0,157.0,26.0,55.0,6.0,29.0,0.58,50.0
2018-11,70.5,238.5,45.5,79.0,13.0,41.5,0.92,30.5
2018-12,77.0,215.0,40.0,84.0,17.0,36.0,0.74,38.0
2019-01,84.0,192.0,60.0,95.0,18.0,42.0,1.1,37.0
2019-02,75.5,208.5,51.5,79.5,16.0,28.0,0.715,49.0
2019-03,56.0,160.0,31.0,64.0,10.0,30.0,0.55,69.0
2019-04,64.0,216.5,25.5,64.0,7.0,24.0,0.52,88.0
2019-05,72.0,230.0,24.0,55.0,6.0,20.0,0.44,99.0
2019-06,62.0,272.0,30.0,46.0,4.0,16.0,0.56,106.0
2019-07,46.5,226.0,25.0,35.0,3.0,14.0,0.645,112.0
2019-08,38.0,153.0,17.5,28.0,4.0,16.0,0.62,88.5
2019-09,55.0,236.5,29.0,54.0,6.0,24.0,0.8049999999999999,65.5
2019-10,62.0,277.0,40.0,71.0,7.0,26.0,0.74,50.0
2019-11,51.5,132.0,27.5,53.0,11.0,34.5,0.75,37.0
2019-12,62.0,165.0,44.0,63.0,13.0,38.0,0.89,30.0
2020-01,113.0,277.0,84.0,111.0,19.0,43.0,1.35,33.0
2020-02,69.0,270.0,47.0,71.0,10.0,27.0,0.86,54.0
2020-03,54.0,173.0,30.0,52.0,9.0,26.0,0.73,64.0
2020-04,68.0,253.5,39.5,83.5,10.0,27.0,0.715,84.0
2020-05,46.0,182.0,24.0,48.0,5.0,22.0,0.58,86.0
2020-06,45.5,257.5,23.5,43.5,5.0,19.5,0.595,104.5
2020-07,41.0,252.0,25.0,38.0,4.0,18.0,0.8,99.0
2020-08,33.0,218.0,19.0,30.0,3.0,17.0,0.71,76.0
2020-09,39.0,174.5,21.0,39.0,5.0,24.5,0.62,60.5
2020-10,53.0,258.0,30.0,59.0,7.0,36.0,0.7,50.0
2020-11,60.0,197.0,39.0,65.0,10.0,34.5,0.775,41.0
2020-12,66.0,157.0,46.0,70.0,16.0,40.0,0.98,30.0
2021-01,61.0,145.0,38.0,70.0,18.0,36.0,1.01,36.0
2021-02,83.0,274.0,57.5,80.5,14.0,30.0,1.085,58.0
2021-03,81.0,259.0,53.0,100.0,12.0,36.0,0.91,67.0
2021-04,58.5,265.0,33.5,65.0,9.0,28.5,0.755,78.0
2021-05,51.0,227.0,28.0,55.0,8.0,20.0,0.69,86.0
2021-06,36.5,194.0,18.0,30.5,6.0,17.0,0.74,89.5
2021-07,34.0,198.0,17.0,29.0,5.0,13.0,0.73,81.0
2021-08,39.0,247.0,20.0,34.0,5.0,16.0,0.99,92.0
2021-09,42.0,221.0,22.0,38.5,7.0,25.5,0.87,62.0
2021-10,49.0,227.0,30.0,49.0,8.0,33.0,0.78,46.0
2021-11,60.0,202.0,38.0,64.5,9.0,30.0,0.905,41.0
2021-12,59.0,149.0,35.0,65.0,11.0,32.0,0.9,35.0
2022-01,73.0,203.0,50.0,78.0,18.0,35.0,1.01,37.0
2022-02,47.0,191.0,30.0,49.5,12.0,24.5,0.79,56.0
2022-03,53.0,144.0,34.0,54.0,10.0,21.0,0.75,72.0
