年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,48,9,19,32,17,20,0.74,20
2013-11,23,1,5,15,23,10,-0.05,10
2013-12,37,1,15,36,29,16,0.56,9
2014-01,31,2,12,27,29,18,0.55,13
2014-02,37,11,12,35,33,11,0.47,23
2014-03,42,10,14,43,16,18,0.57,32
2014-04,50,24,17,50,6,15,0.49,45
2014-05,36,16,7,27,6,16,0.4,46
2014-06,34,2,7,11,8,10,0.51,50
2014-07,44,42,12,24,4,10,0.54,26
2014-08,27,3,6,13,5,10,0.57,41
2014-09,27,4,6,14,7,14,0.56,32
2014-10,30,2,6,21,8,15,0.37,24
2014-11,29,3,7,21,15,11,0.29,18
2014-12,23,1,6,22,18,5,0.27,11
2015-01,32,7,11,30,39,19,0.52,16
2015-02,35,8,14,32,15,7,0.42,22
2015-03,40,39,12,34,14,11,0.3,54
2015-04,61,36,8,31,8,13,0.38,40
2015-05,55,92,11,30,7,11,0.31,69
2015-06,52,179,10,29,8,7,0.35,83
2015-07,42,102,4,21,6,8,0.27,72
2015-08,35,33,9,14,6,8,0.38,58
2015-09,27,22,5,8,7,16,0.31,20
2015-10,25,9,5,10,6,15,0.37,21
2015-11,37,60,19,34,17,14,0.54,6
2015-12,31,7,17,23,23,15,0.53,4
2016-01,42,39,20,42,28,13,0.52,23
2016-02,34,5,9,22,14,7,0.5,26
2016-03,40,57,12,36,17,12,0.42,44
2016-04,49,70,20,38,10,14,0.53,59
2016-05,48,71,9,16,5,6,0.52,75
2016-06,44,128,8,15,4,9,0.44,80
2016-07,36,75,12,24,3,9,0.3,55
2016-08,35,53,8,20,3,8,0.26,57
2016-09,29,39,6,12,8,13,0.28,41
2016-10,28,17,13,20,8,13,0.33,23
2016-11,42,66,21,37,8,19,0.47,18
2016-12,35,8,17,26,10,19,0.41,16
2017-01,38,10,13,32,16,14,0.29,13
2017-02,43,52,13,20,12,14,0.29,34
2017-03,36,17,14,31,9,16,0.36,43
2017-04,44,55,8,26,5,11,0.31,62
2017-05,52,63,8,35,2,10,0.24,53
2017-06,34,36,8,14,4,12,0.24,53
2017-07,45,131,11,20,2,10,0.31,51
2017-08,29,29,7,19,3,11,0.43,56
2017-09,38,109,11,31,5,17,0.48,38
2017-10,24,39,10,20,3,20,0.26,19
2017-11,32,21,13,29,4,22,0.25,25
2017-12,39,19,11,35,8,26,0.39,8
2018-01,42,49,14,42,11,22,0.26,22
2018-02,54,80,26,59,12,22,0.41,27
2018-03,40,52,17,37,3,14,0.43,34
2018-04,49,34,11,39,2,12,0.38,55
2018-05,45,65,13,26,3,11,0.35,71
2018-06,53,104,12,24,1,11,0.4,103
2018-07,26,29,7,15,2,8,0.36,40
2018-08,21,17,9,16,2,12,0.29,29
2018-09,34,63,8,17,1,12,0.19,42
2018-10,24,20,6,19,2,13,0.21,20
2018-11,29,18,14,27,4,18,0.23,13
2018-12,41,45,17,41,4,15,0.35,19
2019-01,40,53,20,37,9,19,0.37,14
2019-02,35,71,17,29,8,11,0.39,23
2019-03,36,24,10,26,4,13,0.23,48
2019-04,41,63,12,28,2,14,0.29,54
2019-05,41,58,3,12,2,11,0.22,75
2019-06,20,27,8,13,2,11,0.35,59
2019-07,33,154,10,16,2,11,0.34,68
2019-08,25,56,8,20,2,13,0.47,33
2019-09,26,54,8,24,3,14,0.35,34
2019-10,21,28,6,17,3,15,0.29,31
2019-11,23,21,10,23,5,11,0.33,10
2019-12,32,53,17,31,7,20,0.55,8
2020-01,47,83,30,44,8,16,0.52,15
2020-02,37,49,11,36,4,10,0.34,29
2020-03,21,47,5,20,4,9,0.15,44
2020-04,30,66,11,26,4,11,0.33,60
2020-05,26,31,9,20,3,14,0.31,56
2020-06,30,114,8,17,3,13,0.37,74
2020-07,24,59,9,15,2,12,0.43,51
2020-08,19,35,6,12,2,12,0.34,32
2020-09,18,30,4,14,3,14,0.23,36
2020-10,21,36,6,19,4,14,0.19,21
2020-11,23,38,6,22,3,13,0.24,15
2020-12,28,31,9,28,7,15,0.28,19
2021-01,35,47,15,34,8,16,0.4,9
2021-02,31,54,15,29,4,11,0.44,17
2021-03,32,60,11,31,4,11,0.43,38
2021-04,24,14,8,19,4,12,0.46,64
2021-05,27,74,11,24,4,14,0.42,57
2021-06,24,63,8,13,3,12,0.55,55
2021-07,16,24,6,12,3,8,0.5,36
2021-08,25,74,9,19,3,11,0.76,39
2021-09,20,37,4,9,3,8,0.55,25
2021-10,21,37,6,19,4,12,0.42,22
2021-11,27,50,5,26,3,8,0.36,17
2021-12,28,44,11,28,6,13,0.44,15
2022-01,41,87,16,42,9,22,0.52,19
2022-02,28,47,10,24,6,11,0.36,37
2022-03,26,49,8,24,5,10,0.44,44
