年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,98.5,37.0,66.5,101.0,36.0,39.0,1.42,39.5
2013-11,73.5,36.5,49.5,85.5,45.0,34.0,1.6749999999999998,33.0
2013-12,80.0,27.0,62.0,104.0,82.0,40.0,2.36,32.0
2014-01,99.0,71.0,68.0,110.5,101.0,40.0,3.06,31.0
2014-02,105.5,111.5,69.5,123.0,109.5,44.0,2.15,45.0
2014-03,87.5,85.5,49.0,105.0,54.5,47.0,1.52,58.5
2014-04,85.0,118.5,48.0,116.0,32.5,46.0,1.92,61.0
2014-05,71.0,79.0,41.0,86.0,20.0,38.0,1.18,66.0
2014-06,62.0,70.0,35.5,69.0,16.0,32.5,0.655,66.5
2014-07,79.0,137.0,53.0,86.0,13.0,25.0,0.74,83.0
2014-08,64.0,120.0,31.0,66.0,18.0,37.0,0.85,79.0
2014-09,58.5,80.0,22.0,59.0,27.0,42.0,0.855,57.0
2014-10,94.0,120.0,55.0,135.0,41.0,45.0,1.54,47.0
2014-11,75.5,98.5,47.5,94.5,73.0,45.0,2.0549999999999997,25.0
2014-12,64.0,39.0,43.0,76.0,72.0,41.0,2.1,22.0
2015-01,92.0,160.0,57.0,127.0,92.0,41.0,1.83,21.0
2015-02,95.5,256.0,62.0,135.0,67.5,31.0,1.565,32.0
2015-03,98.0,263.0,57.0,130.0,53.0,43.0,1.67,35.0
2015-04,95.5,287.5,51.0,115.0,32.0,35.5,1.415,53.0
2015-05,76.0,223.0,42.0,81.0,26.0,33.0,1.19,76.0
2015-06,69.5,249.0,39.0,55.5,21.5,22.0,0.865,98.0
2015-07,68.0,246.0,37.0,52.0,12.0,21.0,0.81,102.0
2015-08,63.0,227.0,36.0,58.0,22.0,24.0,0.88,79.0
2015-09,57.5,207.0,26.5,55.0,26.5,31.5,0.965,71.0
2015-10,44.0,63.0,23.0,43.0,24.0,35.0,1.29,50.0
2015-11,80.0,227.0,55.0,97.0,59.0,36.0,1.73,41.5
2015-12,102.0,204.0,65.0,114.0,95.0,56.0,2.57,28.0
2016-01,78.0,203.0,49.0,93.0,95.0,44.0,1.73,38.0
2016-02,66.0,201.0,38.0,72.0,58.0,37.0,1.41,54.0
2016-03,90.0,209.0,52.0,107.0,53.0,42.0,1.3,55.0
2016-04,75.0,242.0,33.5,97.5,28.0,34.5,0.895,76.0
2016-05,82.0,286.0,25.0,75.0,29.0,30.0,1.16,107.0
2016-06,72.5,276.5,35.0,56.0,15.0,21.5,1.095,115.5
2016-07,67.0,297.0,39.0,64.0,9.0,18.0,0.95,109.0
2016-08,59.0,240.0,25.0,47.0,24.0,29.0,0.93,85.0
2016-09,56.5,162.0,25.5,51.0,25.0,31.0,1.135,76.5
2016-10,54.0,205.0,28.0,55.0,34.0,32.0,1.13,50.0
2016-11,82.5,242.0,53.5,91.0,72.0,47.0,1.3450000000000002,36.0
2016-12,93.0,207.0,67.0,106.0,86.0,46.0,1.95,34.0
2017-01,90.0,212.0,64.0,99.0,96.0,45.0,1.88,36.0
