年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,103.0,191.0,76.0,107.0,34.0,44.0,1.33,40.0
2015-02,84.0,186.5,60.5,82.5,24.0,29.5,1.4249999999999998,47.5
2015-03,78.0,198.0,56.0,73.0,21.0,31.0,1.3,51.0
2015-04,81.0,238.5,56.5,84.0,17.0,35.0,1.1549999999999998,67.0
2015-05,86.0,273.0,62.0,99.0,20.0,23.0,0.89,66.0
2015-06,79.0,254.0,51.5,82.0,29.5,27.0,0.695,71.5
2015-07,61.0,216.0,42.0,58.0,27.0,24.0,0.63,67.0
2015-08,73.0,250.0,52.0,77.0,18.0,27.0,0.75,68.0
2015-09,76.0,279.0,53.5,78.5,21.0,32.0,0.75,75.5
2015-10,100.0,300.0,70.0,112.0,28.0,41.0,0.9,79.0
2015-11,92.5,297.0,67.5,87.5,26.0,31.0,1.0750000000000002,42.0
2015-12,113.0,218.0,85.0,109.0,34.0,36.0,1.38,34.0
2016-01,113.0,271.0,84.0,110.0,23.0,27.0,1.02,32.0
2016-02,99.0,245.0,67.0,108.0,24.0,31.0,0.95,55.0
2016-03,81.0,241.0,58.0,88.0,22.0,31.0,0.85,60.0
2016-04,84.0,271.0,57.0,98.5,21.0,49.5,0.755,87.0
2016-05,81.0,260.0,48.0,82.0,19.0,35.0,0.65,96.0
2016-06,63.0,233.5,39.0,58.5,18.0,31.5,0.675,77.0
2016-07,60.0,216.0,38.0,62.0,19.0,26.0,0.61,56.0
2016-08,55.0,219.0,30.0,52.0,20.0,29.0,0.65,65.0
2016-09,83.0,288.5,50.0,88.0,20.5,33.0,0.725,102.5
2016-10,60.0,231.0,36.0,60.0,15.0,33.0,0.68,43.0
2016-11,80.5,243.5,53.5,99.5,18.0,48.0,0.88,40.0
2016-12,137.0,268.0,103.0,162.0,23.0,58.0,1.22,39.0
2017-01,116.0,251.0,87.0,113.0,26.0,46.0,1.1,40.0
2017-02,120.5,275.0,88.5,126.0,25.0,43.5,0.985,59.0
2017-03,90.0,275.0,66.0,110.0,21.0,43.0,0.81,67.0
2017-04,90.5,304.0,50.5,112.0,18.5,32.0,0.8,90.0
2017-05,91.0,267.0,44.0,101.0,19.0,32.0,0.71,105.0
2017-06,86.0,294.5,51.5,88.5,15.5,26.0,0.69,111.5
2017-07,60.0,225.0,35.0,64.0,10.0,20.0,0.54,75.0
2017-08,56.0,249.0,31.0,51.0,13.0,22.0,0.63,81.0
2017-09,61.0,216.0,35.0,58.5,16.5,29.0,0.775,78.5
2017-10,68.0,223.5,43.0,75.5,18.0,39.0,0.7549999999999999,68.5
2017-11,94.0,266.0,67.5,117.5,23.0,58.5,0.9,44.5
2017-12,115.0,273.0,86.0,134.0,25.0,61.0,1.07,35.0
2018-01,121.0,288.0,90.0,115.0,21.0,47.0,1.1,42.0
2018-02,86.5,257.5,60.0,97.5,15.0,34.0,0.8,57.0
2018-03,82.0,248.0,58.0,89.0,14.0,33.0,0.77,75.0
2018-04,94.0,277.0,52.5,112.5,17.0,32.0,0.62,97.0
2018-05,81.0,250.0,46.0,69.0,13.0,30.0,0.7,98.0
2018-06,87.5,284.5,36.0,69.5,15.0,26.0,0.66,130.5
2018-07,63.0,284.0,31.0,54.0,12.0,23.0,0.49,82.0
2018-08,49.0,216.0,24.0,41.0,11.0,21.0,0.58,83.0
2018-09,59.0,274.0,32.0,59.0,14.0,31.0,0.58,79.0
2018-10,73.0,281.0,38.0,88.0,16.0,41.0,0.53,69.0
2018-11,83.5,264.5,61.0,83.0,13.5,41.0,0.705,44.5
2018-12,87.0,259.0,62.0,90.0,13.0,50.0,0.84,34.0
2019-01,130.0,280.0,98.0,142.0,13.0,47.0,1.05,29.0
2019-02,97.5,259.5,71.0,92.5,8.0,26.0,0.815,54.0
2019-03,85.0,298.0,54.0,103.0,15.0,37.0,0.7,70.0
2019-04,70.0,258.0,43.0,81.0,11.0,27.5,0.595,79.0
2019-05,68.0,233.0,35.0,72.0,13.0,26.0,0.57,85.0
2019-06,63.0,264.0,31.0,57.0,12.0,18.0,0.63,101.0
2019-07,55.0,257.0,32.0,50.0,12.0,17.5,0.6,97.0
2019-08,45.0,197.5,21.0,43.0,13.0,20.0,0.5,72.0
2019-09,55.5,245.5,29.0,59.5,15.0,30.0,0.545,78.5
2019-10,72.0,297.0,48.0,84.0,16.0,39.0,0.67,57.0
2019-11,83.5,292.5,51.5,109.0,17.5,45.5,0.655,46.0
2019-12,106.0,295.0,78.0,110.0,16.0,48.0,0.83,31.0
2020-01,109.0,266.0,81.0,98.0,10.0,34.0,0.88,44.0
2020-02,61.0,219.0,44.0,52.0,9.0,16.0,0.6,63.0
2020-03,71.0,264.0,40.0,77.0,15.0,30.0,0.65,64.0
2020-04,66.0,249.0,35.5,79.5,16.0,28.0,0.57,81.0
2020-05,64.0,283.0,30.0,77.0,14.0,23.0,0.58,93.0
2020-06,43.0,221.5,21.0,41.0,9.0,21.0,0.565,98.0
2020-07,41.0,225.0,26.0,38.0,9.0,22.0,0.61,76.0
2020-08,39.0,235.0,17.0,39.0,11.0,17.0,0.55,77.0
2020-09,55.5,284.5,30.5,60.0,12.0,30.0,0.645,96.0
2020-10,65.0,262.0,38.0,74.0,13.0,45.0,0.6,61.0
2020-11,69.5,272.0,47.5,84.5,12.0,43.0,0.735,44.0
2020-12,111.0,294.0,84.0,109.0,14.0,55.0,0.75,38.0
2021-01,97.0,286.0,60.0,121.0,14.0,44.0,0.7,39.0
2021-02,61.5,230.5,40.5,68.0,10.5,22.5,0.585,65.5
2021-03,75.0,228.0,44.0,82.0,10.0,29.0,0.54,58.0
2021-04,60.5,259.0,35.0,70.5,10.5,31.0,0.485,70.5
2021-05,57.0,260.0,29.0,60.0,11.0,21.0,0.52,93.0
2021-06,53.5,268.5,24.5,50.0,12.0,19.0,0.5,107.5
2021-07,27.0,112.0,11.0,24.0,10.0,8.0,0.45,72.0
2021-08,38.0,224.0,18.0,33.0,11.0,12.0,0.55,82.0
2021-09,48.5,261.5,24.5,49.5,10.0,13.5,0.595,90.5
2021-10,58.0,280.0,32.0,65.0,10.0,22.0,0.6,75.0
2021-11,79.0,297.5,49.0,101.5,9.0,40.0,0.475,43.5
2021-12,83.0,272.0,58.0,109.0,11.0,43.0,0.55,36.0
2022-01,122.0,275.0,91.0,121.0,8.0,38.0,0.75,46.0
2022-02,67.0,242.0,47.5,68.0,7.0,24.5,0.48,62.0
2022-03,78.0,251.0,38.0,102.0,9.0,25.0,0.47,69.0
