年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,184.5,87.5,140.5,244.0,62.5,65.0,1.3599999999999999,28.5
2013-11,134.5,85.0,85.0,189.5,55.5,57.5,1.24,23.5
2013-12,234.0,94.0,174.0,293.0,90.0,70.0,1.71,15.0
2014-01,234.5,167.0,196.0,301.5,85.0,64.0,2.5599999999999996,16.5
2014-02,182.5,168.0,140.5,198.5,61.5,39.0,1.43,43.5
2014-03,164.0,175.0,111.0,229.0,42.5,40.5,1.185,52.5
2014-04,121.0,165.0,77.0,178.0,28.0,34.5,0.86,74.5
2014-05,133.0,174.0,67.0,199.0,32.0,34.0,0.76,109.0
2014-06,116.5,168.5,60.5,124.5,17.0,27.5,0.755,126.0
2014-07,120.0,165.0,71.0,122.0,12.0,25.0,0.82,98.0
2014-08,123.0,184.0,75.0,139.0,15.0,27.0,0.93,102.0
2014-09,104.0,179.5,72.5,122.5,21.0,34.5,0.98,66.5
2014-10,166.0,177.0,120.0,214.0,30.0,51.0,1.07,52.0
2014-11,150.0,165.0,105.5,200.0,33.5,52.5,1.4,27.0
2014-12,164.0,173.0,115.0,223.0,79.0,60.0,1.84,19.0
2015-01,161.0,328.0,104.0,212.0,72.0,63.0,2.39,21.0
2015-02,152.5,314.0,102.0,208.0,48.5,40.5,1.9049999999999998,42.5
2015-03,148.0,338.0,75.0,192.0,37.0,37.0,1.1,63.0
2015-04,109.0,318.0,68.0,144.5,29.5,29.0,0.915,90.0
2015-05,106.0,318.0,63.0,146.0,20.0,26.0,0.97,99.0
2015-06,110.5,342.0,66.0,120.5,16.0,25.5,0.845,121.0
2015-07,110.0,346.0,79.0,100.0,14.0,25.0,0.89,100.0
2015-08,110.0,341.0,82.0,104.0,16.0,27.0,1.05,67.0
2015-09,83.5,334.5,55.0,100.0,18.0,38.0,1.295,82.5
2015-10,104.0,319.0,64.0,140.0,28.0,46.0,1.13,42.0
2015-11,139.5,333.0,102.0,165.5,30.0,43.0,1.575,32.5
2015-12,248.0,353.0,196.0,280.0,58.0,79.0,2.97,22.0
2016-01,154.0,318.0,117.0,154.0,63.0,60.0,2.17,31.0
2016-02,112.0,309.0,79.0,124.0,55.0,52.0,1.86,48.0
2016-03,136.0,324.0,96.0,171.0,33.0,47.0,1.76,59.0
2016-04,112.5,313.5,65.5,154.5,26.5,37.0,0.86,82.0
2016-05,86.0,310.0,57.0,97.0,19.0,31.0,0.74,105.0
2016-06,103.5,350.5,56.0,83.0,16.0,25.0,0.73,126.0
2016-07,108.0,358.0,76.0,101.0,13.0,27.0,0.78,96.0
2016-08,86.0,340.0,47.0,78.0,14.0,29.0,0.76,73.0
2016-09,87.0,312.0,38.0,90.0,17.5,39.0,0.94,106.0
2016-10,87.0,333.0,64.0,106.0,14.0,49.0,1.06,45.0
2016-11,155.0,338.5,108.0,187.0,34.0,54.5,1.4,27.0
2016-12,210.0,342.0,158.0,254.0,36.0,64.0,1.91,19.0
2017-01,205.0,328.0,145.0,270.0,37.0,58.0,2.54,18.0
2017-02,123.0,315.5,91.0,153.0,30.5,50.5,1.23,41.5
2017-03,105.0,307.0,64.0,133.0,20.0,46.0,0.79,59.0
2017-04,97.0,328.5,55.0,140.5,20.0,39.0,0.74,72.0
2017-05,109.0,324.0,53.0,152.0,14.0,27.0,0.71,114.0
2017-06,105.0,328.0,56.5,112.5,13.0,26.5,0.705,126.5
2017-07,96.0,334.0,54.0,84.0,9.0,22.0,0.77,97.0
2017-08,79.0,327.0,51.0,81.0,7.0,22.0,0.66,86.0
