年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,135.0,276.0,102.0,151.0,38.0,42.0,1.25,30.0
2015-02,108.0,243.5,78.5,114.5,20.5,31.0,1.32,39.5
2015-03,65.0,144.0,46.0,62.0,15.0,32.0,1.19,28.0
2015-04,69.0,172.5,44.0,77.5,18.0,27.5,1.0,61.0
2015-05,73.0,198.0,50.0,79.0,14.0,19.0,1.05,62.0
2015-06,46.5,124.0,24.5,43.0,13.5,14.0,0.845,56.5
2015-07,52.0,155.0,33.0,47.0,11.0,17.0,0.94,66.0
2015-08,57.0,200.0,32.0,56.0,12.0,15.0,0.89,66.0
2015-09,68.0,281.0,46.5,75.0,13.5,21.5,0.96,64.0
2015-10,89.0,260.0,63.0,114.0,19.0,35.0,1.16,64.0
2015-11,52.0,131.0,34.0,50.0,9.0,30.0,1.275,17.5
2015-12,71.0,165.0,51.0,79.0,14.0,36.0,1.14,16.0
2016-01,82.0,228.0,59.0,72.0,11.0,33.0,1.25,22.0
2016-02,89.0,248.0,62.0,97.0,15.0,32.0,1.17,44.0
2016-03,87.0,203.0,59.0,91.0,19.0,39.0,1.16,43.0
2016-04,57.5,126.0,39.5,55.5,10.0,24.0,1.06,36.5
2016-05,53.0,134.0,33.0,49.0,9.0,21.0,0.92,54.0
2016-06,48.0,132.0,26.5,44.5,10.0,15.5,0.8,55.5
2016-07,43.0,121.0,19.0,39.0,10.0,16.0,0.76,57.0
2016-08,51.0,202.0,28.0,49.0,11.0,17.0,0.91,68.0
2016-09,76.0,277.5,47.5,82.5,16.0,21.0,0.945,93.5
2016-10,66.0,258.0,41.0,69.0,12.0,23.0,0.99,40.0
2016-11,70.0,150.0,49.5,67.5,14.5,31.0,1.125,28.0
2016-12,115.0,244.0,86.0,121.0,25.0,43.0,1.47,28.0
2017-01,117.0,242.0,87.0,109.0,18.0,31.0,1.48,35.0
2017-02,89.0,222.0,66.0,78.5,15.5,24.0,1.41,51.5
2017-03,57.0,139.0,37.0,46.0,10.0,27.0,1.09,38.0
2017-04,62.0,139.5,40.0,64.5,14.0,27.0,1.05,61.0
2017-05,60.0,154.0,36.0,54.0,9.0,19.0,1.04,80.0
2017-06,39.0,77.5,19.5,35.5,6.5,16.0,0.985,56.5
2017-07,34.0,63.0,14.0,31.0,11.0,15.0,0.66,47.0
2017-08,40.0,99.0,19.0,36.0,11.0,16.0,0.72,55.0
2017-09,59.0,215.0,35.0,59.0,14.0,18.0,0.985,71.5
2017-10,55.5,198.5,37.0,59.5,15.0,21.0,0.925,60.5
2017-11,85.5,266.5,63.0,85.5,21.0,35.0,1.1349999999999998,24.5
2017-12,109.0,281.0,81.0,105.0,30.0,48.0,1.23,33.0
2018-01,80.0,220.0,58.0,76.0,17.0,40.0,1.16,28.0
2018-02,97.0,270.0,71.5,90.5,16.0,37.0,1.26,43.0
2018-03,71.0,178.0,47.0,69.0,16.0,34.0,1.08,45.0
2018-04,64.5,123.5,40.5,75.0,17.0,27.5,0.995,58.0
2018-05,50.0,82.0,28.0,50.0,14.0,19.0,0.84,67.0
2018-06,39.5,75.0,19.0,39.5,11.0,17.5,0.81,63.0
2018-07,42.0,137.0,19.0,38.0,11.0,15.0,0.75,55.0
2018-08,46.0,151.0,22.0,40.0,12.0,16.0,0.72,76.0
2018-09,54.0,232.0,32.0,53.0,13.0,18.0,0.76,63.0
2018-10,62.0,253.0,36.0,59.0,17.0,29.0,0.84,62.0
2018-11,61.0,175.0,41.0,63.5,11.0,30.0,0.96,28.0
2018-12,77.0,234.0,48.0,59.0,9.0,30.0,1.01,18.0
2019-01,93.0,249.0,69.0,74.0,10.0,35.0,1.38,23.0
2019-02,55.0,119.0,37.5,40.0,7.0,22.5,1.08,30.0
2019-03,55.0,135.0,38.0,51.0,10.0,33.0,0.99,39.0
2019-04,46.0,84.0,25.5,42.0,9.0,21.0,0.8,53.5
2019-05,55.0,170.0,32.0,55.0,8.0,19.0,0.89,66.0
2019-06,46.0,165.0,21.0,41.0,9.0,14.0,0.85,59.0
2019-07,36.0,158.0,16.5,36.5,8.5,12.0,0.775,51.5
2019-08,56.5,274.5,31.5,55.5,10.5,12.5,0.815,91.0
2019-09,60.5,278.5,35.5,70.0,14.0,19.5,0.82,109.0
2019-10,62.0,238.0,40.0,69.0,13.0,29.0,0.89,48.0
2019-11,78.5,273.0,55.5,90.0,18.0,35.5,0.95,47.0
2019-12,95.0,275.0,70.0,88.0,18.0,39.0,1.21,30.0
2020-01,69.0,175.0,50.0,56.0,9.0,27.0,1.13,28.0
2020-02,54.0,173.0,36.0,49.0,8.0,16.0,0.95,39.0
2020-03,44.0,103.0,27.0,40.0,9.0,19.0,0.87,42.0
2020-04,57.5,185.0,37.0,61.5,14.0,24.5,0.805,68.5
2020-05,56.0,254.0,36.0,55.0,10.0,15.0,0.78,80.0
2020-06,29.0,121.0,14.5,28.0,10.0,12.0,0.665,53.5
2020-07,33.0,153.0,17.0,32.0,11.0,13.0,0.72,54.0
2020-08,33.0,167.0,16.0,29.0,11.0,12.0,0.62,58.0
2020-09,48.0,230.5,30.5,44.5,10.5,17.0,0.8200000000000001,62.5
2020-10,59.0,271.0,40.0,69.0,9.0,19.0,0.9,58.0
2020-11,67.5,207.0,43.0,78.0,10.0,28.5,0.925,55.0
2020-12,92.0,285.0,68.0,84.0,13.0,35.0,1.16,28.0
2021-01,95.0,260.0,70.0,108.0,15.0,37.0,1.13,36.0
2021-02,61.5,223.0,44.0,58.5,9.0,17.5,0.9199999999999999,39.0
2021-03,45.0,104.0,28.0,46.0,10.0,23.0,0.84,33.0
2021-04,38.0,102.5,24.5,35.5,8.0,19.0,0.78,47.5
2021-05,37.0,118.0,22.0,34.0,8.0,16.0,0.64,57.0
2021-06,40.5,204.5,24.5,40.0,10.0,10.5,0.6,62.5
2021-07,34.0,209.0,18.0,32.0,11.0,11.0,0.59,68.0
2021-08,38.0,219.0,21.0,36.0,9.0,12.0,0.65,58.0
2021-09,47.5,274.5,29.5,45.5,12.0,15.0,0.725,86.5
2021-10,48.0,249.0,31.0,45.0,9.0,16.0,0.72,63.0
2021-11,60.0,200.5,39.5,62.0,12.0,25.5,0.84,45.5
2021-12,78.0,276.0,57.0,86.0,11.0,33.0,0.97,39.0
2022-01,63.0,169.0,45.0,58.0,7.0,26.0,1.06,23.0
2022-02,49.5,187.5,34.5,44.5,8.0,16.0,0.81,38.0
2022-03,48.0,133.0,30.0,48.0,9.0,19.0,0.75,54.0
