年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,146,84,109,160,31,59,0.89,59
2013-11,158,111,132,168,59,67,1.32,81
2013-12,411,111,278,241,148,93,2.49,43
2014-01,400,181,404,262,91,80,1.67,65
2014-02,151,159,114,137,41,52,1.04,62
2014-03,155,154,117,138,47,45,1.08,95
2014-04,145,183,109,154,44,63,1.67,106
2014-05,150,185,114,172,54,63,0.99,100
2014-06,145,177,108,139,34,37,0.89,154
2014-07,110,148,80,110,29,37,0.94,123
2014-08,95,150,69,97,43,36,1.02,76
2014-09,100,170,74,102,26,37,1.06,81
2014-10,112,146,83,153,63,60,1.26,112
2014-11,120,186,90,140,35,57,1.89,82
2014-12,116,245,87,158,73,77,1.77,60
2015-01,226,358,179,242,59,76,2.36,64
2015-02,130,293,98,163,33,52,1.97,114
2015-03,90,257,65,98,34,46,1.64,114
2015-04,114,316,72,115,51,67,1.26,119
2015-05,120,345,90,126,35,48,1.3,134
2015-06,76,307,51,74,41,35,1.96,91
2015-07,93,320,60,77,33,28,0.94,137
2015-08,114,361,76,97,68,40,1.08,136
2015-09,109,361,81,110,34,45,1.0,135
2015-10,107,318,78,118,35,63,1.11,114
2015-11,94,273,70,103,30,53,1.61,72
2015-12,154,305,116,188,61,73,2.14,66
2016-01,167,335,126,189,51,71,2.12,68
2016-02,211,319,168,235,24,60,1.24,96
2016-03,169,331,128,167,48,86,1.25,111
2016-04,107,337,80,118,30,60,1.46,108
2016-05,101,342,75,106,38,48,1.36,116
2016-06,85,283,57,83,30,30,0.96,104
2016-07,77,277,47,75,23,26,0.75,110
2016-08,84,350,54,82,20,42,1.11,126
2016-09,82,288,55,83,23,41,0.84,104
2016-10,96,332,71,96,27,53,1.58,82
2016-11,152,321,114,164,53,64,1.93,61
2016-12,140,305,106,140,38,66,1.56,65
2017-01,202,283,152,230,35,85,1.6,75
2017-02,126,312,94,137,36,73,1.18,93
2017-03,131,331,98,136,34,66,1.16,85
2017-04,91,335,64,119,38,59,0.99,94
2017-05,97,351,69,95,41,57,0.89,125
2017-06,74,231,53,71,18,36,0.8,86
2017-07,122,363,84,89,24,33,0.78,118
2017-08,60,281,41,59,18,34,0.97,93
2017-09,131,363,98,113,24,44,0.95,117
2017-10,105,347,72,106,26,66,1.24,114
2017-11,140,343,105,147,31,68,1.22,97
2017-12,164,357,123,173,37,89,1.36,53
2018-01,202,325,154,182,36,74,1.36,61
2018-02,148,316,112,135,17,49,0.98,65
2018-03,78,226,56,92,18,61,1.31,94
2018-04,102,256,72,151,20,51,1.11,121
2018-05,86,281,41,71,14,41,0.89,139
2018-06,83,331,55,79,12,40,0.98,128
2018-07,72,271,26,56,15,33,1.03,104
2018-08,91,320,40,73,11,29,0.87,149
2018-09,77,326,39,74,10,42,1.34,114
2018-10,91,326,65,107,17,59,0.98,128
2018-11,85,219,62,96,10,57,1.37,76
2018-12,109,276,81,114,11,64,1.2,39
2019-01,154,364,116,182,13,70,1.26,40
2019-02,137,225,104,143,9,49,1.31,64
2019-03,89,308,66,93,15,54,0.93,68
2019-04,74,299,50,88,17,55,0.91,88
2019-05,86,328,60,91,15,48,0.87,121
2019-06,104,357,77,86,12,41,0.99,119
2019-07,47,245,27,45,12,24,0.78,92
2019-08,56,244,37,57,12,26,0.74,105
2019-09,94,362,61,86,11,41,0.85,147
2019-10,108,366,81,156,10,55,1.34,108
2019-11,95,350,71,126,14,73,1.18,76
2019-12,113,314,85,124,19,72,1.21,62
2020-01,78,190,57,81,14,55,1.1,73
2020-02,66,278,47,74,7,44,0.97,91
2020-03,66,228,43,82,21,59,1.04,75
2020-04,76,297,55,89,15,65,0.95,126
2020-05,68,325,47,72,13,44,0.86,130
2020-06,47,287,31,42,10,26,1.04,80
2020-07,57,295,37,56,18,27,0.77,89
2020-08,55,338,34,61,13,34,0.8,88
2020-09,73,343,52,75,13,48,0.79,109
2020-10,72,330,49,87,7,56,1.02,108
2020-11,79,297,46,108,10,54,1.14,85
2020-12,88,256,65,106,11,67,1.42,59
2021-01,144,335,100,176,19,59,1.16,51
2021-02,91,304,66,114,14,56,1.03,74
2021-03,66,178,39,83,8,45,1.02,87
2021-04,122,365,45,194,17,43,1.03,108
2021-05,67,307,37,77,17,38,0.9,118
2021-06,62,355,42,72,10,37,0.83,112
2021-07,56,339,27,62,8,32,0.74,80
2021-08,62,334,27,59,10,23,0.65,108
2021-09,78,347,37,77,10,28,0.76,136
2021-10,78,322,51,102,9,50,0.73,118
2021-11,76,303,51,95,17,46,0.79,81
2021-12,102,296,73,148,21,54,1.07,73
2022-01,104,243,78,136,17,67,1.07,60
2022-02,93,228,69,90,11,40,0.83,78
2022-03,76,212,52,92,13,45,0.95,91
