年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,92,174,63,6,13,34,0.94,5
2015-02,85,190,57,25,3,15,0.81,8
2015-03,64,144,38,60,6,21,0.69,12
2015-04,36,26,16,30,2,19,0.43,20
2015-05,43,69,16,34,4,14,0.4,61
2015-06,28,23,6,21,2,17,0.53,37
2015-07,43,90,17,36,4,9,0.55,53
2015-08,39,58,10,26,3,10,0.6,61
2015-09,38,87,19,32,6,16,0.72,29
2015-10,26,3,12,23,6,15,0.5,15
2015-11,24,11,15,20,4,21,0.86,1
2015-12,50,64,17,0,8,28,0.62,8
2016-01,67,200,17,72,9,21,0.78,5
2016-02,38,70,10,38,7,11,0.49,25
2016-03,61,59,34,60,8,19,0.6,29
2016-04,34,42,9,22,5,14,0.58,45
2016-05,33,42,11,19,3,11,0.52,51
2016-06,37,91,9,18,2,8,0.55,38
2016-07,25,18,4,13,2,7,0.58,42
2016-08,23,10,7,17,2,9,0.62,44
2016-09,35,38,19,32,3,20,0.73,35
2016-10,20,8,11,17,4,17,0.84,13
2016-11,32,67,19,30,5,20,1.0,7
2016-12,77,187,53,58,8,30,1.11,6
2017-01,42,88,27,32,8,11,1.03,4
2017-02,59,180,33,58,6,16,0.79,19
2017-03,42,86,24,39,6,18,0.55,21
2017-04,50,110,21,41,7,21,0.49,26
2017-05,43,51,17,32,6,17,0.64,39
2017-06,37,41,7,18,5,12,0.73,26
2017-07,31,64,13,19,6,7,0.58,40
2017-08,29,53,12,17,6,10,0.74,42
2017-09,25,11,10,18,5,15,0.79,30
2017-10,24,34,13,18,6,18,0.71,18
2017-11,51,90,25,55,11,33,0.76,6
2017-12,64,146,36,57,9,42,0.65,6
2018-01,61,166,30,13,10,19,0.79,11
2018-02,65,198,31,45,9,14,0.77,29
2018-03,61,128,21,2,10,18,0.64,32
2018-04,33,24,16,19,5,16,0.58,28
2018-05,20,2,7,14,4,10,0.66,29
2018-06,44,96,10,22,6,9,0.76,57
2018-07,30,49,12,24,5,8,0.73,28
2018-08,42,145,15,34,6,11,0.77,61
2018-09,27,33,8,24,7,20,0.59,18
2018-10,39,76,12,37,8,22,0.64,30
2018-11,23,24,13,10,5,19,0.75,8
2018-12,69,259,42,73,7,28,0.87,3
2019-01,74,192,44,16,8,30,0.84,3
2019-02,71,247,50,52,4,11,0.79,6
2019-03,52,134,23,41,6,14,0.35,33
2019-04,47,94,26,21,4,13,0.52,38
2019-05,41,90,15,29,6,12,0.46,40
2019-06,35,87,10,26,4,11,0.6,45
2019-07,30,112,12,25,4,12,0.6,46
2019-08,33,75,15,28,5,15,0.62,47
2019-09,23,35,12,17,5,19,0.54,32
2019-10,21,31,10,15,5,15,0.5,24
2019-11,36,91,16,36,6,20,0.4,10
2019-12,46,148,23,48,6,28,0.57,2
2020-01,51,154,36,31,5,15,0.67,6
2020-02,30,120,8,17,7,6,0.67,33
2020-03,24,88,6,15,6,15,0.4,30
2020-04,43,115,23,31,8,19,0.53,28
2020-05,30,87,12,27,6,9,0.42,36
2020-06,26,119,6,11,4,8,0.5,66
2020-07,19,42,8,11,5,8,0.54,52
2020-08,19,40,10,14,5,7,0.5,33
2020-09,24,98,10,10,6,15,0.52,41
2020-10,24,92,16,18,6,22,0.51,18
2020-11,31,113,18,25,6,23,0.52,13
2020-12,51,212,17,54,8,25,0.45,9
2021-01,55,180,18,64,7,21,0.39,10
2021-02,43,102,25,29,6,13,0.64,21
2021-03,34,124,24,22,5,17,0.46,21
2021-04,42,104,24,21,5,15,0.47,38
2021-05,24,45,15,15,6,12,0.45,33
2021-06,22,52,10,14,5,8,0.45,40
2021-07,24,78,12,11,4,4,0.46,36
2021-08,23,72,7,11,5,8,0.55,25
2021-09,24,65,10,15,5,7,0.65,38
2021-10,16,52,10,14,5,9,0.44,25
2021-11,29,51,9,29,5,15,0.4,18
2021-12,49,211,19,48,7,13,0.58,7
2022-01,81,170,59,60,6,17,0.96,10
2022-02,61,204,43,52,6,13,0.72,8
2022-03,45,178,26,39,6,14,0.62,21
