年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,261,101,211,311,46,81,3.22,31
2013-11,212,109,168,284,103,80,2.95,27
2013-12,500,114,597,818,137,126,6.33,25
2014-01,486,189,527,659,145,101,4.2,39
2014-02,432,189,395,508,100,87,4.34,35
2014-03,270,189,199,381,55,64,3.19,46
2014-04,183,188,89,312,32,62,2.25,60
2014-05,236,187,112,364,24,45,1.91,70
2014-06,145,183,103,201,25,50,1.89,91
2014-07,105,168,69,145,17,49,1.63,117
2014-08,123,174,86,161,26,63,1.58,107
2014-09,116,162,86,162,20,55,1.8,60
2014-10,251,182,201,322,32,68,2.02,86
2014-11,239,188,188,285,85,66,2.81,30
2014-12,179,188,137,259,136,84,3.07,35
2015-01,244,446,192,344,106,84,3.95,31
2015-02,198,328,149,244,62,57,3.68,51
2015-03,178,331,134,285,49,69,2.58,59
2015-04,139,328,72,226,25,53,2.49,96
2015-05,103,319,59,155,25,52,1.98,82
2015-06,102,315,58,150,18,49,1.51,89
2015-07,134,350,74,214,13,60,1.33,114
2015-08,169,357,73,285,18,57,1.29,94
2015-09,104,339,77,123,19,56,1.65,90
2015-10,236,357,151,330,35,77,1.99,58
2015-11,276,339,200,393,43,92,4.46,31
2015-12,324,339,260,428,88,85,4.24,34
2016-01,336,365,270,436,60,95,5.37,56
2016-02,252,353,198,335,72,74,2.7,52
2016-03,198,362,145,336,46,86,2.53,85
2016-04,157,357,90,259,32,95,2.01,94
2016-05,200,356,85,299,32,78,1.51,115
2016-06,105,357,65,112,12,55,1.38,141
2016-07,98,360,48,95,8,48,1.09,115
2016-08,93,350,55,104,18,57,1.42,108
2016-09,120,356,90,163,24,81,1.57,88
2016-10,152,354,115,224,16,91,1.97,64
2016-11,330,366,253,432,48,99,3.03,39
2016-12,457,366,434,501,51,111,4.23,39
2017-01,483,366,490,591,51,124,4.9,53
2017-02,308,365,257,341,51,122,3.3,54
2017-03,147,354,111,191,55,92,1.94,82
2017-04,295,359,97,417,29,88,1.65,75
2017-05,324,344,179,589,16,76,1.3,112
2017-06,105,342,58,131,15,55,1.27,133
2017-07,122,352,53,115,13,66,1.6,141
2017-08,124,360,72,115,15,63,1.51,128
2017-09,125,363,93,194,22,78,1.75,100
2017-10,116,343,85,164,15,79,2.19,41
2017-11,292,365,241,323,29,99,2.78,31
2017-12,355,365,304,513,46,124,3.6,47
2018-01,343,367,292,387,50,112,3.23,55
2018-02,287,363,237,303,47,94,2.33,76
2018-03,233,361,182,305,25,100,2.1,98
2018-04,244,358,120,359,23,86,1.47,100
2018-05,162,357,74,237,17,72,1.28,112
2018-06,103,337,44,130,15,62,1.32,137
2018-07,96,349,56,94,8,51,1.26,121
2018-08,110,363,56,98,11,46,1.24,149
2018-09,71,308,39,90,15,59,1.23,92
2018-10,102,360,71,152,14,77,1.29,89
2018-11,408,361,196,526,26,97,2.08,69
2018-12,400,363,199,568,41,109,2.61,32
2019-01,343,366,292,335,29,96,2.59,37
2019-02,266,364,216,268,31,71,1.69,60
2019-03,137,346,67,188,14,78,1.23,69
2019-04,147,354,88,243,12,72,1.15,94
2019-05,368,360,168,576,8,70,0.84,104
2019-06,97,341,40,92,7,47,0.84,132
2019-07,78,352,32,86,6,52,0.81,120
2019-08,84,359,55,100,5,39,1.34,107
2019-09,81,320,51,111,8,69,0.92,94
2019-10,121,347,68,191,12,69,1.08,63
2019-11,237,366,187,228,17,89,1.46,43
2019-12,323,366,273,300,21,91,1.99,38
2020-01,275,358,225,229,22,81,2.12,62
2020-02,183,363,138,201,18,48,1.49,73
2020-03,181,358,89,297,13,65,0.99,71
2020-04,97,362,58,145,12,76,0.83,87
2020-05,103,360,57,150,12,64,0.8,97
2020-06,89,363,44,104,9,67,0.99,136
2020-07,81,361,48,99,6,40,0.83,138
2020-08,72,356,45,89,8,50,1.15,98
2020-09,80,359,55,108,14,62,0.98,93
2020-10,134,362,92,215,13,74,1.22,47
2020-11,193,365,145,253,15,93,1.49,59
2020-12,201,362,153,197,16,80,1.77,51
2021-01,275,359,225,286,19,85,2.12,43
2021-02,328,365,278,328,19,66,2.01,59
2021-03,410,362,183,658,12,79,1.21,60
2021-04,142,359,55,233,12,58,0.84,66
2021-05,239,359,89,358,10,66,0.8,110
2021-06,87,356,38,93,9,58,0.66,127
2021-07,78,365,28,71,5,41,0.74,125
2021-08,76,359,40,70,7,41,1.01,129
2021-09,59,329,35,62,7,41,1.04,112
2021-10,90,331,58,130,7,55,0.97,66
2021-11,207,365,157,232,15,80,1.6,50
2021-12,188,349,143,180,12,80,1.38,44
2022-01,252,334,202,211,13,56,1.96,63
2022-02,179,335,135,167,16,64,1.24,67
2022-03,462,333,131,570,13,77,1.14,72
