年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,102.0,192.0,75.0,108.0,17.0,29.0,1.09,41.0
2015-02,108.0,218.0,80.5,107.5,15.0,19.5,1.19,48.5
2015-03,54.0,80.0,36.0,56.0,16.0,17.0,1.24,40.0
2015-04,66.0,141.5,40.5,69.5,17.5,14.5,1.3250000000000002,77.5
2015-05,49.0,93.0,28.0,50.0,21.0,16.0,0.87,61.0
2015-06,39.5,87.5,20.5,36.0,23.5,16.5,0.815,50.5
2015-07,47.0,97.0,24.0,39.0,18.0,13.0,0.74,60.0
2015-08,57.0,175.0,38.0,58.0,19.0,19.0,0.82,56.0
2015-09,46.5,132.5,27.5,44.0,17.0,18.5,0.98,47.0
2015-10,58.0,139.0,37.0,58.0,22.0,18.0,0.99,77.0
2015-11,50.0,92.5,30.5,51.0,28.5,21.0,1.0150000000000001,33.0
2015-12,44.0,71.0,27.0,43.0,23.0,18.0,0.89,42.0
2016-01,53.0,91.0,36.0,48.0,23.0,18.0,1.19,33.0
2016-02,68.0,189.0,49.0,62.0,20.0,16.0,1.03,47.0
2016-03,68.0,121.0,47.0,70.0,21.0,22.0,0.93,40.0
2016-04,54.5,113.5,35.0,54.0,19.0,17.0,1.08,58.0
2016-05,50.0,105.0,28.0,50.0,13.0,17.0,1.06,57.0
2016-06,36.5,65.5,18.5,33.0,18.5,14.0,0.895,49.0
2016-07,40.0,103.0,22.0,37.0,16.0,16.0,1.03,44.0
2016-08,40.0,101.0,23.0,36.0,10.0,14.0,1.04,64.0
2016-09,56.0,177.5,35.0,50.0,14.0,19.0,1.05,72.5
2016-10,55.0,166.0,34.0,50.0,15.0,17.0,0.79,71.0
2016-11,50.5,95.5,32.5,53.0,19.0,18.0,0.79,41.0
2016-12,83.0,151.0,61.0,85.0,25.0,31.0,1.02,66.0
2017-01,97.0,201.0,71.0,91.0,13.0,23.0,1.15,49.0
2017-02,76.5,184.5,55.0,76.5,11.5,24.0,0.905,57.5
2017-03,44.0,62.0,28.0,42.0,10.0,25.0,1.05,34.0
2017-04,62.0,147.0,41.0,64.0,11.0,23.5,0.965,58.5
2017-05,54.0,90.0,29.0,45.0,11.0,23.0,0.91,73.0
2017-06,41.0,96.0,21.5,38.5,9.0,21.0,0.785,40.5
2017-07,39.0,88.0,20.0,37.0,9.0,21.0,0.72,45.0
2017-08,48.0,174.0,22.0,45.0,7.0,23.0,0.71,50.0
2017-09,53.5,192.5,32.0,55.5,9.0,29.0,0.795,64.0
2017-10,55.0,225.0,35.0,54.5,11.0,22.0,0.745,76.5
2017-11,62.5,127.0,40.5,68.5,11.0,23.0,0.795,41.5
2017-12,88.0,171.0,63.0,96.0,16.0,28.0,0.88,58.0
2018-01,93.0,211.0,69.0,85.0,17.0,31.0,0.92,55.0
2018-02,75.5,214.5,54.5,73.5,12.0,18.0,0.79,63.0
2018-03,74.0,204.0,52.0,81.0,13.0,26.0,0.9,58.0
2018-04,66.5,158.5,42.0,73.0,11.0,22.5,0.85,53.0
2018-05,48.0,82.0,27.0,46.0,10.0,18.0,0.65,49.0
2018-06,43.5,94.0,21.5,38.5,8.0,14.0,0.68,58.0
