年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,31,24,17,29,4,9,0.85,5
2015-02,37,33,22,35,3,5,0.88,8
2015-03,25,24,16,22,3,6,0.6,2
2015-04,33,35,21,26,6,4,0.53,20
2015-05,29,13,14,22,8,2,0.58,18
2015-06,28,33,15,27,5,2,0.55,14
2015-07,29,27,15,25,10,4,0.58,19
2015-08,22,7,10,17,11,5,0.43,28
2015-09,22,8,9,7,8,4,0.56,16
2015-10,23,9,15,10,19,8,0.44,24
2015-11,13,1,6,11,11,9,0.41,21
2015-12,16,1,7,11,10,13,0.6,15
2016-01,20,2,11,17,11,16,0.56,12
2016-02,19,4,11,13,9,8,0.58,24
2016-03,17,3,10,14,13,7,0.64,11
2016-04,26,3,13,24,14,8,0.61,20
2016-05,27,6,14,22,14,5,0.57,28
2016-06,25,19,8,21,14,5,0.39,32
2016-07,25,26,11,23,15,3,0.5,25
2016-08,25,10,10,23,10,5,0.65,19
2016-09,27,37,15,15,4,4,0.52,40
2016-10,29,32,13,25,6,4,0.7,14
2016-11,17,7,9,14,7,5,0.61,15
2016-12,30,22,18,28,7,8,0.7,16
2017-01,19,4,9,14,7,8,0.73,21
2017-02,21,1,12,18,6,7,0.39,29
2017-03,24,1,12,18,4,10,0.64,15
2017-04,31,13,16,30,5,11,0.6,20
2017-05,37,18,15,29,2,10,0.6,39
2017-06,23,7,13,20,5,8,0.58,27
2017-07,24,23,11,22,6,9,0.6,29
2017-08,26,21,12,22,6,6,0.51,23
2017-09,37,81,18,35,4,8,0.69,15
2017-10,22,13,10,19,3,9,0.82,33
2017-11,26,22,17,23,6,13,0.91,12
2017-12,21,9,14,16,2,16,0.69,8
2018-01,20,7,12,16,4,9,0.48,8
2018-02,21,15,14,15,5,6,0.67,21
2018-03,24,6,15,20,5,10,0.62,27
2018-04,32,25,15,26,7,10,0.52,24
2018-05,39,35,19,32,7,6,0.55,35
2018-06,23,13,10,16,6,6,0.65,41
2018-07,28,57,13,23,7,8,0.54,31
2018-08,32,35,10,19,5,7,0.67,37
2018-09,24,32,5,13,5,4,0.54,34
2018-10,16,1,6,10,9,11,0.5,24
2018-11,13,4,8,8,10,10,0.57,15
2018-12,12,6,7,7,8,9,0.45,7
2019-01,13,2,7,11,8,7,0.5,6
2019-02,13,1,6,9,5,4,0.4,12
2019-03,19,6,9,12,5,10,0.45,3
2019-04,18,1,6,11,6,13,0.19,18
2019-05,17,2,8,11,6,12,0.34,24
2019-06,24,9,12,19,5,10,0.34,19
2019-07,24,19,10,20,5,9,0.45,27
2019-08,24,28,13,18,6,8,0.64,40
2019-09,30,129,19,26,6,8,0.51,44
2019-10,18,14,8,18,6,9,0.47,25
2019-11,17,10,10,16,7,11,0.44,12
2019-12,18,10,10,15,6,17,0.38,9
2020-01,15,15,7,8,5,5,0.49,14
2020-02,13,11,7,7,4,5,0.33,25
2020-03,14,3,6,6,5,8,0.33,23
2020-04,11,7,6,7,5,10,0.36,24
2020-05,23,17,8,14,5,9,0.38,36
2020-06,20,28,8,14,5,9,0.35,32
2020-07,22,45,11,19,6,11,0.4,39
2020-08,18,36,6,15,5,8,0.37,29
2020-09,18,32,8,13,6,10,0.4,27
2020-10,18,19,9,16,5,9,0.53,34
2020-11,23,37,10,23,6,12,0.51,11
2020-12,14,7,8,12,6,14,0.57,17
2021-01,29,14,15,28,6,16,0.49,25
2021-02,12,4,5,8,5,6,0.57,15
2021-03,20,10,10,18,5,10,0.63,7
2021-04,16,5,7,15,5,11,0.48,24
2021-05,12,4,5,9,6,10,0.42,25
2021-06,20,24,8,17,6,11,0.4,31
2021-07,24,71,9,22,7,10,0.43,30
2021-08,22,66,9,20,7,10,0.45,31
2021-09,22,57,6,18,6,8,0.46,32
2021-10,13,11,4,9,5,8,0.52,36
2021-11,15,11,5,7,5,9,0.41,11
2021-12,20,15,11,19,6,15,0.48,14
2022-01,13,3,8,10,5,8,0.81,7
2022-02,10,4,6,7,6,6,0.58,21
2022-03,15,19,8,12,7,14,0.54,19
