年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,22,3,15,19,19,17,1.25,8
2015-02,19,7,12,14,9,10,1.35,23
2015-03,21,8,13,15,10,8,1.03,19
2015-04,25,4,17,22,14,10,0.96,37
2015-05,31,19,20,25,8,6,0.85,22
2015-06,32,24,20,28,11,9,0.88,29
2015-07,29,33,17,23,10,7,0.93,32
2015-08,34,72,20,32,10,7,1.06,37
2015-09,40,73,27,33,13,11,1.09,21
2015-10,28,15,15,24,12,11,0.91,24
2015-11,22,11,14,20,8,12,0.76,13
2015-12,27,8,18,22,7,12,0.81,9
2016-01,29,16,19,22,7,10,0.69,12
2016-02,34,33,23,27,9,9,1.0,34
2016-03,33,29,21,26,10,12,0.79,18
2016-04,33,18,22,25,13,10,1.06,33
2016-05,30,21,16,28,11,9,0.96,30
2016-06,30,21,16,24,17,9,1.01,28
2016-07,28,49,16,26,13,9,1.05,31
2016-08,26,18,13,22,9,10,1.0,32
2016-09,19,8,11,16,11,8,1.08,29
2016-10,30,46,19,29,10,9,0.94,23
2016-11,23,19,15,20,7,14,0.81,10
2016-12,38,38,26,35,16,18,1.22,11
2017-01,35,20,24,30,10,11,1.26,9
2017-02,26,8,17,20,9,11,1.31,23
2017-03,29,18,17,22,12,13,1.05,11
2017-04,29,4,19,27,13,12,0.84,33
2017-05,36,45,20,28,13,11,0.82,30
2017-06,29,18,16,22,10,10,0.7,29
2017-07,23,24,11,22,10,9,0.65,17
2017-08,26,34,15,23,3,9,0.68,32
2017-09,37,83,20,31,7,9,0.76,32
2017-10,26,51,12,15,6,9,0.96,39
2017-11,32,25,22,28,7,18,1.13,16
2017-12,26,22,18,20,5,20,1.35,17
2018-01,25,18,17,20,4,14,1.01,7
2018-02,31,15,21,23,3,11,0.9,26
2018-03,24,7,16,18,4,13,1.03,14
2018-04,38,28,26,34,6,11,1.26,34
2018-05,36,31,20,32,6,7,1.34,41
2018-06,24,6,16,18,5,6,1.21,25
2018-07,30,62,18,27,7,9,1.31,40
2018-08,23,17,10,22,7,8,1.06,34
2018-09,25,46,11,23,6,4,0.89,24
2018-10,23,8,12,21,4,12,0.91,24
2018-11,17,5,9,16,3,10,1.04,12
2018-12,12,7,6,11,4,16,0.78,11
2019-01,17,5,8,13,3,15,1.08,5
2019-02,16,7,6,11,3,7,1.18,16
2019-03,23,5,8,16,4,7,0.97,22
2019-04,20,2,8,16,4,9,1.3,13
2019-05,28,16,6,14,2,7,1.14,45
2019-06,21,7,8,19,3,8,0.93,30
2019-07,24,35,10,21,5,7,0.78,43
2019-08,21,9,10,18,4,7,0.94,44
2019-09,34,115,18,32,7,8,0.94,64
2019-10,30,74,19,28,4,12,0.85,47
2019-11,20,19,10,19,5,15,0.78,9
2019-12,16,8,8,15,3,16,0.84,5
2020-01,15,8,6,10,3,4,0.94,13
2020-02,14,11,6,10,2,3,0.72,27
2020-03,13,8,5,11,2,8,0.85,17
2020-04,14,11,8,13,4,10,0.8,27
2020-05,27,47,13,22,5,8,0.69,56
2020-06,18,25,6,16,7,7,0.68,39
2020-07,21,39,9,19,7,7,0.68,46
2020-08,17,40,7,15,4,7,0.66,37
2020-09,17,15,7,12,5,6,0.75,27
2020-10,22,88,12,20,8,9,0.77,43
2020-11,19,19,9,19,6,14,0.78,10
2020-12,30,47,16,29,8,12,0.58,16
2021-01,31,27,14,31,4,14,0.55,29
2021-02,11,5,4,9,2,5,0.8,23
2021-03,17,10,7,15,2,9,0.71,14
2021-04,16,7,7,16,3,9,0.85,24
2021-05,14,6,4,12,6,8,0.78,28
2021-06,18,15,6,18,6,8,0.88,26
2021-07,21,46,6,21,6,7,0.76,44
2021-08,20,37,6,18,6,7,0.76,42
2021-09,24,69,9,23,7,8,0.86,39
2021-10,16,24,4,14,4,10,0.64,37
2021-11,21,23,8,21,5,8,0.71,18
2021-12,26,33,14,26,6,15,0.64,10
2022-01,13,2,4,12,5,7,0.66,10
2022-02,10,3,4,7,4,7,0.57,21
2022-03,16,5,7,13,5,10,0.63,15
