年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,100,50,11,141,68,17,0.48,27
2014-01,53,8,12,57,26,11,0.28,4
2014-02,41,13,10,43,23,7,0.23,11
2014-03,52,24,18,57,19,18,0.13,22
2014-04,49,21,11,53,14,14,0.43,31
2014-05,39,6,11,33,9,7,0.45,33
2014-06,24,1,5,15,7,10,0.41,26
2014-07,38,22,7,34,7,11,0.4,56
2014-08,38,10,8,24,12,12,0.58,40
2014-09,39,19,9,40,13,14,0.46,22
2014-10,39,23,8,38,13,12,0.32,12
2014-11,29,2,9,31,20,9,0.33,13
2014-12,36,3,12,32,22,9,0.48,12
2015-01,35,28,14,34,43,18,0.66,11
2015-02,36,11,9,35,21,10,0.78,12
2015-03,31,15,10,30,18,12,0.62,17
2015-04,28,11,11,27,15,13,0.37,25
2015-05,28,7,8,24,7,6,0.4,33
2015-06,34,37,8,22,8,12,0.4,51
2015-07,29,15,8,22,7,13,0.48,41
2015-08,32,24,10,30,8,10,0.35,21
2015-09,21,4,7,17,7,10,0.34,22
2015-10,25,12,6,19,7,8,0.35,19
2015-11,42,54,10,42,18,8,0.29,17
2015-12,35,35,8,31,22,7,0.33,11
2016-01,29,5,8,27,28,8,0.49,16
2016-02,30,8,11,25,15,5,0.39,36
2016-03,30,8,11,27,13,7,0.41,32
2016-04,40,25,10,33,6,7,0.6,53
2016-05,41,51,11,34,6,9,0.64,61
2016-06,37,83,10,20,7,7,0.52,58
2016-07,26,30,9,18,7,9,0.44,43
2016-08,33,32,6,20,7,8,0.59,43
2016-09,22,22,5,11,8,7,0.58,19
2016-10,33,33,10,25,9,7,0.48,20
2016-11,44,76,17,33,15,9,0.66,22
2016-12,31,5,13,24,12,7,0.95,14
2017-01,34,9,12,29,13,4,1.31,17
2017-02,36,10,9,23,13,5,0.98,23
2017-03,37,15,9,27,11,8,0.8,42
2017-04,38,33,7,27,7,8,0.97,46
2017-05,28,5,11,15,7,7,0.76,49
2017-06,31,23,9,25,8,11,0.86,48
2017-07,40,88,9,29,7,8,0.7,48
2017-08,25,16,8,21,8,8,0.53,34
2017-09,32,44,9,29,7,10,0.49,27
2017-10,22,27,7,17,7,11,0.42,20
2017-11,30,12,9,26,7,10,0.52,21
2017-12,24,2,7,20,10,10,0.64,5
2018-01,31,4,9,25,10,8,0.62,15
2018-02,29,1,9,18,10,9,0.7,25
2018-03,38,24,12,33,8,13,0.65,34
2018-04,34,1,8,25,6,8,0.38,45
2018-05,40,27,9,36,6,15,0.33,51
2018-06,35,75,7,25,7,16,0.39,53
2018-07,20,2,8,18,7,14,0.52,27
2018-08,32,28,9,25,5,16,0.38,31
2018-09,18,1,4,15,6,13,0.24,22
2018-10,19,4,5,14,5,7,0.33,17
2018-11,20,2,8,17,6,18,0.41,7
2018-12,27,27,6,24,8,11,0.35,11
2019-01,32,19,7,29,8,11,0.3,8
2019-02,31,50,8,20,11,7,0.26,31
2019-03,31,9,6,18,7,8,0.29,41
2019-04,33,14,8,22,8,16,0.33,47
2019-05,34,51,5,20,6,7,0.22,56
2019-06,21,21,6,20,6,10,0.25,44
2019-07,27,40,5,9,6,14,0.24,49
2019-08,26,51,6,24,7,14,0.34,19
2019-09,23,48,7,20,9,13,0.3,23
2019-10,17,7,5,13,6,13,0.35,23
2019-11,28,45,7,23,7,7,0.36,15
2019-12,22,8,7,18,9,9,0.46,16
2020-01,25,14,9,24,12,12,0.54,16
2020-02,22,6,4,11,8,3,0.53,34
2020-03,23,17,3,14,4,4,0.31,43
2020-04,27,29,7,23,6,4,0.24,43
2020-05,24,36,7,13,6,9,0.25,53
2020-06,24,56,7,17,6,8,0.2,62
2020-07,26,72,9,18,6,15,0.26,56
2020-08,17,32,6,13,7,13,0.25,31
2020-09,9,3,3,5,5,8,0.25,23
2020-10,20,36,5,16,5,6,0.3,18
2020-11,23,37,6,20,7,9,0.45,24
2020-12,21,14,6,20,7,9,0.47,22
2021-01,25,12,8,22,8,8,0.44,18
2021-02,22,4,8,14,7,5,0.35,44
2021-03,25,20,6,19,6,9,0.33,35
2021-04,27,45,9,23,6,6,0.23,51
2021-05,21,10,6,15,6,7,0.23,54
2021-06,21,33,5,14,7,8,0.11,53
2021-07,20,37,6,11,7,10,0.17,41
2021-08,13,13,4,9,8,9,0.17,35
2021-09,20,22,5,6,7,9,0.27,18
2021-10,21,43,4,18,6,9,0.31,26
2021-11,18,17,4,8,6,5,0.32,15
2021-12,19,8,6,15,8,9,0.18,18
2022-01,25,19,9,22,9,10,0.44,18
2022-02,23,8,7,15,8,8,0.5,38
2022-03,24,4,8,17,7,9,0.47,45
