年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,37,24,14,30,16,18,0.59,27
2015-02,35,4,16,24,4,3,0.68,24
2015-03,41,34,18,33,11,10,0.26,38
2015-04,40,60,20,35,4,7,0.34,41
2015-05,28,10,12,17,2,6,0.34,37
2015-06,26,6,15,22,3,10,0.55,11
2015-07,22,2,12,18,2,4,0.6,8
2015-08,22,5,13,18,4,3,0.55,5
2015-09,33,47,17,30,7,11,0.63,19
2015-10,24,3,10,19,3,9,0.73,13
2015-11,50,133,35,47,10,11,0.8,14
2015-12,41,81,23,38,17,16,0.81,15
2016-01,52,111,33,49,26,20,0.76,18
2016-02,34,9,15,24,17,9,1.2,27
2016-03,32,33,14,21,8,7,0.68,38
2016-04,41,27,14,31,12,14,0.62,48
2016-05,39,24,8,15,5,8,0.56,69
2016-06,33,69,10,15,5,15,0.69,59
2016-07,30,42,12,16,4,11,0.62,45
2016-08,11,2,3,5,4,7,0.52,13
2016-09,12,2,4,6,5,10,0.65,18
2016-10,26,20,8,13,5,10,0.56,14
2016-11,34,24,14,19,13,10,0.38,11
2016-12,38,14,14,19,10,8,0.5,19
2017-01,35,37,19,31,22,11,0.7,21
2017-02,44,58,18,33,17,5,0.7,28
2017-03,36,8,14,25,13,6,0.83,46
2017-04,34,13,12,24,6,12,0.69,55
2017-05,37,15,7,14,5,9,0.41,54
2017-06,25,12,8,17,5,15,0.57,27
2017-07,29,27,6,10,2,11,0.74,42
2017-08,21,9,4,10,2,10,0.72,23
2017-09,27,13,11,18,4,10,0.57,36
2017-10,31,58,16,21,4,18,0.74,39
2017-11,27,5,9,20,6,12,0.58,25
2017-12,32,3,19,24,9,14,0.61,14
2018-01,42,46,19,34,9,19,0.99,13
2018-02,35,2,16,27,8,9,0.46,27
2018-03,38,60,15,21,10,12,0.7,49
2018-04,39,4,15,25,4,11,0.6,64
2018-05,39,24,10,19,5,12,0.53,62
2018-06,36,59,6,11,5,10,0.69,51
2018-07,23,13,8,14,4,12,0.78,41
2018-08,25,19,3,6,7,9,0.77,43
2018-09,19,7,4,9,4,6,0.66,29
2018-10,23,5,5,10,5,9,0.42,23
2018-11,27,12,15,23,5,10,0.27,13
2018-12,28,25,12,23,7,6,0.41,16
2019-01,33,20,18,31,12,8,0.67,19
2019-02,35,68,21,31,9,6,0.6,35
2019-03,34,13,14,23,10,8,0.47,28
2019-04,40,36,15,27,8,6,0.51,32
2019-05,31,33,9,13,3,3,0.31,67
2019-06,19,17,10,14,5,6,0.53,27
2019-07,29,38,11,16,6,10,0.65,55
2019-08,18,15,8,12,6,7,0.58,31
2019-09,23,32,11,19,9,12,0.55,25
2019-10,21,7,9,17,6,11,0.39,25
2019-11,20,5,7,17,9,7,0.48,18
2019-12,20,5,11,17,13,11,0.55,22
2020-01,51,88,35,51,15,22,0.88,27
2020-02,26,21,18,23,7,8,0.58,46
2020-03,27,21,12,26,8,7,0.46,53
2020-04,19,15,9,16,7,6,0.58,54
2020-05,19,7,6,11,7,6,0.38,47
2020-06,20,37,8,13,6,10,0.51,32
2020-07,19,15,8,15,5,10,0.56,46
2020-08,20,31,6,10,5,5,0.59,32
2020-09,12,8,4,7,5,3,0.55,27
2020-10,18,50,9,15,6,6,0.42,26
2020-11,25,34,9,25,9,4,0.39,14
2020-12,30,31,16,30,13,6,0.44,16
2021-01,32,35,15,31,11,6,0.5,17
2021-02,31,57,16,28,9,5,0.52,29
2021-03,28,12,18,25,8,7,0.45,46
2021-04,24,11,11,18,5,6,0.45,42
2021-05,25,25,12,21,6,6,0.38,47
2021-06,23,13,9,14,5,8,0.45,44
2021-07,17,30,6,14,6,10,0.48,36
2021-08,17,27,5,9,4,6,0.61,40
2021-09,14,16,6,9,6,5,0.5,21
2021-10,24,54,10,22,5,6,0.32,24
2021-11,19,12,10,14,5,5,0.36,24
2021-12,20,6,9,17,9,6,0.36,21
2022-01,39,58,26,37,8,12,0.43,26
2022-02,35,34,22,35,5,8,0.5,43
2022-03,29,30,11,23,5,5,0.28,44
