年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,190.0,326.0,148.0,198.0,15.0,42.0,1.73,22.0
2015-02,116.0,253.5,86.5,119.5,9.0,37.5,1.45,20.5
2015-03,81.0,214.0,58.0,88.0,6.0,36.0,1.07,25.0
2015-04,70.5,170.0,50.0,75.5,6.0,35.0,0.775,27.0
2015-05,71.0,190.0,45.0,77.0,6.0,31.0,0.94,32.0
2015-06,59.5,175.5,41.5,56.5,8.0,32.0,0.75,37.5
2015-07,65.0,234.0,39.0,60.0,10.0,37.0,0.68,67.0
2015-08,61.0,223.0,40.0,63.0,13.0,33.0,0.77,56.0
2015-09,65.5,248.0,46.0,68.5,7.5,34.0,0.77,46.0
2015-10,76.0,194.0,55.0,84.0,9.0,40.0,0.82,36.0
2015-11,60.0,157.0,39.5,63.0,10.0,41.5,1.07,22.0
2015-12,92.0,219.0,68.0,100.0,9.0,42.0,1.32,21.0
2016-01,115.0,252.0,86.0,118.0,8.0,33.0,1.34,19.0
2016-02,105.0,279.0,78.0,118.0,12.0,44.0,1.13,26.0
2016-03,86.0,210.0,60.0,100.0,17.0,54.0,0.87,45.0
2016-04,62.5,152.0,38.0,69.5,14.0,35.0,0.975,40.0
2016-05,61.0,168.0,40.0,68.0,11.0,36.0,0.65,59.0
2016-06,57.0,168.0,29.5,59.0,9.5,36.5,0.78,57.5
2016-07,47.0,162.0,27.0,47.0,8.0,30.0,0.59,55.0
2016-08,53.0,162.0,32.0,52.0,9.0,33.0,0.72,60.0
2016-09,76.0,272.5,54.5,86.0,9.5,42.0,1.045,56.5
2016-10,36.0,81.0,23.0,34.0,9.0,34.0,0.82,31.0
2016-11,73.5,170.0,52.5,87.0,12.0,40.0,1.3050000000000002,31.0
2016-12,130.0,276.0,98.0,143.0,11.0,47.0,1.46,34.0
2017-01,114.0,255.0,86.0,125.0,13.0,41.0,1.27,42.0
2017-02,91.0,229.0,67.0,94.5,12.0,37.0,1.22,38.0
2017-03,66.0,213.0,44.0,74.0,7.0,40.0,0.93,47.0
2017-04,63.5,148.0,38.5,68.0,8.0,35.0,0.825,59.5
2017-05,65.0,168.0,38.0,70.0,10.0,35.0,0.81,63.0
2017-06,59.5,177.5,37.5,58.0,9.0,35.5,0.895,60.0
2017-07,49.0,121.0,21.0,42.0,10.0,32.0,0.49,65.0
2017-08,46.0,145.0,25.0,40.0,11.0,29.0,0.56,70.0
2017-09,39.5,76.5,18.5,36.0,9.5,32.0,0.705,45.0
2017-10,44.5,130.0,26.0,43.5,12.0,36.0,0.855,40.5
2017-11,74.5,206.5,50.5,84.5,12.5,46.0,0.935,33.5
2017-12,108.0,288.0,81.0,127.0,14.0,52.0,1.3,46.0
2018-01,114.0,260.0,86.0,129.0,14.0,46.0,1.46,45.0
2018-02,106.0,266.5,78.5,112.5,11.0,37.5,1.335,45.0
2018-03,69.0,168.0,47.0,77.0,12.0,41.0,1.12,53.0
2018-04,64.5,103.0,37.5,73.5,10.0,41.0,0.705,70.5
2018-05,55.0,143.0,34.0,58.0,9.0,35.0,0.72,72.0
2018-06,51.0,156.0,24.5,41.0,9.0,30.5,0.725,81.0
2018-07,51.0,207.0,20.0,43.0,10.0,33.0,0.56,79.0
2018-08,64.0,267.0,27.0,48.0,9.0,33.0,0.63,99.0
2018-09,46.0,166.0,19.0,39.0,7.0,31.0,0.62,68.0
2018-10,65.0,245.0,44.0,70.0,6.0,36.0,0.73,52.0
2018-11,64.5,156.5,44.5,68.0,6.0,29.5,0.87,42.0
2018-12,79.0,258.0,57.0,91.0,9.0,35.0,0.96,36.0
2019-01,117.0,274.0,87.0,122.0,8.0,47.0,1.21,36.0
2019-02,75.0,218.0,53.5,76.5,7.0,34.0,0.785,47.0
2019-03,76.0,238.0,50.0,80.0,7.0,46.0,0.77,45.0
2019-04,58.5,171.0,33.0,60.0,8.0,43.0,0.785,45.5
2019-05,63.0,182.0,39.0,71.0,9.0,40.0,0.77,43.0
2019-06,53.0,210.0,29.0,53.0,10.0,43.0,0.93,45.0
2019-07,38.0,151.5,20.5,36.5,9.5,37.5,0.72,51.5
2019-08,60.0,298.0,31.0,58.0,10.0,38.0,0.82,83.0
2019-09,50.0,234.0,31.0,52.5,8.0,43.5,0.79,54.0
2019-10,33.0,66.0,18.0,32.0,8.0,37.0,0.6,40.0
2019-11,63.5,198.5,43.0,69.5,11.0,39.0,0.75,25.0
2019-12,101.0,277.0,75.0,116.0,9.0,50.0,1.19,34.0
2020-01,77.0,210.0,57.0,78.0,10.0,35.0,1.03,31.0
2020-02,97.0,308.0,72.0,83.0,8.0,22.0,0.9,35.0
2020-03,68.0,253.0,45.0,74.0,9.0,44.0,0.62,43.0
2020-04,61.0,208.5,39.0,67.0,10.5,45.5,0.775,50.0
2020-05,55.0,244.0,32.0,60.0,8.0,33.0,0.7,62.0
2020-06,33.5,161.5,18.5,32.5,7.0,24.0,0.7,52.5
2020-07,30.0,125.0,15.0,29.0,6.0,23.0,0.53,44.0
2020-08,42.0,264.0,21.0,41.0,6.0,22.0,0.54,59.0
2020-09,44.0,232.0,22.5,45.5,7.0,29.5,0.585,59.0
2020-10,42.0,151.0,26.0,42.0,8.0,33.0,0.58,34.0
2020-11,52.0,200.0,33.0,58.5,10.0,35.5,0.7,37.0
2020-12,73.0,251.0,53.0,75.0,11.0,37.0,0.72,31.0
2021-01,111.0,317.0,83.0,129.0,12.0,45.0,1.19,32.0
2021-02,73.0,253.5,52.5,73.5,12.0,35.0,0.855,45.0
2021-03,59.0,149.0,34.0,67.0,12.0,38.0,0.78,40.0
2021-04,42.5,124.0,22.5,43.5,10.0,35.0,0.635,37.5
2021-05,61.0,256.0,36.0,66.0,11.0,34.0,0.72,41.0
2021-06,39.5,204.5,17.5,40.0,7.0,22.0,0.61,47.5
2021-07,30.0,172.0,12.0,29.0,6.0,16.0,0.5,44.0
2021-08,29.0,126.0,11.0,28.0,6.0,18.0,0.55,37.0
2021-09,39.5,225.0,21.0,37.5,5.0,28.5,0.605,30.0
2021-10,35.0,122.0,20.0,35.0,6.0,26.0,0.61,22.0
2021-11,73.5,282.0,52.0,80.5,6.0,34.0,1.02,11.0
2021-12,83.0,268.0,61.0,82.0,6.0,34.0,1.02,12.0
2022-01,84.0,177.0,62.0,77.0,7.0,36.0,1.04,12.0
