年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,284,597,233,343,146,57,5.78,69
2015-02,151,309,114,162,148,50,2.23,73
2015-03,128,317,96,146,97,43,2.88,71
2015-04,92,220,55,131,72,55,2.07,97
2015-05,140,352,106,158,85,58,2.42,152
2015-06,162,362,123,158,84,41,2.58,160
2015-07,165,365,124,160,41,27,2.41,163
2015-08,147,353,78,242,101,33,3.17,137
2015-09,92,306,68,102,119,46,2.31,125
2015-10,114,314,85,145,142,68,2.65,107
2015-11,294,350,243,356,210,100,6.02,75
2015-12,453,361,416,541,270,97,5.34,56
2016-01,426,365,353,524,317,122,7.04,52
2016-02,224,351,182,271,229,78,4.91,71
2016-03,261,361,136,384,152,76,3.42,101
2016-04,202,364,155,173,89,59,2.94,96
2016-05,84,287,57,117,55,45,2.43,106
2016-06,86,326,63,89,133,34,2.06,117
2016-07,66,268,40,65,59,30,1.88,119
2016-08,93,351,58,74,61,37,1.82,146
2016-09,103,337,77,91,114,48,2.34,128
2016-10,115,322,83,131,89,47,1.91,97
2016-11,276,365,225,350,171,87,4.29,96
2016-12,429,363,385,511,195,114,5.94,69
2017-01,500,366,597,766,251,123,8.11,62
2017-02,271,358,221,297,186,76,4.31,103
2017-03,195,362,149,234,203,98,4.18,116
2017-04,256,355,93,357,73,64,2.24,124
2017-05,394,351,188,575,36,48,1.63,183
2017-06,168,364,76,114,75,31,2.14,220
2017-07,165,366,78,120,61,46,2.76,226
2017-08,130,364,76,119,50,29,2.11,192
2017-09,117,355,78,134,71,49,2.86,163
2017-10,147,360,111,196,54,58,4.02,88
2017-11,179,365,137,220,112,64,5.24,87
2017-12,320,366,269,382,197,90,5.98,56
2018-01,348,367,298,425,168,89,5.49,71
2018-02,304,358,192,402,130,54,3.57,92
2018-03,168,349,127,196,68,61,1.82,137
2018-04,177,353,81,286,50,49,1.89,158
2018-05,192,354,84,303,33,48,1.21,173
2018-06,139,365,57,132,33,48,2.43,199
2018-07,133,366,82,110,22,22,2.03,185
2018-08,130,366,72,100,23,18,1.69,192
2018-09,80,348,32,105,30,44,1.9,144
2018-10,103,340,76,129,35,53,2.0,108
2018-11,268,361,186,396,60,74,3.7,135
2018-12,259,360,208,324,103,98,5.48,47
2019-01,348,366,297,399,71,80,4.8,63
2019-02,244,361,195,276,71,45,3.02,124
2019-03,163,354,124,176,32,54,2.88,114
2019-04,119,358,67,185,19,39,1.52,138
2019-05,228,350,97,329,15,42,1.1,168
2019-06,133,359,40,111,19,34,1.2,203
2019-07,93,354,48,86,12,30,1.13,166
2019-08,85,361,63,89,22,35,2.48,143
2019-09,79,331,53,85,18,39,1.64,178
2019-10,157,339,97,264,20,57,3.0,141
2019-11,202,362,155,214,40,64,3.37,72
2019-12,319,366,269,318,48,74,3.06,62
2020-01,313,364,264,294,58,73,3.46,81
2020-02,221,364,173,193,52,47,2.75,87
2020-03,121,354,90,164,31,48,1.77,130
2020-04,106,363,77,116,25,49,1.78,149
2020-05,98,354,52,139,26,55,1.08,134
2020-06,98,358,51,112,37,46,1.35,199
2020-07,80,359,49,69,15,27,1.37,175
2020-08,73,353,46,72,23,29,2.27,154
2020-09,84,360,62,91,22,36,2.08,158
2020-10,112,343,81,173,19,56,1.93,91
2020-11,159,360,120,165,26,55,2.29,134
2020-12,207,360,161,234,31,74,3.36,60
2021-01,225,364,178,359,52,69,4.17,112
2021-02,205,362,161,202,37,50,2.83,97
2021-03,474,362,151,862,18,52,1.22,119
2021-04,358,361,109,460,14,38,1.26,124
2021-05,242,358,89,365,11,39,1.03,163
2021-06,96,363,51,95,10,28,1.16,203
2021-07,74,356,31,76,8,27,1.17,148
2021-08,92,360,42,89,8,28,1.35,157
2021-09,76,347,54,78,9,30,1.64,161
2021-10,141,352,107,175,13,47,1.61,109
2021-11,181,361,136,214,20,66,2.27,104
2021-12,227,363,177,223,25,66,2.55,68
2022-01,208,332,159,205,31,56,2.3,65
2022-02,141,328,107,154,20,40,2.19,84
2022-03,324,332,141,527,19,57,1.99,147
