年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,45,6,24,45,12,26,0.44,62
2013-11,61,15,33,63,15,29,0.43,14
2013-12,86,26,25,81,21,38,1.11,7
2014-01,43,6,16,43,14,23,0.7,7
2014-02,28,15,8,15,8,12,0.45,15
2014-03,72,74,41,84,20,27,0.59,17
2014-04,51,35,24,44,11,18,0.47,56
2014-05,51,37,26,43,12,17,0.58,48
2014-06,45,54,12,19,5,12,0.5,71
2014-07,32,10,9,22,3,14,0.47,39
2014-08,31,19,10,26,7,10,0.48,34
2014-09,35,17,7,18,9,12,0.4,39
2014-10,34,5,10,34,12,14,0.41,27
2014-11,36,5,12,35,12,13,0.39,16
2014-12,62,24,16,71,24,18,0.56,13
2015-01,32,31,13,31,19,17,0.34,19
2015-02,42,37,20,34,10,11,0.4,30
2015-03,48,60,11,49,10,19,0.39,46
2015-04,42,38,16,40,10,14,0.48,36
2015-05,45,53,20,36,12,12,0.54,62
2015-06,38,78,4,10,6,10,0.55,66
2015-07,30,12,11,24,6,7,0.38,32
2015-08,26,18,9,23,5,9,0.3,25
2015-09,44,62,6,17,10,10,0.32,58
2015-10,46,90,12,22,13,14,0.46,29
2015-11,29,31,12,21,13,14,0.6,20
2015-12,48,90,21,52,22,20,0.54,7
2016-01,40,34,17,38,23,12,0.53,14
2016-02,31,30,13,21,12,12,0.59,40
2016-03,48,76,19,51,18,16,0.47,35
2016-04,42,92,10,24,15,17,0.55,54
2016-05,46,65,17,41,12,13,0.34,43
2016-06,43,69,9,17,10,11,0.31,43
2016-07,33,51,12,26,6,10,0.37,23
2016-08,23,5,9,20,6,8,0.43,34
2016-09,31,46,10,19,11,14,0.39,53
2016-10,24,15,6,12,6,12,0.27,45
2016-11,36,37,13,26,9,18,0.57,41
2016-12,31,5,11,25,11,26,0.56,27
2017-01,28,3,13,17,12,13,0.47,33
2017-02,41,26,15,31,10,18,0.56,38
2017-03,41,43,16,34,11,24,0.57,58
2017-04,51,64,22,48,11,24,0.51,57
2017-05,37,43,16,21,8,15,0.44,74
2017-06,37,85,10,22,7,14,0.32,61
2017-07,22,4,11,18,5,13,0.48,36
2017-08,29,37,9,15,5,11,0.41,44
2017-09,29,33,7,14,9,14,0.49,46
2017-10,29,34,9,16,8,14,0.48,37
2017-11,32,6,13,29,10,22,0.59,29
2017-12,26,3,11,22,12,21,0.54,20
2018-01,36,19,16,31,13,18,0.73,26
2018-02,32,2,9,26,10,14,0.5,34
2018-03,37,27,13,19,9,21,0.52,47
2018-04,39,33,14,27,11,21,0.41,40
2018-05,38,40,19,24,6,15,0.44,73
2018-06,39,59,19,22,6,13,0.44,67
2018-07,24,8,8,15,6,9,0.38,36
2018-08,26,16,10,20,6,8,0.42,37
2018-09,32,66,12,15,8,15,0.41,58
2018-10,33,45,11,31,11,20,0.5,40
2018-11,27,41,13,19,9,18,0.5,22
2018-12,35,62,12,33,9,18,0.39,22
2019-01,33,58,14,31,11,18,0.52,20
2019-02,33,58,14,24,9,12,0.58,35
2019-03,39,29,14,25,8,19,0.57,54
2019-04,32,17,9,14,7,15,0.51,46
2019-05,34,32,11,20,7,13,0.5,47
2019-06,32,100,12,21,6,10,0.62,74
2019-07,16,12,5,13,4,8,0.41,42
2019-08,24,23,7,14,4,7,0.49,36
2019-09,28,18,7,21,6,10,0.45,70
2019-10,28,78,7,27,10,10,0.6,27
2019-11,30,21,11,30,6,18,0.53,21
2019-12,24,6,7,24,8,19,0.49,15
2020-01,24,24,14,16,6,9,0.61,9
2020-02,20,22,7,14,4,5,0.32,37
2020-03,31,59,8,21,4,11,0.34,49
2020-04,42,64,7,23,4,14,0.37,51
2020-05,31,63,14,23,4,8,0.38,62
2020-06,20,35,5,10,3,7,0.39,51
2020-07,19,39,3,10,4,6,0.39,27
2020-08,19,26,7,14,2,10,0.5,43
2020-09,29,91,9,24,4,16,0.45,63
2020-10,27,42,13,26,7,23,0.56,18
2020-11,27,32,10,26,8,22,0.58,17
2020-12,29,52,13,30,9,20,0.59,10
2021-01,41,43,13,43,9,20,0.54,18
2021-02,27,18,8,21,6,10,0.41,50
2021-03,25,53,13,18,7,16,0.57,51
2021-04,28,31,6,12,6,13,0.5,44
2021-05,20,27,8,16,5,11,0.51,52
2021-06,22,36,5,13,5,8,0.38,49
2021-07,13,8,2,8,2,4,0.27,39
2021-08,17,17,4,12,3,10,0.37,40
2021-09,20,40,5,12,4,10,0.4,58
2021-10,20,49,6,12,6,14,0.45,35
2021-11,27,31,8,24,6,17,0.52,32
2021-12,31,42,10,31,6,16,0.47,23
2022-01,23,5,8,17,4,16,0.3,26
2022-02,27,65,13,27,5,8,0.43,50
2022-03,29,61,9,23,3,11,0.43,51
