年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,28,2,10,20,3,10,0.6,31
2015-02,28,1,7,22,13,8,0.85,39
2015-03,35,13,14,29,12,7,0.61,50
2015-04,28,1,11,25,6,9,0.53,35
2015-05,35,18,9,28,15,9,0.42,41
2015-06,26,13,13,25,2,6,0.53,24
2015-07,26,8,13,8,2,9,0.41,13
2015-08,21,5,11,3,2,10,0.33,12
2015-09,22,2,13,2,4,5,0.26,10
2015-10,24,2,13,14,6,9,0.44,19
2015-11,22,6,13,11,4,9,0.48,4
2015-12,24,3,14,14,2,11,0.53,26
2016-01,25,1,14,9,8,10,0.38,38
2016-02,24,1,13,1,6,9,0.3,37
2016-03,28,1,13,18,8,12,0.57,45
2016-04,27,3,13,11,8,10,0.56,45
2016-05,23,2,13,22,5,13,0.47,32
2016-06,23,3,13,20,3,8,0.41,13
2016-07,24,7,12,22,2,7,0.15,9
2016-08,24,2,13,15,4,9,0.38,15
2016-09,23,3,12,21,3,10,0.32,10
2016-10,23,5,12,19,4,14,0.77,25
2016-11,26,9,13,20,7,13,0.95,15
2016-12,30,4,11,21,6,15,0.75,25
2017-01,28,1,12,12,4,12,0.49,47
2017-02,32,2,10,18,3,7,0.54,54
2017-03,31,1,11,20,5,10,0.96,59
2017-04,26,1,10,20,7,10,0.66,40
2017-05,28,4,4,15,6,10,0.66,53
2017-06,20,13,4,17,7,10,0.43,28
2017-07,21,6,4,16,6,9,0.43,30
2017-08,23,9,3,21,4,9,0.44,29
2017-09,24,13,2,15,4,4,0.35,27
2017-10,27,6,3,5,6,7,0.29,31
2017-11,34,8,4,28,6,8,0.37,43
2017-12,44,8,8,38,6,10,0.55,49
2018-01,34,5,4,19,5,3,0.33,57
2018-02,36,11,5,15,6,4,0.46,67
2018-03,38,16,6,22,8,5,0.53,72
2018-04,43,7,3,13,9,3,0.43,80
2018-05,21,1,3,9,10,5,0.14,40
2018-06,24,11,3,12,6,4,0.44,20
2018-07,20,6,3,11,5,4,0.41,25
2018-08,26,18,7,22,7,6,0.39,30
2018-09,16,1,5,4,6,3,0.38,25
2018-10,31,22,7,6,7,6,0.37,51
2018-11,32,24,8,22,4,5,0.5,44
2018-12,31,13,9,13,5,5,0.58,51
2019-01,33,16,13,6,5,4,0.38,49
2019-02,33,14,9,6,4,2,0.37,63
2019-03,40,26,11,9,4,4,0.32,71
2019-04,36,26,8,7,5,4,0.38,71
2019-05,36,29,5,10,5,4,0.33,71
2019-06,18,2,2,3,5,4,0.2,37
2019-07,17,2,5,1,4,4,0.26,34
2019-08,20,7,5,11,4,6,0.49,35
2019-09,13,2,3,7,6,4,0.32,24
2019-10,15,3,3,7,6,3,0.33,35
2019-11,19,9,8,11,5,4,0.45,42
2019-12,24,11,10,11,4,4,0.46,59
2020-01,24,11,11,9,3,3,0.4,60
2020-02,24,21,12,9,3,2,0.38,67
2020-03,26,18,10,7,4,3,0.52,77
2020-04,22,5,9,10,5,4,0.37,67
2020-05,20,5,8,6,5,6,0.42,59
2020-06,13,5,6,6,5,3,0.37,36
2020-07,12,1,6,3,6,3,0.5,25
2020-08,13,6,7,4,6,4,0.62,29
2020-09,12,4,5,6,6,4,0.43,33
2020-10,14,3,5,4,7,4,0.53,30
2020-11,14,4,6,6,6,6,0.47,37
2020-12,22,12,8,12,5,6,0.48,52
2021-01,24,10,12,12,3,4,0.44,60
2021-02,28,18,14,13,3,4,0.42,72
2021-03,29,18,16,15,7,6,0.51,78
2021-04,27,25,14,15,9,7,0.53,68
2021-05,20,22,7,5,6,4,0.32,61
2021-06,14,4,6,5,6,4,0.44,39
2021-07,15,10,7,8,6,5,0.47,34
2021-08,14,6,7,6,7,5,0.58,24
2021-09,13,5,7,8,7,5,0.54,31
2021-10,14,9,7,7,6,6,0.47,40
2021-11,23,15,12,11,7,6,0.53,49
2021-12,23,11,9,12,7,6,0.52,41
2022-01,25,11,7,8,7,6,0.4,61
2022-02,25,15,4,9,6,4,0.48,73
2022-03,28,7,10,17,7,5,0.45,85
