年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,108.0,226.0,76.0,121.0,93.0,50.0,1.95,27.0
2015-02,88.0,183.0,49.5,95.0,51.5,44.0,1.6150000000000002,41.0
2015-03,69.0,163.0,39.0,81.0,39.0,37.0,1.25,56.0
2015-04,73.5,187.5,40.0,77.0,25.0,30.0,1.2650000000000001,67.5
2015-05,61.0,173.0,26.0,60.0,13.0,20.0,0.83,80.0
2015-06,59.0,198.0,26.0,51.5,10.5,29.5,0.545,66.0
2015-07,55.0,157.0,27.0,56.0,11.0,25.0,0.59,52.0
2015-08,48.0,143.0,22.0,50.0,7.0,24.0,0.64,43.0
2015-09,63.0,219.0,35.0,73.0,17.5,29.5,0.9650000000000001,35.0
2015-10,74.0,208.0,51.0,89.0,16.0,36.0,0.95,40.0
2015-11,115.5,307.5,80.0,122.5,29.5,34.0,1.19,30.5
2015-12,111.0,264.0,83.0,128.0,97.0,56.0,1.7,17.0
2016-01,109.0,249.0,79.0,128.0,81.0,49.0,1.29,29.0
2016-02,85.0,235.0,54.0,105.0,57.0,36.0,2.08,40.0
2016-03,71.0,153.0,48.0,79.0,31.0,34.0,1.26,54.0
2016-04,61.0,157.5,26.0,62.5,6.5,24.0,0.94,74.0
2016-05,69.0,211.0,26.0,59.0,6.0,22.0,1.07,79.0
2016-06,55.0,177.0,24.0,48.5,4.0,25.5,0.785,65.0
2016-07,47.0,176.0,23.0,43.0,3.0,21.0,0.96,48.0
2016-08,49.0,159.0,23.0,47.0,3.0,24.0,0.88,40.0
2016-09,54.5,148.5,27.0,58.0,5.0,24.0,0.915,28.0
2016-10,57.0,209.0,33.0,60.0,11.0,26.0,1.01,29.0
2016-11,67.5,189.5,43.5,77.0,31.5,29.5,1.57,32.0
2016-12,93.0,174.0,69.0,106.0,73.0,46.0,2.29,19.0
2017-01,87.0,179.0,63.0,98.0,80.0,50.0,1.67,22.0
2017-02,68.0,150.0,47.0,69.0,63.5,52.0,1.44,33.0
2017-03,64.0,156.0,42.0,73.0,37.0,41.0,1.73,44.0
2017-04,58.5,121.5,27.5,62.0,10.0,29.5,1.52,52.0
2017-05,64.0,138.0,24.0,61.0,8.0,26.0,1.14,72.0
2017-06,51.0,165.5,22.0,43.5,8.0,21.5,0.97,68.0
2017-07,47.0,145.0,21.0,37.0,5.0,14.0,0.88,70.0
2017-08,35.0,59.0,12.0,26.0,6.0,15.0,0.84,41.0
2017-09,47.0,105.5,21.5,46.0,8.0,23.0,0.965,40.0
2017-10,54.0,186.0,31.5,54.5,11.5,34.5,0.965,28.5
2017-11,44.0,71.5,24.5,43.0,15.5,27.0,0.775,38.0
2017-12,62.0,118.0,42.0,73.0,33.0,37.0,1.09,27.0
2018-01,72.0,167.0,49.0,80.0,39.0,44.0,1.34,30.0
2018-02,61.5,135.5,40.0,66.5,34.0,36.5,1.085,44.0
2018-03,60.0,151.0,34.0,54.0,15.0,29.0,0.94,83.0
2018-04,68.5,172.0,29.0,58.5,9.0,20.0,0.735,91.0
2018-05,57.0,134.0,20.0,51.0,6.0,22.0,0.8,76.0
2018-06,45.5,122.0,18.0,34.5,4.0,14.0,0.815,74.0
2018-07,31.0,38.0,12.0,26.0,4.0,13.0,0.93,36.0
2018-08,37.0,104.0,14.0,29.0,4.0,17.0,0.96,55.0
2018-09,41.0,113.0,12.0,39.0,7.0,21.0,0.89,31.0
2018-10,46.0,121.0,18.0,46.0,9.0,24.0,0.95,27.0
2018-11,47.5,116.0,26.0,50.5,16.5,32.0,1.1,18.0
2018-12,67.0,163.0,44.0,70.0,24.0,33.0,1.26,16.0
2019-01,73.0,195.0,48.0,82.0,22.0,44.0,1.19,18.0
2019-02,70.0,211.5,47.5,72.5,20.0,34.0,1.15,28.0
2019-03,49.0,102.0,26.0,51.0,6.0,18.0,0.67,45.0
2019-04,48.5,102.5,21.0,46.0,4.0,19.5,0.565,49.5
2019-05,47.0,78.0,17.0,44.0,4.0,19.0,0.49,56.0
2019-06,34.0,76.0,14.0,26.0,3.0,19.0,0.43,54.0
2019-07,36.0,135.5,19.0,31.5,4.0,17.0,0.65,60.0
2019-08,34.0,92.0,14.0,29.5,4.0,15.5,0.7150000000000001,43.0
2019-09,38.5,85.5,18.0,39.5,5.5,21.0,0.795,25.0
2019-10,42.0,124.0,21.0,45.0,7.0,24.0,0.8,27.0
2019-11,54.5,123.0,34.5,55.5,14.5,32.5,0.94,20.0
2019-12,55.0,136.0,38.0,56.0,19.0,37.0,1.13,24.0
2020-01,92.0,240.0,67.0,93.0,25.0,46.0,1.47,19.0
