年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,83.0,130.0,53.0,92.0,23.0,29.0,0.79,48.0
2015-02,70.5,129.0,43.5,83.0,14.5,24.0,0.64,59.5
2015-03,84.0,186.0,48.0,101.0,19.0,25.0,0.56,71.0
2015-04,84.0,251.5,48.0,101.0,12.5,21.5,0.475,78.5
2015-05,79.0,213.0,42.0,88.0,8.0,17.0,0.45,84.0
2015-06,82.0,283.0,50.5,94.5,8.5,18.0,0.56,88.0
2015-07,90.0,309.0,52.0,104.0,9.0,18.0,0.65,101.0
2015-08,64.0,238.0,28.0,69.0,11.0,15.0,0.57,72.0
2015-09,52.0,173.5,22.0,55.0,10.5,20.0,0.52,54.5
2015-10,53.0,80.0,22.0,56.0,13.0,23.0,0.56,49.0
2015-11,66.0,199.0,45.0,72.5,18.0,27.0,0.795,45.5
2015-12,89.0,145.0,65.0,89.0,29.0,28.0,1.0,38.0
2016-01,50.0,99.0,25.0,52.0,17.0,17.0,0.64,50.0
2016-02,52.0,86.0,23.0,54.0,15.0,17.0,0.7,64.0
2016-03,58.0,114.0,33.0,65.0,17.0,19.0,0.71,71.0
2016-04,74.0,213.5,34.0,82.5,11.0,18.0,0.55,79.0
2016-05,72.0,245.0,29.0,85.0,7.0,21.0,0.57,92.0
2016-06,65.0,231.0,32.0,56.5,9.0,18.5,0.71,101.5
2016-07,70.0,277.0,35.0,59.0,8.0,20.0,0.82,88.0
2016-08,50.0,161.0,21.0,46.0,6.0,19.0,0.52,74.0
2016-09,52.0,155.0,28.0,52.5,6.0,22.0,0.76,59.0
2016-10,55.0,194.0,36.0,61.0,9.0,23.0,0.68,42.0
2016-11,58.5,162.0,37.5,60.0,16.0,25.0,0.71,43.0
2016-12,68.0,122.0,43.0,73.0,20.0,27.0,0.77,37.0
2017-01,69.0,113.0,43.0,71.0,19.0,21.0,0.72,44.0
2017-02,51.5,85.5,28.0,49.5,13.5,17.5,0.58,63.0
2017-03,62.0,126.0,37.0,59.0,13.0,24.0,0.57,73.0
2017-04,61.5,108.5,25.5,65.5,13.0,19.0,0.42,74.5
2017-05,78.0,191.0,26.0,100.0,8.0,18.0,0.35,87.0
2017-06,58.5,189.0,24.5,49.5,7.5,18.0,0.39,90.5
2017-07,65.0,232.0,31.0,47.0,6.0,19.0,0.45,88.0
2017-08,41.0,117.0,15.0,32.0,6.0,13.0,0.5,68.0
2017-09,48.0,116.5,20.0,44.0,8.5,19.5,0.525,64.0
2017-10,55.5,191.5,27.5,57.0,12.5,25.5,0.665,53.0
2017-11,43.5,83.5,19.0,44.0,16.5,20.0,0.57,45.0
2017-12,49.0,52.0,31.0,50.0,23.0,25.0,0.81,35.0
2018-01,41.0,48.0,22.0,38.0,17.0,16.0,0.64,51.0
2018-02,48.5,46.5,24.0,46.5,15.5,14.0,0.65,64.0
2018-03,71.0,155.0,47.0,69.0,15.0,23.0,0.73,79.0
2018-04,66.5,170.0,28.5,76.0,10.0,17.0,0.49,92.0
2018-05,62.0,154.0,23.0,53.0,8.0,17.0,0.35,94.0
2018-06,71.5,235.0,32.5,55.0,9.0,15.5,0.455,115.5
2018-07,69.0,309.0,38.0,61.0,6.0,12.0,0.52,93.0
2018-08,46.0,150.0,16.0,44.0,6.0,14.0,0.4,65.0
2018-09,45.0,200.0,19.0,43.0,8.0,16.0,0.43,57.0
2018-10,51.0,138.0,25.0,55.0,9.0,22.0,0.46,40.0
2018-11,57.5,168.0,31.0,62.5,14.0,24.5,0.595,38.0
2018-12,59.0,166.0,33.0,63.0,16.0,21.0,0.62,41.0
2019-01,57.0,149.0,30.0,62.0,13.0,18.0,0.57,42.0
2019-02,51.5,139.5,29.5,51.5,11.0,18.0,0.57,56.5
2019-03,64.0,187.0,28.0,73.0,8.0,17.0,0.51,67.0
2019-04,66.0,224.5,29.0,74.5,8.5,17.5,0.515,79.5
2019-05,64.0,205.0,21.0,75.0,7.0,15.0,0.35,78.0
2019-06,52.0,198.0,23.0,49.0,6.0,16.0,0.48,85.0
2019-07,51.0,258.5,27.5,52.0,6.0,18.0,0.575,79.0
2019-08,36.5,123.0,16.0,37.0,6.0,10.0,0.44,47.5
2019-09,43.5,165.0,14.5,46.0,8.5,20.5,0.43,56.0
2019-10,44.0,141.0,18.0,46.0,9.0,21.0,0.36,45.0
2019-11,47.5,129.0,23.5,51.0,11.0,20.5,0.425,43.0
2019-12,53.0,137.0,36.0,50.0,15.0,27.0,0.52,42.0
2020-01,74.0,205.0,53.0,73.0,15.0,27.0,0.52,55.0
2020-02,43.0,176.0,27.0,43.0,13.0,12.0,0.28,64.0
2020-03,49.0,197.0,21.0,47.0,10.0,12.0,0.31,74.0
2020-04,60.0,205.5,30.5,68.0,7.5,17.0,0.405,78.0
2020-05,49.0,199.0,23.0,54.0,6.0,13.0,0.3,79.0
2020-06,43.5,236.5,22.5,41.0,7.5,16.0,0.23,90.5
2020-07,56.0,308.0,33.0,49.0,8.0,16.0,0.43,101.0
2020-08,35.0,211.0,19.0,31.0,6.0,12.0,0.3,70.0
2020-09,34.0,151.0,20.0,32.5,5.0,12.0,0.26,45.5
2020-10,45.0,181.0,21.0,49.0,9.0,23.0,0.25,45.0
2020-11,45.5,133.0,26.5,45.5,9.0,22.0,0.345,40.5
2020-12,44.0,117.0,28.0,43.0,9.0,22.0,0.4,51.0
2021-01,51.0,84.0,34.0,48.0,10.0,21.0,0.48,56.0
2021-02,55.0,176.5,30.5,56.0,8.0,17.0,0.405,65.5
2021-03,68.0,221.0,37.0,72.0,8.0,23.0,0.35,77.0
2021-04,56.0,215.5,25.0,63.5,7.0,19.0,0.275,80.5
2021-05,47.0,218.0,18.0,49.0,7.0,18.0,0.25,82.0
2021-06,37.5,180.5,10.5,35.0,6.0,16.0,0.255,88.0
2021-07,33.0,197.0,9.0,32.0,5.0,13.0,0.22,80.0
2021-08,30.0,145.0,18.0,23.0,4.0,12.0,0.21,59.0
2021-09,34.0,148.5,19.0,31.5,5.0,16.5,0.25,52.0
2021-10,39.0,228.0,22.0,42.0,7.0,26.0,0.39,48.0
2021-11,44.5,124.0,28.0,44.0,9.0,30.0,0.36,48.0
2021-12,46.0,106.0,29.0,46.0,11.0,24.0,0.37,48.0
2022-01,66.0,159.0,46.0,63.0,12.0,28.0,0.45,46.0
2022-02,38.5,134.0,24.0,38.0,9.0,19.0,0.31,69.0
2022-03,49.0,137.0,26.0,49.0,9.0,19.0,0.53,76.0
