年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,147,281,110,155,59,43,1.52,94
2015-02,204,340,156,248,61,63,1.55,76
2015-03,270,360,105,411,62,39,1.14,126
2015-04,194,362,123,241,37,44,1.08,146
2015-05,267,365,102,729,30,30,0.8,178
2015-06,188,366,144,207,26,35,1.0,168
2015-07,158,364,116,181,26,37,0.98,132
2015-08,132,362,99,165,19,25,1.21,133
2015-09,105,334,74,154,21,29,1.07,125
2015-10,214,358,114,245,36,58,1.41,117
2015-11,381,355,358,366,48,59,1.68,89
2015-12,228,325,179,220,68,59,2.28,50
2016-01,135,311,101,124,69,41,1.56,59
2016-02,82,315,55,100,43,33,0.98,73
2016-03,309,360,146,414,47,36,1.31,110
2016-04,237,365,70,342,34,36,1.07,108
2016-05,234,361,76,330,17,34,1.01,191
2016-06,121,364,81,118,27,35,1.06,162
2016-07,126,360,84,133,13,29,1.12,155
2016-08,112,364,81,109,11,30,1.12,131
2016-09,121,340,87,127,12,34,1.06,122
2016-10,173,362,130,210,28,53,1.59,94
2016-11,422,366,500,535,38,52,1.81,61
2016-12,225,336,176,235,47,60,2.24,59
2017-01,235,312,131,297,44,57,2.12,64
2017-02,215,334,176,220,44,45,1.86,77
2017-03,206,367,159,208,57,52,1.42,93
2017-04,159,361,80,220,31,39,0.71,135
2017-05,351,365,166,787,21,27,0.77,155
2017-06,116,349,80,110,13,31,0.69,149
2017-07,132,357,83,116,10,26,0.75,151
2017-08,76,304,53,75,13,22,0.76,97
2017-09,85,343,57,83,16,30,0.96,136
2017-10,166,340,125,165,39,57,1.53,114
2017-11,153,314,115,161,55,57,1.59,61
2017-12,110,204,82,120,59,44,1.46,67
2018-01,138,300,104,139,42,58,1.91,65
2018-02,112,292,83,129,37,27,1.12,79
2018-03,202,360,121,324,37,41,1.22,126
2018-04,175,362,82,254,25,31,1.01,171
2018-05,149,363,78,202,16,34,0.76,152
2018-06,105,354,74,108,12,24,0.75,163
2018-07,94,363,68,102,13,18,0.76,137
2018-08,74,297,32,65,14,27,0.65,133
2018-09,83,346,50,97,22,36,0.84,111
2018-10,118,348,81,152,31,47,1.32,104
2018-11,172,344,85,246,34,40,1.0,73
2018-12,113,257,66,142,42,43,1.15,53
2019-01,202,307,156,206,40,65,2.07,58
2019-02,195,343,155,198,35,44,1.18,72
2019-03,167,347,130,187,24,38,1.09,95
2019-04,330,365,93,849,37,30,0.8,124
2019-05,251,359,112,348,17,28,0.61,180
2019-06,86,333,49,96,18,30,0.7,139
2019-07,86,337,46,77,12,27,0.88,139
2019-08,44,207,26,44,8,17,0.63,76
2019-09,70,342,48,83,16,33,0.77,114
2019-10,120,338,91,141,23,52,1.12,144
2019-11,164,366,125,154,24,49,1.36,57
2019-12,167,343,129,154,38,49,1.08,57
2020-01,146,341,110,136,35,57,1.11,78
2020-02,160,354,121,161,45,26,1.27,83
2020-03,115,326,86,144,33,23,0.71,121
2020-04,250,363,206,266,21,37,1.05,139
2020-05,164,365,69,256,11,28,0.7,143
2020-06,100,352,62,109,17,27,0.46,163
2020-07,111,365,83,108,14,28,0.72,161
2020-08,72,362,52,66,13,26,0.65,124
2020-09,70,332,48,78,14,30,0.74,124
2020-10,242,365,67,318,25,34,0.71,115
2020-11,135,346,104,164,50,39,0.83,60
2020-12,116,248,75,158,30,34,0.73,65
2021-01,181,333,141,174,40,62,1.5,65
2021-02,151,344,113,206,25,44,0.97,94
2021-03,214,357,95,353,26,37,0.86,99
2021-04,230,361,80,373,16,34,0.55,132
2021-05,195,361,73,409,16,24,0.58,162
2021-06,74,353,36,84,10,24,0.54,164
2021-07,60,352,27,70,7,23,0.46,119
2021-08,61,320,43,60,9,20,0.47,97
2021-09,56,338,38,57,8,32,0.51,107
2021-10,101,348,75,106,21,39,0.67,79
2021-11,166,345,126,181,28,46,0.92,65
2021-12,100,307,74,100,41,51,0.95,62
2022-01,195,327,155,186,27,57,0.9,66
2022-02,215,334,168,180,21,37,1.03,76
2022-03,109,328,51,148,19,36,0.77,94
