年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,271.0,106.5,212.5,360.0,97.5,87.0,2.16,23.5
2013-11,152.5,99.0,104.0,269.0,88.5,69.0,2.04,12.5
2013-12,314.0,110.0,236.0,369.0,181.0,104.0,3.45,6.0
2014-01,301.0,184.5,239.5,393.0,196.0,100.0,3.245,11.0
2014-02,252.5,187.5,202.5,299.5,138.0,67.5,2.21,26.0
2014-03,235.0,188.0,149.0,334.0,90.0,69.0,1.665,37.5
2014-04,164.0,182.0,106.5,234.0,70.5,59.0,1.31,57.5
2014-05,146.0,182.0,93.0,217.0,67.0,61.0,1.11,79.0
2014-06,107.5,163.5,68.5,137.0,37.0,46.0,1.09,89.5
2014-07,111.0,171.0,79.0,157.0,33.0,50.0,1.29,77.0
2014-08,86.0,164.0,61.0,108.0,24.0,42.0,1.06,43.0
2014-09,109.5,173.5,80.5,138.0,24.5,34.5,1.045,35.0
2014-10,207.0,185.0,158.0,241.0,46.0,70.0,1.52,28.0
2014-11,152.5,169.5,108.5,210.5,53.0,62.0,2.12,15.0
2014-12,157.0,161.0,112.0,208.0,92.0,60.0,2.92,10.0
2015-01,177.0,347.0,137.0,230.0,138.0,72.0,3.36,10.0
2015-02,163.5,343.5,122.5,194.5,90.0,68.5,2.67,27.0
2015-03,139.0,332.0,86.0,197.0,72.0,65.0,1.53,39.0
2015-04,104.0,310.5,66.0,148.0,41.0,54.0,1.145,52.5
2015-05,101.0,290.0,59.0,136.0,30.0,46.0,1.01,59.0
2015-06,111.0,342.5,71.0,133.5,26.5,43.5,0.955,66.5
2015-07,126.0,357.0,94.0,147.0,17.0,38.0,0.99,66.0
2015-08,93.0,336.0,64.0,105.0,21.0,47.0,1.06,76.0
2015-09,86.0,325.0,56.0,116.0,33.0,56.5,1.17,47.0
2015-10,96.0,284.0,57.0,128.0,41.0,51.0,1.4,29.0
2015-11,135.5,337.5,101.5,157.5,50.5,64.0,1.8,16.0
2015-12,176.0,335.0,141.0,202.0,122.0,91.0,3.65,11.0
2016-01,145.0,300.0,109.0,156.0,112.0,77.0,3.02,14.0
2016-02,102.0,282.0,69.0,121.0,76.0,58.0,1.64,37.0
2016-03,109.0,306.0,75.0,162.0,74.0,70.0,1.67,41.0
2016-04,98.0,306.0,63.5,130.0,50.0,56.5,1.17,61.0
2016-05,82.0,273.0,51.0,94.0,43.0,51.0,1.19,71.0
2016-06,93.5,327.0,54.0,91.5,36.0,44.0,1.15,84.5
2016-07,97.0,346.0,69.0,114.0,25.0,38.0,1.2,71.0
2016-08,65.0,256.0,37.0,73.0,16.0,37.0,0.92,54.0
2016-09,76.5,284.5,53.0,87.5,25.5,55.0,1.225,48.5
2016-10,99.0,347.0,66.0,131.0,30.0,69.0,1.34,24.0
2016-11,156.5,344.0,114.5,204.0,47.0,74.0,2.1900000000000004,15.0
2016-12,203.0,351.0,160.0,232.0,74.0,81.0,3.22,10.0
2017-01,224.0,347.0,175.0,268.0,75.0,81.0,2.6,13.0
2017-02,133.0,334.0,98.5,161.0,67.0,64.0,2.105,35.0
2017-03,88.0,279.0,55.0,119.0,40.0,56.0,1.44,52.0
2017-04,91.5,304.0,50.0,127.5,35.5,48.0,1.2850000000000001,55.5
2017-05,112.0,330.0,59.0,159.0,30.0,49.0,1.27,99.0
2017-06,110.5,343.5,48.5,126.0,29.0,49.5,1.255,123.0
2017-07,102.0,346.0,56.0,111.0,13.0,35.0,1.09,107.0
2017-08,83.0,342.0,47.0,92.0,21.0,40.0,0.97,96.0
2017-09,105.0,354.5,62.5,140.5,41.0,57.5,1.4849999999999999,79.5
2017-10,98.0,340.0,72.5,117.5,13.0,54.5,1.49,38.5
2017-11,115.0,314.0,81.5,155.0,24.5,60.5,1.375,28.0
2017-12,108.0,292.0,80.0,147.0,41.0,60.0,2.15,20.0
2018-01,138.0,333.0,104.0,159.0,37.0,60.0,2.15,26.0
2018-02,105.0,302.0,70.5,147.0,40.0,49.0,1.4849999999999999,54.0
2018-03,123.0,330.0,81.0,152.0,22.0,47.0,1.24,70.0
2018-04,107.0,313.5,53.5,156.0,28.0,42.0,1.2,78.5
2018-05,89.0,295.0,41.0,113.0,22.0,39.0,0.86,94.0
2018-06,107.5,341.5,40.5,92.0,20.0,36.0,1.3050000000000002,134.0
2018-07,79.0,336.0,40.0,74.0,10.0,29.0,1.0,103.0
2018-08,78.0,318.0,28.0,55.0,11.0,23.0,0.86,107.0
2018-09,68.0,306.0,27.0,73.0,20.0,46.0,1.01,56.0
2018-10,82.0,326.0,51.0,107.0,21.0,61.0,1.0,40.0
2018-11,153.0,343.5,102.5,191.0,22.0,63.0,1.435,18.5
2018-12,131.0,325.0,92.0,169.0,27.0,60.0,1.55,16.0
2019-01,150.0,322.0,110.0,195.0,42.0,73.0,2.06,15.0
2019-02,188.0,346.0,142.5,199.5,23.0,40.0,1.525,41.5
2019-03,82.0,283.0,41.0,111.0,18.0,41.0,0.91,62.0
2019-04,98.0,324.5,53.0,131.5,20.5,42.0,0.995,67.0
2019-05,87.0,306.0,40.0,97.0,25.0,39.0,1.05,91.0
2019-06,95.0,347.0,45.0,83.0,17.0,25.0,0.93,129.0
2019-07,87.0,353.5,35.5,84.5,16.0,30.0,0.915,131.5
2019-08,63.5,302.0,33.0,63.5,12.0,29.5,0.9299999999999999,77.0
2019-09,65.5,307.0,31.5,69.0,12.0,42.5,0.875,88.5
2019-10,74.0,301.0,42.0,89.0,11.0,48.0,1.13,31.0
2019-11,95.5,326.0,55.0,129.5,17.0,61.5,1.0350000000000001,20.5
2019-12,95.0,297.0,71.0,112.0,13.0,57.0,1.49,13.0
2020-01,168.0,337.0,130.0,172.0,19.0,56.0,2.03,23.0
2020-02,86.0,295.0,64.0,91.0,11.0,24.0,1.25,49.0
2020-03,72.0,290.0,41.0,85.0,12.0,35.0,1.02,52.0
2020-04,66.0,254.0,37.0,77.5,10.5,30.5,0.81,69.5
2020-05,67.0,309.0,31.0,75.0,17.0,29.0,0.85,95.0
2020-06,67.0,327.0,29.5,70.0,14.5,26.0,0.87,116.0
2020-07,64.0,333.0,34.0,66.0,10.0,23.0,0.8,102.0
2020-08,51.0,320.0,21.0,49.0,8.0,20.0,0.86,83.0
2020-09,46.5,262.0,23.5,46.0,9.0,31.0,0.69,84.0
2020-10,76.0,313.0,43.0,94.0,15.0,48.0,1.02,36.0
2020-11,76.5,302.5,52.0,96.5,10.5,47.0,0.995,23.5
2020-12,103.0,288.0,76.0,105.0,16.0,58.0,1.3,15.0
2021-01,96.0,269.0,64.0,119.0,15.0,40.0,1.25,35.0
2021-02,76.5,272.0,49.0,89.5,12.5,31.0,1.1,55.0
2021-03,103.0,307.0,62.0,123.0,9.0,34.0,0.85,48.0
2021-04,66.5,271.5,35.5,79.5,9.0,30.0,0.535,74.0
2021-05,71.0,294.0,33.0,86.0,12.0,23.0,0.69,88.0
2021-06,61.0,322.0,27.5,54.0,8.0,19.0,0.5549999999999999,120.5
2021-07,46.0,313.0,21.0,41.0,6.0,16.0,0.47,104.0
2021-08,49.0,304.0,26.0,48.0,5.0,20.0,0.5,98.0
2021-09,40.5,228.5,19.0,37.5,5.0,20.5,0.63,84.0
2021-10,58.0,294.0,33.0,66.0,5.0,40.0,0.76,42.0
2021-11,73.5,233.0,47.0,89.5,6.0,47.0,0.79,27.0
2021-12,65.0,219.0,43.0,72.0,8.0,47.0,0.88,19.0
2022-01,135.0,301.0,102.0,118.0,6.0,47.0,1.05,24.0
2022-02,67.0,247.0,45.0,71.5,7.0,30.0,0.695,52.5
2022-03,101.0,300.0,67.0,126.0,6.0,34.0,0.83,54.0
