年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,163,98,121,236,57,73,1.78,7
2013-11,103,59,35,116,35,31,0.34,2
2013-12,116,67,26,175,83,42,1.16,2
2014-01,112,69,47,167,56,33,0.54,5
2014-02,87,161,62,72,34,18,0.47,4
2014-03,95,128,43,118,39,36,0.49,7
2014-04,117,148,37,143,26,28,0.32,18
2014-05,79,77,26,87,18,29,0.17,40
2014-06,68,122,36,67,15,18,0.41,27
2014-07,51,70,18,54,7,19,0.48,45
2014-08,37,28,14,38,7,20,0.39,27
2014-09,31,20,12,29,5,21,0.24,6
2014-10,48,38,22,54,14,31,0.46,4
2014-11,55,58,18,60,18,30,0.46,2
2014-12,56,47,16,62,19,17,0.45,2
2015-01,70,143,47,79,38,33,1.07,4
2015-02,87,179,38,101,37,31,0.75,6
2015-03,73,233,24,95,24,24,0.38,14
2015-04,64,189,31,69,14,32,0.24,17
2015-05,44,50,18,43,7,22,0.39,31
2015-06,58,175,14,64,11,23,0.39,21
2015-07,54,195,26,59,8,21,0.41,28
2015-08,55,171,30,52,3,19,0.51,23
2015-09,25,27,8,20,3,14,0.33,9
2015-10,48,90,15,52,13,30,0.48,4
2015-11,41,103,24,38,7,26,0.41,3
2015-12,31,23,15,30,25,19,0.5,4
2016-01,65,161,41,66,40,33,1.09,6
2016-02,41,72,23,35,30,21,0.69,7
2016-03,64,125,27,72,21,33,0.47,9
2016-04,48,89,23,48,19,27,0.49,23
2016-05,61,164,19,56,13,33,0.59,45
2016-06,39,127,11,30,14,25,0.51,32
2016-07,36,99,15,31,14,22,0.63,29
2016-08,34,20,11,32,3,17,0.45,28
2016-09,31,67,9,27,9,29,0.38,19
2016-10,39,146,14,41,8,32,0.35,3
2016-11,42,92,23,37,7,33,0.35,6
2016-12,83,127,57,91,36,61,1.09,5
2017-01,65,195,42,72,36,27,1.01,4
2017-02,60,106,25,69,13,30,0.49,9
2017-03,52,81,18,53,14,31,0.53,21
2017-04,45,127,13,48,9,22,0.44,19
2017-05,58,216,20,50,13,33,0.49,50
2017-06,53,138,21,46,3,21,0.5,42
2017-07,49,128,15,29,5,19,0.54,45
2017-08,43,217,19,43,6,21,0.62,34
2017-09,66,209,28,78,16,39,0.74,17
2017-10,28,42,16,22,5,19,0.56,12
2017-11,66,151,29,79,11,25,0.6,9
2017-12,64,94,32,64,14,28,0.92,8
2018-01,63,206,30,74,14,20,1.05,11
2018-02,70,166,30,82,20,19,0.48,29
2018-03,55,121,25,59,8,20,0.48,37
2018-04,43,78,24,38,7,17,0.38,41
2018-05,48,138,20,47,7,22,0.44,50
2018-06,53,180,12,26,9,11,0.67,82
2018-07,41,156,16,37,6,16,0.74,37
2018-08,33,77,12,26,7,13,0.68,50
2018-09,33,77,10,24,4,25,0.38,11
2018-10,44,146,13,41,8,29,0.41,10
2018-11,52,207,35,49,8,28,0.67,4
2018-12,64,237,40,76,10,40,0.68,5
2019-01,72,197,43,92,18,22,0.8,7
2019-02,67,228,43,63,10,7,0.39,7
2019-03,56,119,19,62,3,15,0.42,42
2019-04,40,55,21,37,4,14,0.44,29
2019-05,52,129,16,43,9,15,0.47,54
2019-06,57,262,11,28,6,19,0.4,36
2019-07,49,178,12,27,3,10,0.4,74
2019-08,39,139,20,33,3,15,0.57,55
2019-09,25,73,14,25,2,14,0.55,8
2019-10,24,75,12,22,3,18,0.42,7
2019-11,45,186,16,48,5,17,0.3,10
2019-12,44,137,23,46,6,32,0.67,5
2020-01,67,159,47,80,7,19,0.93,6
2020-02,27,116,12,23,4,6,0.43,16
2020-03,31,57,12,31,5,19,0.53,26
2020-04,42,59,16,39,3,15,0.38,49
2020-05,30,83,13,22,7,14,0.42,42
2020-06,36,214,17,33,7,10,0.49,67
2020-07,42,222,15,38,4,11,0.52,68
2020-08,24,89,9,15,4,8,0.4,56
2020-09,27,102,8,22,4,15,0.25,33
2020-10,34,81,13,32,5,28,0.25,11
2020-11,24,44,13,19,3,25,0.39,5
2020-12,49,173,17,55,4,24,0.43,7
2021-01,43,92,21,46,6,12,0.3,15
2021-02,43,152,18,44,7,13,0.53,28
2021-03,36,106,14,29,2,11,0.2,19
2021-04,37,68,12,33,3,14,0.23,58
2021-05,26,119,5,15,3,11,0.22,31
2021-06,41,233,8,29,3,9,0.23,60
2021-07,22,65,9,16,3,7,0.23,48
2021-08,32,151,7,23,3,9,0.3,46
2021-09,19,50,6,10,2,7,0.25,29
2021-10,17,54,6,9,3,10,0.25,12
2021-11,21,47,7,19,2,12,0.28,8
2021-12,46,106,19,48,3,17,0.32,5
2022-01,44,91,14,44,2,7,0.3,7
2022-02,44,134,22,44,2,11,0.38,25
2022-03,41,99,10,41,2,13,0.26,21
