年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10,244.5,104.5,191.0,326.5,100.5,106.5,3.08,13.5
2013-11,132.0,90.0,99.5,208.5,80.5,69.0,1.955,15.0
2013-12,247.0,98.0,188.0,328.0,141.0,78.0,4.2,7.0
2014-01,229.5,174.0,190.0,279.0,109.5,66.0,3.085,11.5
2014-02,207.5,173.0,162.0,232.5,69.5,60.5,1.705,24.5
2014-03,181.5,177.5,118.5,210.0,62.0,66.0,1.3450000000000002,35.5
2014-04,129.0,167.5,94.5,174.0,39.0,55.5,0.98,52.5
2014-05,123.0,160.0,60.0,168.0,47.0,52.0,1.12,78.0
2014-06,105.5,154.0,72.0,138.0,30.5,31.5,0.955,90.0
2014-07,119.0,169.0,86.0,143.0,17.0,25.0,1.01,83.0
2014-08,93.0,166.0,60.0,112.0,18.0,28.0,1.33,70.0
2014-09,106.0,175.5,75.0,133.0,17.0,28.0,1.01,35.0
2014-10,174.0,179.0,131.0,225.0,31.0,45.0,1.41,34.0
2014-11,130.5,159.0,97.0,178.0,44.0,54.5,1.725,17.5
2014-12,161.0,173.5,112.0,205.0,118.0,57.0,2.48,15.0
2015-01,172.0,332.0,129.0,210.0,86.0,59.0,2.22,18.0
2015-02,148.0,307.5,109.5,180.5,59.5,33.0,2.025,37.0
2015-03,120.0,313.0,79.0,165.0,46.0,40.0,1.27,39.0
2015-04,110.5,315.5,67.0,153.5,31.0,35.5,1.0350000000000001,58.0
2015-05,93.0,290.0,64.0,125.0,29.0,40.0,0.89,61.0
2015-06,108.0,335.5,72.0,123.0,30.0,31.5,0.915,64.5
2015-07,111.0,340.0,80.0,132.0,27.0,34.0,1.03,56.0
2015-08,103.0,345.0,68.0,144.0,31.0,36.0,1.16,63.0
2015-09,87.5,331.0,51.0,115.0,22.5,43.5,1.085,58.0
2015-10,93.0,289.0,58.0,125.0,34.0,57.0,1.68,29.0
2015-11,91.0,318.0,63.5,122.0,32.5,48.0,1.5550000000000002,18.0
2015-12,207.0,342.0,131.0,278.0,83.0,75.0,3.24,12.0
2016-01,129.0,285.0,94.0,157.0,91.0,68.0,2.68,17.0
2016-02,88.0,242.0,55.0,110.0,43.0,52.0,1.97,43.0
2016-03,102.0,262.0,69.0,147.0,51.0,58.0,1.48,44.0
2016-04,117.5,339.5,75.5,173.5,37.0,47.0,1.145,66.0
2016-05,81.0,271.0,44.0,99.0,22.0,40.0,1.05,77.0
2016-06,86.0,319.0,39.0,86.0,20.5,43.0,1.0750000000000002,85.5
2016-07,84.0,330.0,58.0,92.0,16.0,34.0,1.13,67.0
2016-08,69.0,278.0,38.0,77.0,15.0,31.0,1.15,54.0
2016-09,82.0,296.5,41.5,98.5,19.5,36.0,1.49,59.0
2016-10,83.0,314.0,36.0,115.0,30.0,60.0,1.29,26.0
2016-11,131.0,330.0,94.0,197.0,50.0,64.0,1.9100000000000001,16.5
2016-12,239.0,360.0,192.0,295.0,78.0,77.0,2.91,12.0
2017-01,229.0,346.0,175.0,301.0,86.0,86.0,3.27,16.0
2017-02,127.5,305.0,88.0,177.0,66.5,64.5,2.465,35.5
2017-03,84.0,264.0,35.0,117.0,41.0,53.0,1.24,52.0
2017-04,114.0,349.5,70.0,156.0,44.0,49.5,1.3,58.5
2017-05,118.0,338.0,61.0,156.0,27.0,40.0,0.98,106.0
2017-06,117.5,347.5,64.0,123.5,18.5,40.5,1.03,122.5
2017-07,94.0,338.0,63.0,105.0,10.0,28.0,0.98,82.0
2017-08,90.0,350.0,60.0,105.0,11.0,33.0,0.96,84.0
2017-09,102.5,356.0,65.5,132.0,18.0,44.0,1.125,79.5
2017-10,101.5,338.0,75.5,112.5,10.0,47.0,1.06,35.0
2017-11,109.0,329.5,78.0,148.0,22.0,59.0,1.15,22.5
2017-12,131.0,317.0,97.0,154.0,44.0,61.0,1.98,18.0
2018-01,130.0,310.0,97.0,156.0,36.0,52.0,1.76,30.0
2018-02,106.0,321.0,76.5,142.0,43.5,43.0,1.8450000000000002,53.0
2018-03,125.0,328.0,90.0,152.0,14.0,33.0,1.06,75.0
2018-04,101.5,305.5,52.5,143.0,15.0,29.5,0.73,77.0
2018-05,96.0,314.0,42.0,113.0,13.0,26.0,0.8,101.0
2018-06,108.0,347.0,46.5,98.5,11.0,27.5,0.8,149.5
2018-07,75.0,314.0,36.0,69.0,6.0,21.0,0.71,103.0
2018-08,80.0,323.0,37.0,72.0,7.0,21.0,0.74,111.0
2018-09,70.0,325.0,34.0,81.0,15.0,41.0,0.97,63.0
2018-10,87.0,329.0,50.0,110.0,20.0,55.0,1.07,46.0
2018-11,125.0,341.5,87.5,182.0,16.5,54.5,1.38,23.5
2018-12,129.0,336.0,91.0,180.0,29.0,56.0,1.74,19.0
2019-01,162.0,338.0,120.0,222.0,34.0,56.0,2.22,20.0
2019-02,178.5,352.0,137.0,209.5,18.0,36.5,1.505,46.5
2019-03,87.0,290.0,38.0,119.0,14.0,29.0,0.84,73.0
2019-04,96.5,327.0,55.0,123.5,11.0,31.5,0.725,78.0
2019-05,84.0,304.0,35.0,86.0,16.0,26.0,0.68,100.0
2019-06,96.0,344.0,37.0,82.0,9.0,23.0,0.65,131.0
2019-07,88.0,354.0,42.0,87.0,10.5,24.0,0.745,123.5
2019-08,64.5,326.5,39.5,74.0,6.0,25.0,0.885,73.0
2019-09,80.5,335.0,42.0,93.0,12.5,38.0,1.005,93.5
2019-10,76.0,303.0,46.0,102.0,9.0,43.0,0.83,41.0
2019-11,101.5,322.5,63.5,147.5,10.5,51.0,1.04,25.0
2019-12,122.0,320.0,89.0,151.0,11.0,54.0,1.5,13.0
2020-01,180.0,332.0,138.0,182.0,14.0,52.0,1.88,24.0
2020-02,85.0,311.0,61.0,91.0,8.0,23.0,1.1,57.0
2020-03,73.0,305.0,41.0,90.0,9.0,31.0,0.67,59.0
2020-04,72.5,282.0,40.0,90.5,13.0,31.0,0.6,73.5
2020-05,67.0,301.0,30.0,79.0,17.0,24.0,0.69,101.0
2020-06,71.0,323.0,32.0,77.5,12.5,20.0,0.55,118.5
2020-07,63.0,330.0,35.0,64.0,8.0,18.0,0.61,101.0
2020-08,50.0,316.0,28.0,52.0,7.0,16.0,0.69,84.0
2020-09,64.5,317.0,28.5,68.0,16.5,31.0,0.845,91.0
2020-10,85.0,337.0,52.0,116.0,20.0,47.0,1.1,40.0
2020-11,81.0,314.0,48.0,112.5,15.0,49.0,0.99,28.5
2020-12,117.0,312.0,89.0,148.0,19.0,60.0,1.47,16.0
2021-01,108.0,284.0,64.0,133.0,22.0,43.0,1.27,34.0
2021-02,78.0,282.0,48.5,99.5,16.5,29.0,0.975,56.5
2021-03,93.0,297.0,59.0,116.0,9.0,33.0,0.77,53.0
2021-04,67.5,291.5,36.0,84.0,12.0,23.0,0.68,84.0
2021-05,79.0,324.0,38.0,98.0,13.0,21.0,0.65,91.0
2021-06,77.0,339.0,34.5,70.0,8.5,16.0,0.7050000000000001,122.5
2021-07,47.0,313.0,23.0,44.0,6.0,10.0,0.56,96.0
2021-08,54.0,318.0,30.0,55.0,6.0,14.0,0.69,99.0
2021-09,44.0,264.0,24.0,43.0,8.0,17.5,0.835,86.0
2021-10,68.0,315.0,44.0,65.0,8.0,41.0,0.91,45.0
2021-11,84.0,291.5,59.0,96.0,9.0,45.0,0.995,32.5
2021-12,73.0,241.0,52.0,78.0,11.0,39.0,0.99,24.0
2022-01,149.0,302.0,113.0,130.0,8.0,39.0,1.21,28.0
2022-02,70.5,263.5,46.0,73.0,9.0,24.5,0.765,56.5
2022-03,91.0,291.0,55.0,115.0,8.0,22.0,0.67,61.0
