年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,146.0,282.0,109.0,161.0,48.0,32.0,1.83,32.0
2015-02,105.0,209.0,76.0,117.5,19.0,18.5,1.29,48.0
2015-03,81.0,203.0,55.0,74.0,27.0,18.0,1.02,37.0
2015-04,74.5,212.5,52.5,78.5,39.5,18.5,0.89,59.5
2015-05,76.0,237.0,53.0,81.0,48.0,15.0,0.85,68.0
2015-06,51.5,140.5,28.5,51.0,24.0,10.0,0.64,51.5
2015-07,49.0,151.0,31.0,46.0,23.0,12.0,0.74,57.0
2015-08,51.0,163.0,29.0,50.0,26.0,11.0,0.7,57.0
2015-09,79.5,292.0,56.0,83.0,24.0,13.0,0.85,62.5
2015-10,90.0,258.0,65.0,107.0,39.0,23.0,0.88,59.0
2015-11,57.0,130.5,40.0,49.5,29.5,23.0,1.005,25.0
2015-12,80.0,188.0,58.0,79.0,27.0,25.0,1.07,28.0
2016-01,82.0,220.0,59.0,89.0,20.0,24.0,1.35,31.0
2016-02,94.0,250.0,62.0,98.0,17.0,22.0,0.95,51.0
2016-03,76.0,179.0,54.0,78.0,30.0,25.0,0.94,49.0
2016-04,50.5,110.0,33.5,45.5,23.5,14.0,0.895,51.0
2016-05,57.0,138.0,37.0,60.0,23.0,13.0,0.74,64.0
2016-06,53.5,174.0,31.5,51.5,22.0,11.0,0.685,56.5
2016-07,49.0,141.0,28.0,50.0,18.0,13.0,0.59,41.0
2016-08,56.0,198.0,31.0,52.0,17.0,11.0,0.68,70.0
2016-09,79.0,295.0,51.5,80.0,27.5,15.0,0.795,80.5
2016-10,63.0,223.0,44.0,67.0,24.0,16.0,0.93,51.0
2016-11,80.5,187.5,58.0,74.5,33.0,25.5,0.945,34.0
2016-12,109.0,233.0,81.0,105.0,38.0,31.0,1.18,36.0
2017-01,121.0,256.0,90.0,111.0,23.0,22.0,1.25,46.0
2017-02,85.5,234.0,62.5,77.0,21.0,18.0,1.32,50.5
2017-03,61.0,128.0,40.0,54.0,29.0,20.0,0.95,47.0
2017-04,69.0,169.5,47.5,70.0,33.0,20.5,0.955,65.5
2017-05,66.0,156.0,36.0,56.0,13.0,15.0,0.82,80.0
2017-06,44.0,104.5,24.0,34.5,15.0,14.0,0.73,56.0
2017-07,45.0,117.0,23.0,42.0,17.0,12.0,0.51,44.0
2017-08,47.0,178.0,28.0,45.0,22.0,13.0,0.64,55.0
2017-09,65.0,257.0,44.0,69.5,22.0,16.5,0.925,66.0
2017-10,66.5,221.5,43.5,65.5,18.5,19.0,0.825,56.5
2017-11,90.5,248.0,65.5,92.0,26.5,26.0,0.985,38.5
2017-12,117.0,310.0,87.0,127.0,33.0,40.0,1.18,38.0
2018-01,104.0,252.0,77.0,93.0,22.0,29.0,1.07,37.0
2018-02,90.0,238.0,65.5,86.5,15.5,21.0,0.995,50.0
2018-03,65.0,174.0,44.0,58.0,16.0,23.0,0.92,53.0
2018-04,64.5,128.0,41.0,67.5,18.5,18.5,0.85,63.0
2018-05,56.0,120.0,35.0,53.0,14.0,13.0,0.75,65.0
2018-06,47.0,103.5,27.0,38.5,12.0,12.0,0.61,71.0
2018-07,45.0,158.0,25.0,41.0,14.0,14.0,0.54,55.0
2018-08,47.0,158.0,28.0,43.0,11.0,11.0,0.65,70.0
2018-09,50.0,218.0,33.0,48.0,13.0,15.0,0.86,57.0
2018-10,60.0,213.0,37.0,56.0,15.0,22.0,0.79,54.0
2018-11,55.5,163.5,38.0,48.0,12.5,24.0,0.915,38.0
2018-12,70.0,162.0,49.0,50.0,13.0,22.0,1.05,29.0
2019-01,84.0,224.0,61.0,56.0,12.0,28.0,1.42,36.0
2019-02,48.5,110.0,34.0,30.5,8.0,17.0,1.0550000000000002,39.5
2019-03,54.0,126.0,37.0,47.0,13.0,22.0,0.93,54.0
2019-04,45.5,86.0,28.5,38.5,9.5,16.5,0.81,54.5
2019-05,56.0,147.0,31.0,51.0,11.0,14.0,0.76,61.0
2019-06,40.0,121.0,24.0,36.0,9.0,11.0,0.62,56.0
2019-07,35.0,139.0,21.0,34.5,9.0,11.0,0.605,49.5
2019-08,55.0,282.5,34.5,51.5,11.5,13.5,0.805,80.5
2019-09,65.0,299.5,44.0,68.5,17.5,20.0,0.795,100.5
2019-10,57.0,188.0,35.0,62.0,16.0,23.0,0.78,55.0
2019-11,78.0,263.0,56.5,90.0,19.0,33.0,0.86,53.0
2019-12,87.0,254.0,64.0,82.0,16.0,37.0,0.96,36.0
2020-01,67.0,167.0,48.0,54.0,5.0,21.0,0.89,43.0
2020-02,50.0,166.0,35.0,40.0,5.0,14.0,0.79,40.0
2020-03,55.0,163.0,37.0,52.0,10.0,19.0,0.86,51.0
2020-04,61.0,200.0,39.5,62.5,17.0,26.5,0.67,64.0
2020-05,48.0,194.0,31.0,50.0,16.0,17.0,0.68,68.0
2020-06,33.0,155.0,19.0,32.5,10.0,14.0,0.495,45.0
2020-07,35.0,166.0,21.0,34.0,11.0,12.0,0.48,45.0
2020-08,32.0,170.0,18.0,29.0,12.0,14.0,0.48,51.0
2020-09,40.0,188.0,27.0,35.5,8.0,13.0,0.77,58.0
2020-10,61.0,260.0,39.0,57.0,11.0,18.0,0.77,54.0
2020-11,68.0,247.0,43.5,75.5,13.5,22.5,0.78,52.5
2020-12,97.0,285.0,72.0,80.0,17.0,27.0,0.93,39.0
2021-01,102.0,273.0,76.0,96.0,17.0,35.0,1.03,41.0
