年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,26,11,15,22,13,13,0.78,8
2015-02,22,11,11,16,4,6,0.58,16
2015-03,46,72,29,42,9,8,0.61,9
2015-04,29,18,12,18,14,10,0.53,32
2015-05,46,55,25,35,16,8,0.51,27
2015-06,34,47,13,26,10,5,0.44,25
2015-07,35,70,17,25,10,6,0.55,26
2015-08,32,77,17,30,12,6,0.5,31
2015-09,33,42,18,24,10,7,0.52,23
2015-10,31,25,20,26,11,10,0.53,24
2015-11,21,9,15,14,13,14,0.69,8
2015-12,25,21,14,19,13,15,0.66,7
2016-01,38,36,26,31,9,14,0.6,5
2016-02,30,32,17,27,5,5,0.57,29
2016-03,24,8,6,7,4,8,0.6,22
2016-04,31,19,18,23,13,8,0.46,24
2016-05,32,22,17,27,13,6,0.45,31
2016-06,36,62,17,31,8,6,0.43,34
2016-07,20,9,11,18,6,7,0.43,20
2016-08,27,22,13,22,10,6,0.5,48
2016-09,33,71,14,20,6,7,0.61,57
2016-10,23,20,7,16,10,6,0.65,11
2016-11,21,22,5,11,9,8,0.45,8
2016-12,37,64,26,29,16,16,0.79,4
2017-01,32,23,22,27,13,7,1.0,3
2017-02,33,18,18,25,7,7,1.01,5
2017-03,26,8,7,11,11,10,0.62,20
2017-04,25,5,8,14,10,8,0.66,24
2017-05,32,17,9,16,8,6,0.62,41
2017-06,28,27,12,17,7,8,0.49,17
2017-07,17,3,9,12,8,7,0.44,24
2017-08,27,28,12,20,11,9,0.51,23
2017-09,35,62,18,28,12,8,0.64,37
2017-10,21,17,10,15,8,10,0.57,29
2017-11,39,64,26,30,8,15,0.67,10
2017-12,34,47,23,20,11,15,0.77,12
2018-01,19,7,13,13,6,9,0.85,4
2018-02,34,30,19,24,2,9,0.44,32
2018-03,22,6,10,15,5,12,0.7,15
2018-04,34,8,14,22,8,8,0.62,34
2018-05,35,32,12,16,8,6,0.5,27
2018-06,27,23,12,23,6,7,0.32,45
2018-07,27,44,12,19,9,8,0.43,41
2018-08,30,65,17,27,5,7,0.53,36
2018-09,28,37,9,14,6,7,0.57,26
2018-10,26,18,17,22,8,13,0.58,26
2018-11,17,7,8,11,6,12,0.65,12
2018-12,12,8,7,10,6,11,0.7,7
2019-01,30,37,20,19,6,16,0.86,11
2019-02,18,12,9,11,5,9,0.72,19
2019-03,21,7,14,13,5,10,0.61,23
2019-04,21,5,10,14,5,12,0.56,29
2019-05,27,20,12,17,4,7,0.59,39
2019-06,27,35,12,18,3,4,0.5,36
2019-07,22,17,6,13,4,8,0.43,32
2019-08,27,87,12,24,6,7,0.62,55
2019-09,38,175,22,34,9,10,0.62,63
2019-10,18,29,11,16,8,13,0.6,26
2019-11,20,15,13,13,6,13,0.44,10
2019-12,21,21,13,19,5,17,0.54,6
2020-01,20,17,12,17,3,6,0.42,4
2020-02,21,25,4,8,4,5,0.31,12
2020-03,16,8,7,12,5,10,0.44,12
2020-04,21,10,9,14,6,13,0.36,40
2020-05,30,87,16,27,8,10,0.48,38
2020-06,20,40,8,19,6,8,0.35,26
2020-07,18,24,10,16,6,8,0.3,24
2020-08,16,31,6,15,7,9,0.32,32
2020-09,17,39,7,11,4,9,0.52,35
2020-10,14,11,6,10,5,9,0.54,29
2020-11,14,14,7,12,6,13,0.29,8
2020-12,33,79,21,25,7,14,0.55,19
2021-01,55,149,25,52,8,18,0.38,20
2021-02,16,21,7,9,6,9,0.55,18
2021-03,21,29,12,18,7,12,0.57,14
2021-04,19,11,7,14,8,10,0.51,23
2021-05,18,14,8,13,8,6,0.35,33
2021-06,17,31,9,16,7,6,0.28,28
2021-07,22,53,12,21,5,6,0.35,24
2021-08,21,51,6,10,7,5,0.47,32
2021-09,25,86,12,19,9,8,0.39,41
2021-10,14,20,5,7,5,8,0.44,43
2021-11,18,22,8,14,6,9,0.38,22
2021-12,27,45,17,22,6,9,0.47,13
2022-01,15,7,9,11,5,7,0.63,10
2022-02,15,11,8,11,6,5,0.47,30
2022-03,15,7,8,13,4,8,0.35,22
