年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,194,480,146,244,89,56,9.15,71
2015-02,167,334,126,191,34,64,2.13,68
2015-03,101,307,75,120,50,30,1.75,77
2015-04,100,280,68,124,26,43,2.81,134
2015-05,90,242,66,83,32,28,1.73,105
2015-06,56,210,36,57,21,28,1.7,77
2015-07,99,339,73,97,15,30,1.54,75
2015-08,167,362,126,157,35,26,1.44,114
2015-09,113,356,84,140,30,36,1.41,95
2015-10,117,343,84,152,35,46,1.79,91
2015-11,86,251,63,101,55,36,1.89,47
2015-12,140,288,104,156,47,47,2.1,43
2016-01,127,316,95,149,27,51,2.29,67
2016-02,226,307,183,243,70,54,1.47,87
2016-03,125,332,94,145,35,59,1.64,101
2016-04,94,264,69,105,24,40,1.78,80
2016-05,87,301,63,112,21,46,1.75,95
2016-06,85,294,60,88,13,26,1.97,94
2016-07,76,298,44,79,29,32,1.8,107
2016-08,78,278,53,88,22,34,1.5,90
2016-09,106,357,78,126,34,41,1.74,111
2016-10,118,353,89,141,38,42,1.71,115
2016-11,126,293,95,166,44,43,2.04,59
2016-12,184,330,138,205,54,55,1.96,49
2017-01,206,360,169,223,55,61,2.75,60
2017-02,202,353,154,247,30,50,1.84,91
2017-03,97,321,72,99,44,43,1.53,85
2017-04,80,196,49,80,41,37,1.47,123
2017-05,146,288,89,239,19,37,1.51,106
2017-06,60,205,29,67,16,27,1.61,89
2017-07,75,303,49,81,17,24,1.96,107
2017-08,74,332,46,76,18,25,1.83,109
2017-09,135,364,64,104,24,43,1.97,198
2017-10,120,362,88,145,33,40,1.81,115
2017-11,123,318,93,135,22,51,2.25,85
2017-12,140,351,106,160,39,66,1.88,57
2018-01,172,286,130,192,34,49,2.26,63
2018-02,180,348,135,171,44,62,1.85,107
2018-03,87,232,62,102,23,46,1.51,80
2018-04,88,282,62,103,35,45,1.49,124
2018-05,101,317,50,146,22,29,1.61,117
2018-06,78,325,36,73,28,30,1.64,125
2018-07,57,261,21,52,37,25,1.56,90
2018-08,79,327,38,66,27,27,1.79,130
2018-09,74,331,53,85,26,32,1.61,95
2018-10,109,358,81,117,16,41,1.59,109
2018-11,90,362,65,103,21,42,1.6,78
2018-12,108,261,80,108,18,45,1.74,58
2019-01,200,355,152,203,32,54,1.63,60
2019-02,133,259,101,142,18,26,1.39,76
2019-03,76,312,55,83,18,42,1.18,75
2019-04,58,218,37,65,29,29,1.07,91
2019-05,86,292,62,95,22,28,1.28,77
2019-06,62,299,38,67,16,21,1.07,101
2019-07,54,226,32,59,17,22,1.09,82
2019-08,62,300,41,71,22,31,0.93,97
2019-09,73,363,53,86,13,46,0.9,125
2019-10,72,346,52,80,21,45,0.99,108
2019-11,95,314,70,102,22,58,1.08,118
2019-12,112,346,84,98,22,64,1.36,84
2020-01,91,215,67,88,26,39,1.41,67
2020-02,92,340,68,82,12,18,0.98,79
2020-03,75,321,55,80,24,32,1.0,71
2020-04,73,255,43,70,25,34,0.88,128
2020-05,60,321,41,70,22,25,0.99,101
2020-06,33,155,15,28,20,16,0.74,96
2020-07,39,193,24,38,27,23,0.78,111
2020-08,55,284,36,58,34,33,0.74,91
2020-09,73,343,53,66,33,27,1.0,111
2020-10,123,364,93,109,20,44,1.21,106
2020-11,108,361,81,110,19,49,1.15,86
2020-12,159,337,120,141,24,57,1.56,51
2021-01,230,363,180,207,20,58,1.38,48
2021-02,108,324,81,108,11,37,1.32,99
2021-03,86,278,48,122,16,34,1.13,101
2021-04,53,291,38,51,14,28,0.9,89
2021-05,49,213,31,47,20,31,0.88,80
2021-06,52,280,35,52,23,32,0.87,82
2021-07,39,248,19,35,17,19,0.62,120
2021-08,46,245,28,43,29,20,0.72,95
2021-09,57,328,40,57,26,24,0.79,101
2021-10,84,339,62,73,12,25,1.01,111
2021-11,85,292,63,90,12,40,0.95,70
2021-12,143,326,108,149,17,56,1.21,74
2022-01,105,253,78,98,30,46,1.32,48
2022-02,56,225,39,52,9,26,0.85,76
2022-03,82,261,61,89,19,28,1.0,113
