年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,279,405,228,292,115,90,3.24,56
2015-02,234,362,175,257,55,77,2.18,71
2015-03,150,345,113,151,48,51,2.03,75
2015-04,142,352,106,174,72,51,1.76,114
2015-05,184,365,140,205,36,39,1.8,112
2015-06,124,353,90,138,46,34,1.74,124
2015-07,109,335,79,132,33,24,1.59,114
2015-08,107,350,71,110,34,30,1.79,128
2015-09,105,353,72,106,43,37,1.58,138
2015-10,154,354,113,181,65,62,2.03,131
2015-11,113,310,84,115,39,65,2.14,73
2015-12,292,365,241,338,51,70,2.86,57
2016-01,282,362,234,326,43,76,3.25,73
2016-02,281,348,235,309,41,50,2.03,100
2016-03,220,337,170,278,55,85,2.25,116
2016-04,111,296,75,120,46,58,2.06,125
2016-05,142,354,101,153,41,46,2.36,146
2016-06,104,350,69,113,30,30,2.09,125
2016-07,98,353,64,104,26,29,1.73,140
2016-08,100,353,56,86,29,34,1.59,139
2016-09,110,343,73,112,40,49,1.7,135
2016-10,128,326,96,124,18,55,1.81,102
2016-11,127,303,96,137,40,72,1.98,61
2016-12,182,336,137,167,52,78,2.19,58
2017-01,259,340,208,266,50,84,2.03,54
2017-02,206,359,162,240,55,66,2.09,67
2017-03,239,365,192,267,49,61,1.83,81
2017-04,107,351,80,116,28,52,1.37,109
2017-05,171,364,106,281,31,54,1.56,133
2017-06,98,322,69,96,28,37,1.4,118
2017-07,113,362,81,111,25,27,1.36,115
2017-08,75,328,52,77,15,30,1.23,87
2017-09,102,302,68,101,26,47,1.65,107
2017-10,130,354,98,117,25,57,1.44,74
2017-11,156,354,118,171,35,79,2.0,109
2017-12,219,349,169,229,40,86,1.94,46
2018-01,170,317,128,154,39,68,2.12,66
2018-02,157,349,119,161,32,70,1.74,63
2018-03,127,318,96,145,35,66,1.94,87
2018-04,155,340,101,256,34,75,1.67,110
2018-05,103,334,66,153,22,59,1.45,102
2018-06,119,354,58,93,27,43,1.5,175
2018-07,86,348,38,70,29,28,1.24,117
2018-08,96,348,45,76,13,30,1.25,142
2018-09,83,339,42,80,17,43,1.65,114
2018-10,106,335,72,115,22,62,2.07,131
2018-11,172,351,130,183,25,67,1.57,96
2018-12,155,334,117,163,26,61,2.06,45
2019-01,197,364,150,205,32,74,2.16,73
2019-02,251,356,208,250,21,57,1.8,55
2019-03,95,327,66,121,38,56,1.35,94
2019-04,85,327,56,94,31,49,1.53,103
2019-05,115,341,65,174,25,52,1.49,98
2019-06,81,307,44,82,22,52,2.04,130
2019-07,76,344,37,70,10,35,1.17,109
2019-08,69,341,40,74,12,29,1.21,148
2019-09,82,357,49,107,24,59,1.21,145
2019-10,110,346,59,170,39,74,1.36,109
2019-11,112,335,83,166,34,83,1.57,101
2019-12,144,332,109,179,29,83,1.57,53
2020-01,119,289,90,127,18,55,1.68,71
2020-02,90,298,67,91,16,37,1.53,79
2020-03,86,295,50,121,21,34,1.5,102
2020-04,80,317,55,110,28,56,1.19,106
2020-05,89,361,60,124,26,48,1.24,109
2020-06,52,273,31,51,14,31,1.17,90
2020-07,63,331,44,70,16,29,1.29,95
2020-08,60,351,31,67,16,27,1.15,119
2020-09,81,346,50,106,15,51,1.17,125
2020-10,106,351,80,144,19,60,1.34,98
2020-11,105,336,78,132,32,70,1.38,81
2020-12,220,357,170,224,27,103,1.38,50
2021-01,168,346,127,173,28,63,1.44,64
2021-02,96,355,71,133,12,46,1.17,80
2021-03,103,293,48,154,24,49,1.42,92
2021-04,100,346,53,149,19,51,1.17,90
2021-05,93,361,67,135,18,46,1.24,118
2021-06,82,350,41,87,21,41,1.22,128
2021-07,78,362,34,85,11,36,1.02,115
2021-08,70,353,32,74,12,26,1.21,115
2021-09,82,358,40,89,20,43,1.16,132
2021-10,116,359,87,128,19,71,1.2,114
2021-11,164,347,124,181,17,67,1.39,72
2021-12,146,350,111,165,20,81,1.4,62
2022-01,198,309,150,192,23,70,1.41,55
2022-02,190,325,145,153,19,70,1.16,73
2022-03,167,289,68,248,21,58,1.26,99
