年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01,63,65,42,61,8,19,0.38,20
2015-02,38,37,24,32,6,13,0.38,27
2015-03,68,108,36,85,4,19,0.45,35
2015-04,63,135,31,63,3,14,0.43,62
2015-05,51,84,22,25,2,17,0.23,64
2015-06,53,146,29,24,2,18,0.22,61
2015-07,46,90,18,13,4,13,0.33,40
2015-08,50,139,18,45,2,8,0.23,53
2015-09,36,46,17,27,3,14,0.34,31
2015-10,41,65,16,42,2,10,0.31,29
2015-11,38,58,18,34,6,14,0.37,30
2015-12,42,54,19,42,6,4,0.29,13
2016-01,43,58,16,43,6,15,0.34,27
2016-02,50,56,15,53,7,10,0.24,47
2016-03,67,81,21,82,6,13,0.21,43
2016-04,52,83,10,41,6,14,0.15,67
2016-05,48,90,16,41,3,15,0.41,72
2016-06,55,177,27,50,3,11,0.33,66
2016-07,56,190,27,47,3,15,0.3,69
2016-08,48,70,22,2,1,9,0.23,45
2016-09,46,78,16,35,2,13,0.27,52
2016-10,46,133,22,37,4,15,0.27,45
2016-11,51,115,23,54,8,7,0.39,36
2016-12,45,60,28,45,13,22,0.5,27
2017-01,50,55,26,51,7,5,0.31,32
2017-02,56,112,25,60,9,13,0.35,45
2017-03,55,45,21,56,8,15,0.38,63
2017-04,39,37,14,25,3,10,0.2,71
2017-05,54,61,11,41,2,4,0.18,69
2017-06,57,179,11,34,3,9,0.23,78
2017-07,45,94,7,22,5,14,0.23,64
2017-08,45,119,10,33,7,13,0.25,69
2017-09,53,149,15,43,8,16,0.26,48
2017-10,36,38,14,24,6,10,0.24,41
2017-11,48,74,19,50,9,15,0.42,36
2017-12,51,48,25,54,10,24,0.63,36
2018-01,49,49,20,51,7,7,0.44,42
2018-02,46,22,15,28,10,10,0.32,52
2018-03,61,54,17,49,7,8,0.3,63
2018-04,45,81,14,36,7,5,0.26,70
2018-05,55,130,11,39,5,7,0.25,83
2018-06,51,164,11,49,6,10,0.4,68
2018-07,50,145,10,32,6,13,0.38,80
2018-08,40,158,9,16,6,9,0.38,84
2018-09,39,109,9,33,6,13,0.34,52
2018-10,40,29,9,34,6,12,0.39,45
2018-11,37,40,14,29,6,10,0.42,33
2018-12,43,108,26,35,7,14,0.48,26
2019-01,44,47,19,39,7,7,0.5,38
2019-02,38,64,19,33,8,6,0.48,54
2019-03,50,75,14,35,7,7,0.43,65
2019-04,40,55,11,20,5,9,0.32,70
2019-05,42,87,13,4,4,7,0.36,74
2019-06,40,115,8,22,4,11,0.41,80
2019-07,34,154,9,19,4,8,0.38,89
2019-08,30,67,10,20,4,13,0.45,67
2019-09,30,71,13,25,4,10,0.39,64
2019-10,33,70,12,29,4,10,0.38,43
2019-11,35,39,17,34,6,16,0.45,34
2019-12,33,24,20,29,5,9,0.41,39
2020-01,40,63,20,40,6,12,0.48,37
2020-02,37,66,19,36,4,3,0.36,60
2020-03,38,106,14,37,3,6,0.36,62
2020-04,43,109,13,40,2,6,0.35,72
2020-05,27,70,11,15,4,6,0.22,79
2020-06,39,178,11,29,4,11,0.23,76
2020-07,32,169,10,20,4,8,0.27,67
2020-08,25,53,11,16,3,10,0.29,69
2020-09,34,145,10,31,4,13,0.3,57
2020-10,40,55,13,42,4,13,0.34,49
2020-11,29,56,16,27,4,13,0.39,35
2020-12,27,17,16,26,3,13,0.44,31
2021-01,35,26,15,29,4,13,0.47,39
2021-02,29,42,15,24,5,10,0.32,51
2021-03,30,42,19,23,2,9,0.34,48
2021-04,27,74,12,18,3,7,0.31,62
2021-05,34,107,9,21,3,6,0.25,79
2021-06,32,85,10,20,3,11,0.24,61
2021-07,34,171,9,20,3,10,0.29,78
2021-08,36,220,12,30,3,10,0.29,65
2021-09,33,130,10,28,3,13,0.28,60
2021-10,40,157,15,41,3,10,0.3,43
2021-11,41,83,18,44,4,8,0.38,38
2021-12,41,50,18,41,4,15,0.51,33
2022-01,42,55,19,42,5,13,0.56,37
2022-02,28,92,15,20,4,10,0.42,58
2022-03,30,58,12,23,3,10,0.28,53
