年月,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12,144,130,104,161,72,59,1.76,59
2014-01,351,182,307,340,106,137,2.05,60
2014-02,250,169,200,270,55,62,2.13,118
2014-03,211,162,121,288,57,64,1.7,171
2014-04,189,180,143,179,58,100,2.13,149
2014-05,215,188,161,260,56,62,1.79,185
2014-06,140,169,105,157,50,58,1.56,134
2014-07,115,160,81,126,23,51,1.27,130
2014-08,110,185,78,121,41,42,1.46,127
2014-09,112,159,73,118,48,64,1.83,107
2014-10,125,146,93,152,68,91,1.65,96
2014-11,216,165,167,217,54,84,2.59,76
2014-12,137,408,103,147,62,114,2.75,51
2015-01,196,427,151,196,53,127,3.22,56
2015-02,183,336,142,206,44,78,2.45,94
2015-03,176,341,134,182,44,83,1.92,104
2015-04,160,356,92,131,46,89,1.75,131
2015-05,114,335,77,120,35,73,1.66,135
2015-06,104,339,76,105,22,56,1.67,105
2015-07,114,349,85,119,25,61,1.01,103
2015-08,114,356,75,116,28,44,1.24,113
2015-09,103,344,71,119,40,68,1.43,126
2015-10,157,345,118,185,57,95,1.41,75
2015-11,153,325,115,150,43,101,1.86,50
2015-12,210,347,163,204,52,101,2.61,55
2016-01,178,310,134,183,52,127,1.4,58
2016-02,170,342,140,180,41,89,1.78,69
2016-03,181,346,132,199,55,116,2.05,56
2016-04,83,215,47,96,31,43,2.08,106
2016-05,110,305,45,169,22,64,1.56,113
2016-06,71,273,45,94,18,19,1.3,104
2016-07,85,316,42,92,15,15,1.26,125
2016-08,76,342,47,55,26,17,1.2,110
2016-09,90,334,55,70,25,26,1.78,125
2016-10,63,244,45,62,18,35,1.57,64
2016-11,142,291,106,156,27,41,1.94,51
2016-12,174,301,132,183,30,90,2.64,45
2017-01,199,290,154,203,20,81,2.29,50
2017-02,148,341,112,137,37,67,2.16,97
2017-03,114,310,85,128,25,65,1.78,100
2017-04,132,347,89,160,28,65,1.88,135
2017-05,147,351,97,233,28,53,0.86,132
2017-06,147,354,89,130,27,42,1.08,157
2017-07,83,303,59,88,16,30,1.2,110
2017-08,75,275,52,65,22,24,1.31,95
2017-09,83,311,60,86,30,42,1.13,107
2017-10,103,307,76,93,23,55,1.37,90
2017-11,86,270,59,100,36,64,2.11,58
2017-12,348,366,298,176,37,100,2.96,45
2018-01,301,362,250,313,29,86,2.46,80
2018-02,209,354,164,221,37,80,1.64,91
2018-03,131,322,87,178,42,61,1.5,106
2018-04,146,354,83,203,37,57,1.08,138
2018-05,155,361,109,253,30,67,1.43,164
2018-06,122,363,52,87,19,39,0.88,181
2018-07,103,361,39,70,24,28,1.06,147
2018-08,125,365,36,52,22,29,1.06,182
2018-09,102,362,57,77,27,55,1.52,136
2018-10,134,362,89,139,24,60,1.12,120
2018-11,215,330,168,252,20,102,2.4,63
2018-12,141,323,107,183,25,97,2.19,48
2019-01,202,356,154,173,24,105,2.72,71
2019-02,160,330,121,154,22,68,2.26,77
2019-03,129,351,97,131,17,66,1.98,98
2019-04,115,333,67,119,17,49,1.47,119
2019-05,123,355,60,100,20,45,1.19,153
2019-06,107,354,54,75,14,37,1.34,150
2019-07,74,331,41,62,14,35,1.42,131
2019-08,73,349,39,68,17,38,1.48,121
2019-09,92,343,58,85,19,42,1.65,119
2019-10,171,358,86,292,15,61,1.36,99
2019-11,127,345,78,198,15,64,1.55,87
2019-12,138,346,105,153,15,63,1.44,45
2020-01,200,350,155,198,10,63,1.8,69
2020-02,118,348,89,110,10,24,1.27,78
2020-03,91,320,67,102,11,58,1.25,97
2020-04,94,340,70,110,16,56,1.25,137
2020-05,93,359,59,105,15,47,1.48,138
2020-06,81,346,46,63,12,30,1.18,165
2020-07,89,359,51,72,11,43,1.44,138
2020-08,87,365,43,68,14,29,1.18,172
2020-09,94,361,50,85,22,38,1.39,178
2020-10,69,254,44,86,14,61,0.92,118
2020-11,108,332,81,135,18,65,1.1,64
2020-12,177,359,135,178,18,91,1.48,51
2021-01,143,343,109,170,16,68,1.71,61
2021-02,114,347,86,147,10,36,1.37,86
2021-03,175,351,89,240,13,62,1.38,118
2021-04,96,299,55,139,13,57,1.25,121
2021-05,117,322,56,182,12,38,1.14,126
2021-06,81,335,44,74,12,32,0.95,161
2021-07,56,318,37,54,11,30,1.13,109
2021-08,74,359,41,72,8,29,0.98,118
2021-09,72,352,42,65,12,38,0.97,139
2021-10,98,345,76,112,14,71,1.1,130
2021-11,111,325,83,136,14,84,1.17,73
2021-12,155,361,117,160,12,69,1.13,54
